item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 의료기관 수술인원,Statistics,40877.0,40632.0,43778.0,43690.0,42356.0,47112.0,46965.0,47170.0,47107.0,48741.0,48342.0,48976.0,52035.0,48687.0,51767.0,52612.0,51841.0
경기도 - 의료기관 수술인원,Statistics,296915.0,307477.0,337176.0,346764.0,338093.0,333152.0,328804.0,329869.0,329788.0,345014.0,353402.0,367057.0,392793.0,385556.0,409156.0,412095.0,410744.0
경상남도 - 의료기관 수술인원,Statistics,91195.0,90540.0,100863.0,101676.0,99692.0,109474.0,108223.0,108357.0,109460.0,110253.0,110622.0,109814.0,113260.0,109657.0,116085.0,113879.0,110618.0
경상북도 - 의료기관 수술인원,Statistics,70560.0,68869.0,75490.0,76885.0,76832.0,87551.0,87457.0,86600.0,87253.0,89239.0,89982.0,90246.0,93359.0,85493.0,92162.0,91023.0,88942.0
광주광역시 - 의료기관 수술인원,Statistics,35726.0,36877.0,40576.0,41197.0,40529.0,43139.0,42083.0,42013.0,41614.0,41196.0,41305.0,41251.0,43189.0,41676.0,43949.0,43591.0,41769.0
대구광역시 - 의료기관 수술인원,Statistics,61303.0,62424.0,69423.0,69532.0,65769.0,69875.0,69073.0,68644.0,68402.0,69649.0,69920.0,72021.0,75548.0,70830.0,75772.0,74506.0,74676.0
대전광역시 - 의료기관 수술인원,Statistics,37599.0,38897.0,40977.0,42641.0,40880.0,41554.0,40602.0,40539.0,39498.0,40892.0,41609.0,41655.0,44009.0,41712.0,43703.0,44153.0,43662.0
부산광역시 - 의료기관 수술인원,Statistics,99907.0,100227.0,109483.0,111367.0,109703.0,121829.0,120189.0,120817.0,119230.0,121970.0,124608.0,126795.0,131754.0,127807.0,134591.0,129471.0,124369.0
서울특별시 - 의료기관 수술인원,Statistics,258148.0,264974.0,286885.0,289100.0,275956.0,270958.0,260847.0,260058.0,254944.0,259827.0,263344.0,266533.0,284068.0,273217.0,283350.0,281945.0,283105.0
세종특별자치시 - 의료기관 수술인원,Statistics,,,,,,3521.0,3694.0,4590.0,5754.0,6700.0,6923.0,8107.0,9134.0,8992.0,9575.0,10077.0,9749.0
울산광역시 - 의료기관 수술인원,Statistics,32592.0,34733.0,38337.0,38265.0,36862.0,34095.0,34128.0,34048.0,34212.0,34966.0,35341.0,34831.0,35978.0,34394.0,35309.0,34612.0,34893.0
인천광역시 - 의료기관 수술인원,Statistics,68746.0,71924.0,79631.0,81794.0,79437.0,82080.0,82035.0,82815.0,83102.0,84974.0,86683.0,90544.0,94205.0,91027.0,95041.0,94855.0,97029.0
전국 - 의료기관 수술인원,Statistics,1318425.0,1335697.0,1458229.0,1481435.0,1441337.0,1512774.0,1496415.0,1497043.0,1491392.0,1532754.0,1551822.0,1580430.0,1665624.0,1598587.0,1681540.0,1672192.0,1659125.0
전라남도 - 의료기관 수술인원,Statistics,56827.0,54324.0,58542.0,58054.0,58166.0,70203.0,71981.0,71254.0,70754.0,72233.0,70650.0,70853.0,74626.0,70102.0,73692.0,73281.0,72069.0
전북특별자치도 - 의료기관 수술인원,Statistics,55145.0,53519.0,56255.0,56279.0,54987.0,63788.0,63630.0,63924.0,63493.0,65399.0,65347.0,65964.0,68720.0,66022.0,67152.0,65846.0,64990.0
제주특별자치도 - 의료기관 수술인원,Statistics,14139.0,13283.0,14623.0,14688.0,14315.0,16501.0,16464.0,16815.0,17400.0,18806.0,19281.0,19826.0,20563.0,19437.0,20043.0,19568.0,19809.0
충청남도 - 의료기관 수술인원,Statistics,57463.0,56336.0,61043.0,62433.0,60917.0,66762.0,68917.0,68243.0,68882.0,71439.0,71423.0,72868.0,76397.0,70644.0,74896.0,75137.0,74888.0
충청북도 - 의료기관 수술인원,Statistics,41307.0,40661.0,45147.0,47070.0,46843.0,51180.0,51323.0,51287.0,50499.0,51456.0,53040.0,53089.0,55986.0,53332.0,55297.0,55541.0,55972.0
