item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강릉시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,29461.0,27527.0,28022.0,28984.0,30391.0,31069.0,31315.0,29612.0,28987.0,27852.0,27491.0,26747.0,26000.0,24589.0,23390.0,21361.0,20422.0
강릉시 - 일반대＜br＞(A),Statistics,23558.0,22018.0,22228.0,22813.0,23840.0,24373.0,24553.0,22834.0,22406.0,21592.0,21444.0,21004.0,20462.0,19381.0,18379.0,16499.0,15250.0
강릉시 - 전문대＜br＞(B),Statistics,5903.0,5509.0,5794.0,6171.0,6551.0,6696.0,6762.0,6778.0,6581.0,6260.0,6047.0,5743.0,5538.0,5208.0,5011.0,4862.0,5172.0
강북구 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,,,,,,,,,,,,,,,,3151.0,3138.0
강북구 - 일반대＜br＞(A),Statistics,,,,,,,,,,,,,,,,3151.0,3138.0
강서구 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,1837.0,1893.0,1976.0,2119.0,2068.0,1878.0,1872.0,1933.0,1900.0,1852.0,1859.0,1775.0,1736.0,2022.0,1913.0,2479.0,2610.0
강서구 - 일반대＜br＞(A),Statistics,1837.0,1893.0,1976.0,2119.0,2068.0,1878.0,1872.0,1933.0,1900.0,1852.0,1859.0,1775.0,1736.0,2022.0,1913.0,2479.0,2610.0
강원특별자치도 - 교육대＜br＞(C),Statistics,2149.0,2068.0,1946.0,1791.0,1675.0,1580.0,1493.0,1444.0,1425.0,1428.0,1414.0,1388.0,1365.0,1344.0,1330.0,1302.0,1285.0
강원특별자치도 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,128506.0,126994.0,131027.0,134822.0,137281.0,138500.0,138504.0,135726.0,132608.0,129130.0,125143.0,122703.0,116054.0,109330.0,104253.0,100690.0,97851.0
강원특별자치도 - 산업대＜br＞(D),Statistics,7332.0,13.0,,,,,,,,,,,,,,,
강원특별자치도 - 일반대＜br＞(A),Statistics,95734.0,102635.0,105840.0,108142.0,109700.0,111384.0,112040.0,109341.0,106774.0,103770.0,100605.0,98656.0,96459.0,92973.0,89386.0,86457.0,84193.0
강원특별자치도 - 전문대＜br＞(B),Statistics,23291.0,22278.0,23241.0,24889.0,25906.0,25536.0,24971.0,24941.0,24409.0,23932.0,23124.0,22659.0,18230.0,15013.0,13537.0,12931.0,12373.0
강진군 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,4123.0,3802.0,3249.0,2834.0,,,,,,,,,,,,,
강진군 - 전문대＜br＞(B),Statistics,4123.0,3802.0,3249.0,2834.0,,,,,,,,,,,,,
강화군 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,4228.0,5867.0,6227.0,890.0,884.0,890.0,892.0,847.0,795.0,111.0,668.0,600.0,577.0,509.0,522.0,524.0,546.0
강화군 - 일반대＜br＞(A),Statistics,4228.0,5867.0,6227.0,890.0,884.0,890.0,892.0,847.0,795.0,111.0,668.0,600.0,577.0,509.0,522.0,524.0,546.0
거제시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,2054.0,2224.0,2454.0,2561.0,2551.0,2489.0,2425.0,2525.0,2437.0,2063.0,1935.0,1720.0,1613.0,1397.0,1279.0,1256.0,1293.0
거제시 - 전문대＜br＞(B),Statistics,2054.0,2224.0,2454.0,2561.0,2551.0,2489.0,2425.0,2525.0,2437.0,2063.0,1935.0,1720.0,1613.0,1397.0,1279.0,1256.0,1293.0
거창군 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,1840.0,1877.0,2095.0,2353.0,2503.0,2725.0,2828.0,2878.0,2960.0,2973.0,2949.0,2829.0,2674.0,2492.0,2425.0,2275.0,2178.0
거창군 - 전문대＜br＞(B),Statistics,1840.0,1877.0,2095.0,2353.0,2503.0,2725.0,2828.0,2878.0,2960.0,2973.0,2949.0,2829.0,2674.0,2492.0,2425.0,2275.0,2178.0
경기 여주군 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,9173.0,9161.0,9191.0,9541.0,9602.0,9610.0,,,,,,,,,,,
경기 여주군 - 전문대＜br＞(B),Statistics,9173.0,9161.0,9191.0,9541.0,9602.0,9610.0,,,,,,,,,,,
경기도 - 교육대＜br＞(C),Statistics,1841.0,1822.0,1738.0,1257.0,1556.0,1800.0,2068.0,1362.0,1360.0,1358.0,1386.0,1381.0,1420.0,1361.0,1306.0,1293.0,1246.0
경기도 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,499789.0,504165.0,502722.0,509167.0,498389.0,499221.0,482796.0,471130.0,461255.0,452326.0,443895.0,437390.0,433276.0,416739.0,402465.0,439322.0,434304.0
경기도 - 산업대＜br＞(D),Statistics,18924.0,19073.0,19346.0,18876.0,15662.0,12833.0,9510.0,6407.0,4009.0,2036.0,,,,,,,
