item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 조이혼율 (천명당),Statistics,2.6,2.5,2.9,2.5,2.8,2.8,2.8,2.7,2.7,2.4,2.5,2.6,2.4,2.7,2.8,2.3,2.4,2.8,2.2,3.2,2.3,2.0,2.2,2.2
강남구 - 조이혼율 (천명당),Statistics,2.4,2.2,2.4,2.1,1.9,2.0,2.1,1.8,1.8,1.7,1.5,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.5,1.3,1.4,1.3,1.1,1.2
강동구 - 조이혼율 (천명당),Statistics,2.8,3.0,3.2,2.7,2.3,2.5,2.4,2.4,2.3,2.1,2.0,2.0,2.1,1.9,1.8,1.8,1.8,1.7,1.8,1.7,1.6,1.4,1.4,1.3
강릉시 - 조이혼율 (천명당),Statistics,3.0,3.0,3.6,2.8,2.8,2.7,2.4,2.1,2.5,2.2,2.3,2.2,2.5,2.2,2.3,2.2,2.1,2.0,2.3,2.0,2.0,1.9,1.9,1.9
강북구 - 조이혼율 (천명당),Statistics,3.2,3.7,3.8,3.2,2.9,2.9,3.0,2.8,2.8,2.6,2.6,2.4,2.5,2.5,2.3,2.2,2.3,2.2,2.2,2.3,2.1,1.9,1.7,1.5
강서구 - 조이혼율 (천명당),Statistics,3.0,3.1,3.6,2.9,2.6,2.6,2.5,2.4,2.4,2.2,2.1,2.1,2.1,1.9,1.9,1.9,1.9,1.8,1.9,1.9,1.7,1.5,1.5,1.4
강원특별자치도 - 조이혼율 (천명당),Statistics,2.9,3.0,3.4,2.8,2.7,2.6,2.5,2.3,2.5,2.4,2.3,2.3,2.4,2.4,2.3,2.3,2.1,2.2,2.4,2.2,2.1,2.0,1.9,2.0
강진군 - 조이혼율 (천명당),Statistics,1.4,1.6,2.3,2.0,1.9,1.6,1.8,1.4,2.0,2.1,1.8,1.7,2.1,2.1,2.2,1.7,1.8,1.7,2.1,1.7,1.8,2.1,2.2,2.1
강화군 - 조이혼율 (천명당),Statistics,2.0,1.9,2.6,2.6,2.2,1.9,2.1,1.9,2.1,1.8,2.0,2.1,2.2,2.2,1.9,2.2,2.0,2.0,2.0,2.3,2.0,1.8,1.9,1.7
거제시 - 조이혼율 (천명당),Statistics,3.0,3.3,3.8,3.4,3.0,3.0,2.9,2.6,2.6,2.8,2.7,2.9,2.7,2.7,2.7,2.8,2.9,3.0,3.1,2.9,2.6,2.4,2.6,2.4
거창군 - 조이혼율 (천명당),Statistics,1.8,1.9,1.9,2.1,2.2,2.4,1.6,1.8,1.7,1.6,1.7,1.9,1.8,1.7,1.7,1.8,1.9,2.1,2.0,1.8,2.0,1.6,1.7,1.8
경기도 - 조이혼율 (천명당),Statistics,3.1,3.2,3.6,3.1,2.9,2.8,2.7,2.5,2.6,2.4,2.4,2.4,2.4,2.4,2.2,2.1,2.1,2.2,2.2,2.1,2.0,1.8,1.8,1.8
경산시 - 조이혼율 (천명당),Statistics,2.5,2.8,3.2,2.8,2.4,2.3,2.2,2.0,2.3,2.3,2.2,2.4,2.2,2.1,2.2,2.0,2.0,2.1,2.2,2.0,1.9,2.0,2.0,1.8
