item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 조혼인율 (천명당),Statistics,5.3,5.6,4.8,5.4,5.2,5.8,5.9,5.9,5.1,5.7,5.2,4.7,4.6,4.6,5.2,4.4,4.3,3.9,4.4,3.3,3.6,3.6,3.5,3.7
강남구 - 조혼인율 (천명당),Statistics,7.2,6.8,6.4,6.5,6.8,7.1,6.9,6.5,6.3,6.5,6.6,6.7,6.5,6.3,6.0,5.4,4.9,4.7,4.4,3.9,3.2,3.2,3.7,4.2
강동구 - 조혼인율 (천명당),Statistics,6.6,6.5,6.2,6.1,6.3,6.4,6.9,6.8,7.0,7.2,7.1,6.8,6.6,6.3,6.0,5.4,5.6,5.6,5.0,5.5,4.1,3.6,3.7,4.5
강릉시 - 조혼인율 (천명당),Statistics,6.4,5.7,5.6,5.2,5.2,5.3,5.6,5.4,5.0,4.9,5.3,5.1,4.8,4.6,4.6,4.3,4.4,4.1,4.2,3.8,3.8,3.3,3.0,3.6
강북구 - 조혼인율 (천명당),Statistics,6.9,6.9,6.4,6.2,6.1,6.3,6.9,6.5,6.0,6.3,6.2,6.5,5.9,5.5,5.2,4.6,4.5,4.3,4.1,3.4,3.0,2.9,2.9,3.1
강서구 - 조혼인율 (천명당),Statistics,7.4,7.2,7.5,7.1,7.1,7.5,7.6,7.5,7.2,7.5,7.6,7.9,7.7,7.6,7.9,7.0,6.9,6.5,6.1,5.6,4.7,4.6,4.5,5.1
강원특별자치도 - 조혼인율 (천명당),Statistics,5.9,5.4,5.5,5.4,5.6,5.8,5.9,5.7,5.3,5.5,5.5,5.4,5.2,5.1,5.1,4.9,4.7,4.6,4.4,3.8,3.7,3.6,3.6,4.0
강진군 - 조혼인율 (천명당),Statistics,3.6,2.6,3.7,3.6,4.3,4.3,4.4,3.9,4.1,4.2,4.7,4.1,4.0,3.8,3.4,3.6,3.4,3.3,3.4,2.6,2.2,2.4,2.7,3.0
강화군 - 조혼인율 (천명당),Statistics,4.8,4.4,4.2,4.5,4.7,4.3,4.7,4.3,4.4,4.5,4.0,3.7,3.6,3.2,4.0,3.3,3.4,3.0,3.2,2.8,2.8,2.4,2.6,2.4
거제시 - 조혼인율 (천명당),Statistics,7.5,7.1,7.3,7.9,8.5,9.6,10.0,9.5,9.5,10.3,10.0,9.3,9.2,8.6,9.1,8.0,6.2,5.1,4.3,3.4,3.1,3.2,2.9,3.3
거창군 - 조혼인율 (천명당),Statistics,4.5,4.6,3.9,4.4,4.4,5.0,5.4,4.8,4.1,4.4,4.1,4.1,4.5,3.8,3.5,3.7,3.0,3.2,3.3,2.7,2.3,2.7,2.6,3.3
경기도 - 조혼인율 (천명당),Statistics,7.3,7.0,6.8,6.8,6.8,7.1,7.4,7.0,6.5,6.8,6.7,6.7,6.4,6.1,6.0,5.6,5.2,5.2,4.8,4.4,4.1,4.0,4.0,4.6
경산시 - 조혼인율 (천명당),Statistics,6.5,6.1,6.0,5.8,6.2,7.0,6.9,6.6,5.8,6.5,6.7,6.4,6.4,5.9,6.1,6.0,5.2,5.0,4.6,3.8,3.3,3.4,3.3,3.8
