item,category,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 계,Statistics,744.0,645.0,660.0,615.0,590.0,472.0,465.0,467.0,416.0,402.0,417.0,452.0,415.0,417.0,399.0,420.0,359.0,366.0,360.0,363.0,362.0,301.0,261.0,265.0,242.0,199.0,0.0
가평군 - 남자,Statistics,379.0,328.0,356.0,291.0,328.0,264.0,251.0,231.0,201.0,205.0,207.0,244.0,223.0,199.0,194.0,201.0,182.0,186.0,182.0,205.0,186.0,157.0,126.0,144.0,122.0,102.0,0.0
가평군 - 여자,Statistics,365.0,317.0,304.0,324.0,262.0,208.0,214.0,236.0,215.0,197.0,210.0,208.0,192.0,218.0,205.0,219.0,177.0,180.0,178.0,158.0,176.0,144.0,135.0,121.0,120.0,97.0,0.0
강남구 - 계,Statistics,6004.0,6185.0,5991.0,6254.0,5095.0,4386.0,4404.0,4188.0,3898.0,4374.0,4893.0,4586.0,4388.0,4836.0,4761.0,4903.0,4551.0,4654.0,4595.0,4122.0,3456.0,2940.0,2749.0,2356.0,2204.0,1996.0,2296.0
강남구 - 남자,Statistics,3100.0,3224.0,3100.0,3299.0,2663.0,2294.0,2288.0,2151.0,1990.0,2195.0,2524.0,2356.0,2255.0,2478.0,2448.0,2522.0,2326.0,2401.0,2369.0,2047.0,1783.0,1568.0,1432.0,1232.0,1112.0,1024.0,1180.0
강남구 - 여자,Statistics,2904.0,2961.0,2891.0,2955.0,2432.0,2092.0,2116.0,2037.0,1908.0,2179.0,2369.0,2230.0,2133.0,2358.0,2313.0,2381.0,2225.0,2253.0,2226.0,2075.0,1673.0,1372.0,1317.0,1124.0,1092.0,972.0,1116.0
강동구 - 계,Statistics,6192.0,5734.0,5491.0,6007.0,5070.0,4591.0,4399.0,4268.0,3816.0,3881.0,4210.0,4019.0,4250.0,4646.0,4655.0,4590.0,4070.0,4089.0,3865.0,3293.0,2968.0,2659.0,2437.0,2535.0,2810.0,2528.0,2194.0
강동구 - 남자,Statistics,3154.0,2965.0,2864.0,3140.0,2649.0,2413.0,2275.0,2172.0,1928.0,2007.0,2216.0,2124.0,2219.0,2368.0,2428.0,2343.0,2125.0,2087.0,2022.0,1689.0,1501.0,1366.0,1210.0,1241.0,1474.0,1323.0,1116.0
강동구 - 여자,Statistics,3038.0,2769.0,2627.0,2867.0,2421.0,2178.0,2124.0,2096.0,1888.0,1874.0,1994.0,1895.0,2031.0,2278.0,2227.0,2247.0,1945.0,2002.0,1843.0,1604.0,1467.0,1293.0,1227.0,1294.0,1336.0,1205.0,1078.0
강릉시 - 계,Statistics,2779.0,2787.0,2674.0,2905.0,2525.0,2203.0,2123.0,2085.0,1796.0,1747.0,1919.0,1640.0,1654.0,1641.0,1671.0,1636.0,1460.0,1298.0,1402.0,1236.0,1084.0,1036.0,964.0,950.0,892.0,893.0,826.0
강릉시 - 남자,Statistics,1469.0,1483.0,1349.0,1483.0,1316.0,1149.0,1106.0,1088.0,916.0,957.0,1014.0,848.0,823.0,854.0,873.0,835.0,767.0,641.0,706.0,644.0,558.0,548.0,498.0,482.0,454.0,491.0,410.0
강릉시 - 여자,Statistics,1310.0,1304.0,1325.0,1422.0,1209.0,1054.0,1017.0,997.0,880.0,790.0,905.0,792.0,831.0,787.0,798.0,801.0,693.0,657.0,696.0,592.0,526.0,488.0,466.0,468.0,438.0,402.0,416.0
강북구 - 계,Statistics,4931.0,4348.0,4024.0,3805.0,3442.0,3194.0,3438.0,3127.0,2799.0,2774.0,3131.0,2858.0,2784.0,2801.0,2789.0,2818.0,2491.0,2360.0,2164.0,1965.0,1772.0,1344.0,1227.0,1049.0,994.0,855.0,826.0
강북구 - 남자,Statistics,2546.0,2204.0,2084.0,2003.0,1761.0,1704.0,1769.0,1547.0,1450.0,1435.0,1658.0,1441.0,1440.0,1412.0,1421.0,1490.0,1324.0,1204.0,1113.0,990.0,882.0,691.0,637.0,557.0,506.0,424.0,421.0
강북구 - 여자,Statistics,2385.0,2144.0,1940.0,1802.0,1681.0,1490.0,1669.0,1580.0,1349.0,1339.0,1473.0,1417.0,1344.0,1389.0,1368.0,1328.0,1167.0,1156.0,1051.0,975.0,890.0,653.0,590.0,492.0,488.0,431.0,405.0
강서구 - 계,Statistics,7441.0,6913.0,6533.0,7140.0,5999.0,5446.0,5680.0,5688.0,5368.0,5599.0,6095.0,5979.0,5740.0,5720.0,5753.0,5875.0,5224.0,5424.0,5812.0,5456.0,4800.0,4260.0,3841.0,3345.0,3006.0,2865.0,2635.0
