item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 남편,Statistics,29.24,29.86,30.61,30.42,30.21,32.13,31.9,31.76,32.12,32.78,32.46,32.85,31.79,32.71,32.48,32.22,32.96,33.95,33.38,33.84,33.54,32.72,33.75,33.52
가평군 - 아내,Statistics,26.68,26.04,26.85,26.51,27.13,27.05,28.26,27.87,28.68,28.96,28.99,29.44,29.6,29.96,29.51,30.54,30.63,30.39,30.74,30.78,30.6,29.91,31.07,32.38
강남구 - 남편,Statistics,30.09,30.31,30.54,30.88,31.13,31.27,31.57,31.74,32.13,32.25,32.42,32.65,32.67,32.99,33.28,33.65,33.92,33.92,34.24,34.08,34.33,34.57,34.85,34.77
강남구 - 아내,Statistics,27.92,28.29,28.37,28.65,28.96,29.03,29.38,29.6,29.85,29.99,30.34,30.51,30.66,31.08,31.13,31.56,31.7,31.94,32.14,32.25,32.59,32.66,33.03,33.06
강동구 - 남편,Statistics,29.58,29.9,30.28,30.85,30.96,31.03,31.09,31.44,31.86,31.89,32.14,32.28,32.48,32.62,32.88,33.18,33.27,33.52,33.47,33.64,33.76,34.02,34.28,34.02
강동구 - 아내,Statistics,27.23,27.5,27.85,28.16,28.23,28.53,28.81,29.0,29.42,29.66,29.93,30.09,30.24,30.61,30.79,31.12,31.26,31.23,31.44,31.58,31.75,32.21,32.22,32.17
강릉시 - 남편,Statistics,29.3,29.71,29.83,30.31,30.69,30.68,30.92,31.39,32.01,31.92,32.01,32.2,32.29,32.67,32.83,32.92,33.14,33.53,33.35,33.24,32.65,33.95,33.06,33.82
강릉시 - 아내,Statistics,26.55,26.84,26.92,27.14,27.68,27.97,28.37,28.5,28.89,29.07,29.27,29.5,29.63,29.43,29.92,30.38,30.06,30.19,30.23,30.31,30.53,30.73,30.87,31.33
강북구 - 남편,Statistics,29.82,29.99,30.39,30.92,31.16,31.19,31.5,31.8,32.06,32.25,32.18,32.33,32.57,32.78,33.11,33.55,33.5,33.73,34.15,33.97,34.31,34.51,35.1,34.43
강북구 - 아내,Statistics,27.34,27.59,27.8,28.26,28.5,28.71,28.84,29.14,29.68,29.79,29.85,30.09,30.14,30.7,30.5,30.92,31.0,31.03,31.53,31.31,32.07,32.11,32.81,32.14
강서구 - 남편,Statistics,29.8,29.98,30.47,30.67,30.99,31.15,31.28,31.49,31.72,31.83,32.06,32.38,32.53,32.69,32.87,33.21,33.19,33.31,33.64,33.42,33.67,33.99,34.29,34.23
강서구 - 아내,Statistics,27.28,27.57,27.77,28.05,28.41,28.51,28.83,29.15,29.39,29.63,29.86,30.14,30.32,30.47,30.69,31.04,31.05,31.04,31.36,31.44,31.62,32.01,32.28,32.38
강원특별자치도 - 남편,Statistics,29.37,29.67,30.01,30.31,30.7,30.82,30.97,31.23,31.62,31.93,31.89,31.93,31.94,32.16,32.2,32.39,32.65,32.88,33.13,32.97,32.88,33.19,33.66,33.47
강원특별자치도 - 아내,Statistics,26.33,26.53,26.86,27.09,27.41,27.64,27.93,28.25,28.58,28.91,28.86,29.18,29.3,29.4,29.61,29.78,29.93,30.15,30.34,30.39,30.55,30.83,31.08,31.23
강진군 - 남편,Statistics,28.94,29.5,29.8,30.58,30.86,31.16,31.89,31.53,32.72,31.6,31.6,33.04,32.46,33.39,32.71,33.1,33.72,33.16,34.83,32.19,34.27,34.27,34.85,33.07
강진군 - 아내,Statistics,25.44,25.86,26.29,25.81,26.5,27.22,27.35,27.67,27.82,27.83,28.06,28.81,28.42,28.97,29.95,30.04,29.11,30.02,30.09,30.18,31.15,31.25,31.02,31.29
강화군 - 남편,Statistics,28.65,29.09,29.75,29.92,30.79,31.22,31.63,32.04,31.86,32.41,31.73,31.93,32.15,32.14,32.18,32.63,31.67,32.97,33.87,33.09,34.51,34.29,35.2,34.11
강화군 - 아내,Statistics,25.63,26.29,26.61,27.15,27.07,26.72,27.99,28.67,28.14,28.76,28.54,29.4,29.43,29.8,30.35,29.57,29.79,29.98,30.72,31.38,31.5,31.1,32.16,31.75
거제시 - 남편,Statistics,29.05,28.97,29.49,29.71,30.04,30.05,30.32,30.44,30.35,30.66,31.0,31.21,31.52,31.78,31.86,32.21,32.37,32.78,33.04,33.48,32.98,33.78,33.6,34.24
