item,category,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도 - 남편,Statistics,39.71,39.85,39.72,40.07,41.18,40.41,40.31,41.68,42.0,41.88,42.11,42.34,42.85,43.42,43.97,44.23,44.6,44.9,45.81,46.08,46.59,46.38,46.89,47.28,48.11,48.56,49.48,49.82,50.2,50.39,51.02,51.44,52.43,52.32
강원특별자치도 - 아내,Statistics,33.78,34.25,34.33,34.84,35.64,35.54,35.55,36.68,37.05,37.24,37.44,37.96,38.62,38.64,39.14,39.57,39.82,40.86,41.2,41.96,42.3,42.11,43.1,43.67,44.06,44.84,45.51,45.63,46.42,46.71,47.32,47.94,48.2,48.5
경기도 - 남편,Statistics,38.68,38.91,38.97,39.18,39.78,39.58,39.96,40.94,41.48,41.37,41.57,41.32,42.16,43.09,43.54,43.9,44.26,44.43,45.39,45.7,45.83,46.35,46.61,46.86,47.4,48.1,48.6,48.79,49.5,49.68,50.53,51.01,51.52,51.82
경기도 - 아내,Statistics,34.01,34.35,34.57,34.6,35.05,34.98,35.58,36.48,37.22,37.2,37.16,37.3,37.51,38.32,38.8,39.28,39.8,40.24,41.12,41.6,41.99,42.58,42.72,43.28,43.75,44.34,44.81,45.21,45.8,46.17,46.93,47.41,47.71,48.05
경상남도 - 남편,Statistics,38.28,38.61,38.9,38.97,39.75,39.58,40.63,41.14,42.16,41.59,41.59,41.8,41.85,42.33,42.86,43.73,43.94,44.3,44.46,45.29,45.72,46.02,46.19,46.97,47.47,47.82,48.45,48.87,49.75,49.75,50.31,50.87,51.21,51.23
경상남도 - 아내,Statistics,33.75,34.0,34.4,34.38,34.84,34.94,35.71,36.37,37.06,37.0,37.13,37.44,37.19,38.01,38.37,39.16,39.69,39.84,40.4,41.29,41.34,41.64,42.03,43.08,42.87,43.83,44.04,44.91,45.58,45.8,45.99,46.85,46.95,46.87
경상북도 - 남편,Statistics,39.66,39.32,39.63,39.79,40.27,40.21,40.8,42.18,41.82,42.12,41.67,42.1,42.47,43.07,43.36,43.72,44.3,44.94,45.26,45.51,45.85,46.48,46.78,47.19,47.81,48.27,48.53,49.19,49.65,50.01,50.28,50.48,51.58,51.11
경상북도 - 아내,Statistics,33.99,33.82,34.11,34.45,34.8,34.88,35.42,36.68,36.86,37.13,36.99,37.65,37.78,38.02,38.33,39.19,39.66,40.37,40.52,40.93,41.24,41.91,42.32,42.72,43.42,43.76,43.97,44.55,45.03,45.1,45.95,46.22,46.99,46.27
광주광역시 - 남편,Statistics,38.71,38.3,39.09,38.7,39.68,39.36,38.65,40.68,41.15,40.77,41.47,41.04,41.67,42.99,43.25,43.88,44.35,44.06,44.98,46.15,45.69,46.2,45.91,46.86,46.17,47.18,48.73,47.76,48.88,50.15,50.46,50.51,50.66,51.24
광주광역시 - 아내,Statistics,34.2,33.95,34.45,34.27,35.05,34.88,34.89,36.23,36.52,36.8,37.06,37.27,36.79,38.15,38.67,39.25,39.18,39.48,40.59,41.96,40.92,41.64,42.06,42.68,42.43,43.41,44.34,43.94,45.1,45.89,46.62,45.82,46.74,47.29
국외 - 남편,Statistics,45.12,45.33,46.14,45.94,45.82,46.52,46.79,47.25,47.54,48.78,48.76,47.93,47.27,46.5,46.15,47.29,48.08,48.25,47.93,48.41,48.4,48.39,48.48,47.86,47.44,46.38,46.12,45.01,45.32,44.87,45.53,44.47,44.07,44.4
국외 - 아내,Statistics,37.73,37.99,38.11,38.53,38.43,38.34,38.47,38.83,39.43,39.48,39.31,39.68,40.72,41.17,41.15,40.29,40.07,39.6,40.51,39.98,40.01,40.16,39.48,39.5,38.96,37.78,37.86,37.19,37.94,38.49,40.33,39.43,39.96,40.3
대구광역시 - 남편,Statistics,37.97,38.55,38.53,38.52,39.54,39.21,39.58,41.0,41.4,41.57,41.36,41.6,42.19,43.26,43.2,44.45,44.36,44.43,45.49,45.58,46.38,46.02,46.26,46.98,47.22,48.47,48.34,48.72,48.97,50.38,50.21,50.5,51.05,50.97
