item,category,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 혼인,Statistics,434.0,385.0,379.0,344.0,298.0,312.0,266.0,296.0,284.0,320.0,324.0,333.0,295.0,331.0,301.0,278.0,275.0,280.0,315.0,269.0,269.0,244.0,272.0,202.0,221.0,220.0,0.0,0.0
강남구 - 혼인,Statistics,4771.0,4794.0,4842.0,3984.0,3929.0,3639.0,3390.0,3452.0,3639.0,3912.0,3856.0,3641.0,3500.0,3636.0,3657.0,3721.0,3591.0,3560.0,3380.0,3032.0,2677.0,2519.0,2338.0,2046.0,1680.0,1666.0,1961.0,2298.0
강동구 - 혼인,Statistics,3749.0,3547.0,3440.0,3470.0,3275.0,3164.0,2983.0,2907.0,2953.0,2985.0,3216.0,3154.0,3343.0,3473.0,3436.0,3312.0,3166.0,2977.0,2753.0,2399.0,2427.0,2371.0,2129.0,2433.0,1892.0,1645.0,1683.0,2070.0
강릉시 - 혼인,Statistics,1651.0,1639.0,1618.0,1577.0,1481.0,1307.0,1281.0,1177.0,1173.0,1184.0,1228.0,1178.0,1088.0,1071.0,1140.0,1107.0,1026.0,983.0,977.0,920.0,924.0,876.0,893.0,801.0,799.0,691.0,626.0,748.0
강북구 - 혼인,Statistics,3387.0,2785.0,2625.0,2546.0,2422.0,2459.0,2316.0,2225.0,2174.0,2207.0,2390.0,2237.0,2053.0,2142.0,2122.0,2207.0,1975.0,1819.0,1715.0,1500.0,1436.0,1344.0,1260.0,1041.0,891.0,838.0,844.0,890.0
강서구 - 혼인,Statistics,4654.0,4339.0,4301.0,4038.0,3835.0,3771.0,3998.0,3812.0,3900.0,4171.0,4233.0,4283.0,4141.0,4247.0,4276.0,4432.0,4331.0,4338.0,4578.0,4111.0,4069.0,3835.0,3589.0,3233.0,2669.0,2614.0,2558.0,2850.0
강원특별자치도 - 혼인,Statistics,11279.0,11470.0,11064.0,9898.0,9162.0,8378.0,8413.0,8235.0,8496.0,8731.0,8930.0,8517.0,8081.0,8365.0,8338.0,8225.0,7946.0,7785.0,7876.0,7468.0,7295.0,6994.0,6762.0,5868.0,5622.0,5572.0,5494.0,6143.0
강진군 - 혼인,Statistics,299.0,268.0,324.0,206.0,180.0,124.0,169.0,159.0,185.0,180.0,185.0,162.0,168.0,173.0,192.0,166.0,159.0,149.0,134.0,138.0,126.0,121.0,120.0,91.0,75.0,80.0,0.0,0.0
강화군 - 혼인,Statistics,403.0,388.0,391.0,284.0,320.0,290.0,276.0,292.0,308.0,281.0,310.0,289.0,293.0,302.0,264.0,247.0,239.0,210.0,265.0,219.0,234.0,207.0,221.0,195.0,190.0,166.0,0.0,0.0
거제시 - 혼인,Statistics,1642.0,1688.0,1670.0,1443.0,1336.0,1278.0,1347.0,1479.0,1641.0,1913.0,2043.0,2019.0,2113.0,2337.0,2302.0,2161.0,2186.0,2095.0,2281.0,2040.0,1577.0,1285.0,1071.0,835.0,760.0,771.0,672.0,762.0
거창군 - 혼인,Statistics,395.0,405.0,365.0,315.0,314.0,313.0,262.0,289.0,288.0,324.0,345.0,304.0,257.0,277.0,260.0,258.0,283.0,238.0,220.0,234.0,189.0,197.0,203.0,168.0,139.0,163.0,0.0,0.0
경기도 - 혼인,Statistics,76966.0,74603.0,72081.0,69160.0,68516.0,68330.0,68255.0,70236.0,72431.0,77231.0,81248.0,78004.0,73403.0,78471.0,79137.0,79449.0,77649.0,74306.0,73950.0,70052.0,66429.0,66877.0,62356.0,57814.0,54658.0,54178.0,54221.0,62629.0
경산시 - 혼인,Statistics,1806.0,1752.0,1833.0,1533.0,1399.0,1320.0,1306.0,1274.0,1396.0,1626.0,1639.0,1568.0,1386.0,1554.0,1604.0,1561.0,1564.0,1479.0,1556.0,1541.0,1341.0,1283.0,1198.0,987.0,868.0,902.0,881.0,1008.0
경상남도 - 혼인,Statistics,23916.0,23384.0,22180.0,19900.0,18849.0,17905.0,17558.0,18375.0,18664.0,20789.0,21555.0,20497.0,19494.0,21170.0,20769.0,20140.0,20291.0,19056.0,18671.0,17580.0,15978.0,14996.0,13613.0,11900.0,10531.0,10504.0,10232.0,11429.0
경상북도 - 혼인,Statistics,21247.0,20174.0,19051.0,17061.0,15884.0,14600.0,14240.0,14000.0,14639.0,16178.0,16623.0,15634.0,14499.0,15592.0,15942.0,15383.0,15421.0,14183.0,14273.0,13363.0,12190.0,11687.0,10637.0,9046.0,8163.0,8180.0,8128.0,9067.0
경주시 - 혼인,Statistics,2470.0,2340.0,2008.0,1915.0,1675.0,1538.0,1548.0,1510.0,1628.0,1677.0,1679.0,1514.0,1370.0,1399.0,1408.0,1360.0,1459.0,1297.0,1252.0,1130.0,1035.0,1127.0,969.0,859.0,758.0,765.0,784.0,879.0
계룡시 - 혼인,Statistics,0.0,0.0,0.0,99.0,119.0,135.0,116.0,123.0,156.0,212.0,216.0,224.0,221.0,176.0,170.0,180.0,179.0,143.0,171.0,171.0,130.0,123.0,119.0,119.0,120.0,132.0,171.0,191.0
계양구 - 혼인,Statistics,2406.0,2823.0,2408.0,2452.0,2225.0,2222.0,2032.0,1700.0,1795.0,2046.0,2163.0,2222.0,2072.0,2208.0,2246.0,2239.0,2185.0,1964.0,1934.0,1690.0,1585.0,1493.0,1249.0,1020.0,1009.0,1004.0,962.0,1089.0
고령군 - 혼인,Statistics,333.0,275.0,248.0,215.0,207.0,173.0,177.0,170.0,156.0,242.0,235.0,171.0,153.0,147.0,166.0,166.0,185.0,152.0,132.0,127.0,118.0,111.0,88.0,63.0,61.0,56.0,0.0,0.0
고성군 - 혼인,Statistics,273.0,260.0,258.0,230.0,167.0,159.0,183.0,143.0,175.0,180.0,179.0,136.0,163.0,176.0,163.0,174.0,166.0,149.0,171.0,178.0,137.0,140.0,130.0,98.0,93.0,111.0,0.0,0.0
고양시 - 혼인,Statistics,6081.0,6083.0,5858.0,5535.0,5341.0,5167.0,5203.0,5342.0,5242.0,5460.0,5821.0,5528.0,4915.0,5367.0,5518.0,5362.0,5455.0,5325.0,5361.0,4932.0,4730.0,4317.0,4440.0,4188.0,4172.0,3905.0,3671.0,4569.0
고창군 - 혼인,Statistics,414.0,401.0,372.0,328.0,313.0,236.0,261.0,256.0,318.0,284.0,316.0,296.0,243.0,268.0,265.0,247.0,271.0,231.0,209.0,222.0,204.0,185.0,203.0,150.0,129.0,135.0,0.0,0.0
고흥군 - 혼인,Statistics,531.0,539.0,538.0,456.0,399.0,330.0,309.0,325.0,364.0,399.0,337.0,329.0,290.0,314.0,267.0,234.0,255.0,235.0,205.0,219.0,176.0,189.0,209.0,149.0,136.0,141.0,0.0,0.0
곡성군 - 혼인,Statistics,253.0,212.0,212.0,204.0,171.0,157.0,182.0,156.0,164.0,158.0,163.0,130.0,128.0,135.0,116.0,114.0,103.0,101.0,85.0,94.0,107.0,69.0,83.0,53.0,48.0,49.0,0.0,0.0
공주시 - 혼인,Statistics,837.0,856.0,789.0,740.0,682.0,641.0,627.0,640.0,691.0,689.0,739.0,655.0,652.0,610.0,650.0,559.0,562.0,538.0,484.0,403.0,383.0,399.0,362.0,296.0,260.0,300.0,256.0,271.0
과천시 - 혼인,Statistics,682.0,692.0,571.0,523.0,467.0,470.0,451.0,371.0,241.0,260.0,295.0,347.0,371.0,367.0,384.0,364.0,383.0,330.0,385.0,266.0,207.0,232.0,240.0,311.0,340.0,484.0,306.0,465.0
관악구 - 혼인,Statistics,5647.0,4982.0,4910.0,4720.0,4781.0,4506.0,4627.0,4662.0,4428.0,4660.0,4880.0,4509.0,4296.0,4365.0,4372.0,4457.0,4183.0,3949.0,3859.0,3537.0,3205.0,3090.0,2802.0,2529.0,2110.0,1981.0,1951.0,2400.0
광명시 - 혼인,Statistics,3219.0,3047.0,2753.0,2646.0,2639.0,2612.0,2450.0,2385.0,2305.0,2141.0,2255.0,2249.0,2021.0,2848.0,2863.0,2705.0,2442.0,2197.0,2111.0,1897.0,1722.0,1674.0,1489.0,1230.0,1103.0,1113.0,1070.0,1259.0
광산구 - 혼인,Statistics,2224.0,2135.0,2139.0,1993.0,1938.0,1949.0,1877.0,2032.0,1997.0,2244.0,2230.0,2127.0,2097.0,2525.0,2589.0,2499.0,2528.0,2346.0,2336.0,2182.0,2080.0,1950.0,1928.0,1691.0,1500.0,1455.0,1538.0,1622.0
광양시 - 혼인,Statistics,1086.0,1091.0,1168.0,916.0,883.0,775.0,699.0,756.0,852.0,902.0,908.0,875.0,902.0,966.0,1108.0,1057.0,1040.0,936.0,880.0,809.0,790.0,748.0,661.0,595.0,587.0,638.0,689.0,895.0
광주광역시 - 혼인,Statistics,10654.0,10319.0,10303.0,9557.0,8765.0,8230.0,7760.0,8012.0,7827.0,8487.0,8858.0,8472.0,8088.0,8566.0,8946.0,8596.0,8820.0,8213.0,7945.0,7468.0,7141.0,6632.0,6297.0,5560.0,4901.0,4902.0,5169.0,5688.0
광주군 - 혼인,Statistics,936.0,944.0,933.0,969.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
광주시 - 혼인,Statistics,0.0,0.0,0.0,,1030.0,1149.0,1255.0,1331.0,1469.0,1551.0,1661.0,1643.0,1499.0,1630.0,1898.0,1982.0,2000.0,2027.0,2180.0,2162.0,2173.0,2210.0,1931.0,1736.0,1635.0,1521.0,1524.0,1780.0
광진구 - 혼인,Statistics,4290.0,4033.0,3757.0,3281.0,3213.0,3216.0,3000.0,2844.0,2801.0,3059.0,3023.0,2725.0,2643.0,2672.0,2766.0,2798.0,2685.0,2589.0,2576.0,2285.0,2082.0,2164.0,1893.0,1661.0,1399.0,1317.0,1361.0,1512.0
괴산군 - 혼인,Statistics,391.0,327.0,291.0,266.0,234.0,206.0,198.0,175.0,197.0,195.0,193.0,174.0,169.0,170.0,154.0,179.0,128.0,145.0,168.0,155.0,149.0,132.0,116.0,123.0,78.0,88.0,0.0,0.0
구례군 - 혼인,Statistics,205.0,184.0,192.0,178.0,145.0,154.0,139.0,129.0,127.0,143.0,153.0,127.0,136.0,143.0,120.0,112.0,106.0,108.0,91.0,109.0,79.0,78.0,73.0,51.0,51.0,49.0,0.0,0.0
구로구 - 혼인,Statistics,3567.0,3495.0,3625.0,3320.0,3263.0,3205.0,3137.0,3396.0,3451.0,3701.0,3952.0,3649.0,3307.0,3472.0,3470.0,3610.0,3357.0,3156.0,3045.0,2674.0,2460.0,2286.0,2063.0,2063.0,1671.0,1562.0,1655.0,1897.0
구리시 - 혼인,Statistics,1390.0,1265.0,1256.0,1134.0,1121.0,1220.0,1225.0,1172.0,1150.0,1294.0,1325.0,1288.0,1206.0,1266.0,1174.0,1149.0,1053.0,944.0,930.0,874.0,948.0,923.0,793.0,730.0,680.0,691.0,652.0,697.0
구미시 - 혼인,Statistics,3393.0,3268.0,3260.0,2688.0,2605.0,2563.0,2485.0,2464.0,2606.0,3058.0,3248.0,2962.0,2815.0,3055.0,3276.0,3155.0,3236.0,2810.0,2792.0,2618.0,2470.0,2326.0,2125.0,1794.0,1476.0,1510.0,1499.0,1690.0
국외 - 혼인,Statistics,4883.0,4068.0,4765.0,4755.0,4697.0,4182.0,5794.0,10030.0,12288.0,9953.0,9520.0,8312.0,8791.0,8525.0,7933.0,7781.0,7909.0,7724.0,6704.0,5096.0,5115.0,5283.0,5248.0,3385.0,3163.0,3804.0,4094.0,4279.0
군산시 - 혼인,Statistics,2256.0,1969.0,1785.0,1466.0,1434.0,1564.0,1536.0,1451.0,1464.0,1602.0,1656.0,1689.0,1639.0,1856.0,1834.0,1921.0,1705.0,1579.0,1606.0,1437.0,1322.0,1140.0,1089.0,1015.0,830.0,817.0,825.0,949.0
군위군 - 혼인,Statistics,204.0,180.0,160.0,138.0,132.0,111.0,92.0,131.0,141.0,141.0,124.0,95.0,87.0,114.0,100.0,86.0,66.0,76.0,99.0,61.0,77.0,67.0,64.0,50.0,34.0,33.0,36.0,41.0
군포시 - 혼인,Statistics,2677.0,2728.0,2335.0,2058.0,2054.0,2077.0,2117.0,1985.0,2036.0,2148.0,2056.0,1995.0,1856.0,2177.0,2197.0,1971.0,1949.0,1954.0,1974.0,1772.0,1639.0,1428.0,1294.0,1167.0,1103.0,1053.0,1024.0,1130.0
권선구 - 혼인,Statistics,2813.0,2588.0,2467.0,2440.0,2535.0,2342.0,1895.0,1892.0,1986.0,2321.0,2457.0,2324.0,2207.0,2210.0,2352.0,2611.0,2388.0,2342.0,2463.0,2457.0,2310.0,2293.0,1978.0,1800.0,1674.0,1659.0,1699.0,1905.0
금산군 - 혼인,Statistics,433.0,467.0,403.0,351.0,328.0,315.0,291.0,317.0,357.0,308.0,339.0,360.0,289.0,329.0,271.0,256.0,235.0,225.0,229.0,197.0,149.0,165.0,170.0,110.0,107.0,134.0,0.0,0.0
금정구 - 혼인,Statistics,1335.0,2086.0,1934.0,1752.0,1483.0,1418.0,1419.0,1352.0,1272.0,1348.0,1356.0,1282.0,1111.0,1191.0,1216.0,1263.0,1324.0,1177.0,1184.0,1004.0,974.0,930.0,815.0,663.0,653.0,590.0,593.0,613.0
금천구 - 혼인,Statistics,2455.0,2392.0,2259.0,1974.0,1874.0,1821.0,1815.0,1826.0,1742.0,1819.0,1813.0,1662.0,1552.0,1705.0,1662.0,1689.0,1594.0,1556.0,1481.0,1324.0,1439.0,1269.0,1243.0,1285.0,1061.0,1149.0,1034.0,1179.0
기장군 - 혼인,Statistics,571.0,551.0,537.0,438.0,424.0,474.0,429.0,436.0,451.0,427.0,501.0,485.0,607.0,749.0,682.0,796.0,964.0,1054.0,1058.0,982.0,832.0,772.0,746.0,739.0,653.0,699.0,0.0,0.0
기흥구 - 혼인,Statistics,0.0,0.0,0.0,,,,,,1637.0,1935.0,2224.0,2093.0,2026.0,2332.0,2375.0,2294.0,2392.0,2332.0,2258.0,1969.0,1849.0,1757.0,1843.0,1649.0,1399.0,1395.0,1469.0,1806.0
김제시 - 혼인,Statistics,915.0,835.0,698.0,669.0,651.0,586.0,512.0,553.0,506.0,562.0,550.0,481.0,437.0,482.0,420.0,402.0,385.0,370.0,337.0,302.0,313.0,267.0,240.0,289.0,207.0,229.0,275.0,323.0
김천시 - 혼인,Statistics,1085.0,1054.0,969.0,863.0,813.0,728.0,735.0,720.0,714.0,831.0,831.0,750.0,605.0,650.0,691.0,680.0,648.0,569.0,660.0,688.0,641.0,592.0,562.0,473.0,439.0,404.0,402.0,423.0
김포군 - 혼인,Statistics,912.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
김포시 - 혼인,Statistics,0.0,982.0,1112.0,1006.0,1187.0,1103.0,1157.0,1205.0,1187.0,1204.0,1231.0,1222.0,1227.0,1422.0,1472.0,1787.0,1885.0,2038.0,1935.0,1720.0,1908.0,2076.0,1934.0,2031.0,1859.0,1796.0,1827.0,2007.0
김해시 - 혼인,Statistics,2811.0,2645.0,2573.0,2325.0,2195.0,2447.0,2689.0,2762.0,2724.0,3056.0,3208.0,3102.0,2985.0,3238.0,3084.0,3061.0,3320.0,3123.0,2901.0,2750.0,2578.0,2489.0,2425.0,2185.0,1820.0,1829.0,1837.0,2031.0
나주시 - 혼인,Statistics,846.0,749.0,757.0,653.0,553.0,514.0,549.0,449.0,437.0,491.0,538.0,497.0,471.0,442.0,407.0,458.0,417.0,414.0,567.0,593.0,623.0,591.0,582.0,488.0,514.0,444.0,487.0,536.0
남구 - 혼인,Statistics,2045.0,2193.0,2057.0,1821.0,1815.0,1683.0,1656.0,1671.0,1607.0,1701.0,1786.0,1772.0,1564.0,1592.0,1552.0,1529.0,1542.0,1448.0,1313.0,1153.0,1023.0,1065.0,1045.0,761.0,702.0,671.0,713.0,810.0
남동구 - 혼인,Statistics,3388.0,3313.0,3057.0,3100.0,2996.0,2818.0,2416.0,2399.0,2440.0,2645.0,3118.0,3411.0,3014.0,3088.0,3200.0,3224.0,3115.0,3067.0,3256.0,3036.0,2826.0,2679.0,2311.0,2095.0,1788.0,1785.0,1770.0,1901.0
남양주시 - 혼인,Statistics,2359.0,2473.0,2606.0,2582.0,2312.0,2207.0,2269.0,2365.0,2609.0,3002.0,3189.0,3027.0,2912.0,3220.0,3292.0,3201.0,3397.0,3179.0,3269.0,3037.0,2675.0,2759.0,2630.0,2362.0,2458.0,2586.0,2349.0,2597.0
남원시 - 혼인,Statistics,684.0,693.0,628.0,535.0,509.0,498.0,468.0,454.0,447.0,454.0,420.0,412.0,382.0,402.0,422.0,367.0,357.0,334.0,309.0,328.0,324.0,261.0,269.0,211.0,164.0,207.0,171.0,220.0
남제주군 - 혼인,Statistics,649.0,629.0,639.0,598.0,497.0,466.0,429.0,362.0,430.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
남해군 - 혼인,Statistics,389.0,361.0,323.0,260.0,213.0,218.0,189.0,203.0,199.0,253.0,250.0,196.0,197.0,191.0,173.0,168.0,160.0,159.0,134.0,121.0,122.0,116.0,118.0,91.0,75.0,84.0,0.0,0.0
노원구 - 혼인,Statistics,4480.0,4437.0,4756.0,4627.0,4452.0,4261.0,3957.0,3826.0,3778.0,3977.0,4013.0,3625.0,3368.0,3511.0,3720.0,3638.0,3432.0,3176.0,3146.0,2778.0,2420.0,2240.0,2138.0,1961.0,1765.0,1748.0,1639.0,1735.0
논산시 - 혼인,Statistics,919.0,997.0,903.0,781.0,723.0,645.0,698.0,670.0,690.0,712.0,665.0,644.0,575.0,642.0,625.0,621.0,546.0,545.0,558.0,529.0,484.0,489.0,428.0,361.0,314.0,356.0,402.0,385.0
단양군 - 혼인,Statistics,301.0,286.0,254.0,207.0,205.0,159.0,163.0,175.0,168.0,158.0,145.0,146.0,133.0,154.0,152.0,116.0,137.0,125.0,125.0,113.0,113.0,104.0,100.0,66.0,80.0,66.0,0.0,0.0
단원구 - 혼인,Statistics,0.0,0.0,0.0,,,2201.0,2159.0,2200.0,2357.0,2499.0,2619.0,2544.0,2331.0,2258.0,2249.0,2257.0,2274.0,1956.0,1883.0,1754.0,1563.0,1619.0,1678.0,1457.0,1344.0,1247.0,1286.0,1402.0
