item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 다문화 혼인 건수(건),Statistics,57.0,71.0,48.0,33.0,37.0,35.0,33.0,23.0,30.0,45.0,46.0,26.0,27.0,34.0,27.0
가평군 - 다문화 혼인 비중(%),Statistics,19.1,21.1,15.7,11.8,13.1,12.2,10.4,8.5,11.0,18.4,16.8,12.5,11.7,15.1,12.1
가평군 - 전체 혼인 건수(건),Statistics,298.0,337.0,305.0,279.0,283.0,287.0,318.0,271.0,273.0,245.0,273.0,208.0,230.0,225.0,223.0
강남구 - 다문화 혼인 건수(건),Statistics,307.0,343.0,333.0,315.0,319.0,341.0,294.0,274.0,277.0,274.0,251.0,216.0,181.0,186.0,210.0
강남구 - 다문화 혼인 비중(%),Statistics,8.5,9.0,8.7,8.2,8.5,9.2,8.4,8.7,9.8,10.4,10.4,10.2,10.3,10.6,10.3
강남구 - 전체 혼인 건수(건),Statistics,3633.0,3823.0,3836.0,3864.0,3757.0,3709.0,3498.0,3159.0,2818.0,2632.0,2418.0,2126.0,1763.0,1749.0,2029.0
강동구 - 다문화 혼인 건수(건),Statistics,275.0,322.0,260.0,250.0,210.0,199.0,165.0,149.0,148.0,177.0,158.0,117.0,124.0,133.0,158.0
강동구 - 다문화 혼인 비중(%),Statistics,8.1,9.1,7.4,7.4,6.5,6.6,5.9,6.1,6.0,7.3,7.3,4.7,6.4,7.9,9.2
강동구 - 전체 혼인 건수(건),Statistics,3399.0,3550.0,3504.0,3365.0,3224.0,3028.0,2812.0,2444.0,2478.0,2409.0,2177.0,2472.0,1933.0,1684.0,1725.0
강릉시 - 다문화 혼인 건수(건),Statistics,113.0,78.0,91.0,92.0,73.0,84.0,60.0,67.0,75.0,87.0,94.0,54.0,40.0,55.0,60.0
강릉시 - 다문화 혼인 비중(%),Statistics,10.2,7.2,7.9,8.3,7.1,8.4,6.1,7.2,8.0,9.8,10.4,6.7,5.0,7.9,9.5
강릉시 - 전체 혼인 건수(건),Statistics,1106.0,1079.0,1159.0,1113.0,1033.0,995.0,986.0,930.0,938.0,889.0,907.0,809.0,807.0,696.0,634.0
강북구 - 다문화 혼인 건수(건),Statistics,273.0,243.0,236.0,192.0,143.0,165.0,141.0,140.0,132.0,152.0,143.0,111.0,61.0,65.0,99.0
강북구 - 다문화 혼인 비중(%),Statistics,13.0,11.1,10.8,8.6,7.1,8.8,8.0,9.1,9.0,11.1,11.0,10.4,6.7,7.7,11.4
강북구 - 전체 혼인 건수(건),Statistics,2106.0,2195.0,2186.0,2244.0,2024.0,1866.0,1763.0,1540.0,1473.0,1374.0,1296.0,1065.0,904.0,848.0,871.0
강서구 - 다문화 혼인 건수(건),Statistics,337.0,353.0,289.0,293.0,250.0,281.0,272.0,253.0,267.0,300.0,315.0,207.0,173.0,199.0,221.0
강서구 - 다문화 혼인 비중(%),Statistics,8.0,8.1,6.6,6.5,5.7,6.3,5.8,6.0,6.4,7.6,8.5,6.3,6.4,7.5,8.4
강서구 - 전체 혼인 건수(건),Statistics,4228.0,4337.0,4356.0,4528.0,4402.0,4428.0,4663.0,4198.0,4159.0,3930.0,3688.0,3296.0,2700.0,2668.0,2620.0
강원도 - 다문화 혼인 건수(건),Statistics,909.0,895.0,813.0,703.0,605.0,551.0,452.0,478.0,519.0,574.0,650.0,416.0,317.0,432.0,558.0
강원도 - 다문화 혼인 비중(%),Statistics,11.1,10.6,9.7,8.5,7.5,7.0,5.7,6.3,7.0,8.1,9.5,7.0,5.6,7.7,10.0
강원도 - 전체 혼인 건수(건),Statistics,8202.0,8450.0,8418.0,8301.0,8024.0,7876.0,7941.0,7532.0,7375.0,7074.0,6833.0,5923.0,5670.0,5632.0,5565.0
강진군 - 다문화 혼인 건수(건),Statistics,45.0,30.0,31.0,19.0,26.0,18.0,12.0,18.0,16.0,17.0,20.0,11.0,6.0,9.0,10.0
