item,category,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 지역내총생산(시장가격) - 명목,Statistics,4280200.0,4891646.0,5468376.0,6066464.0,7156357.0,8088744.0,8885097.0,9647736.0,11135777.0,12904625.0,14998499.0,16305762.0,16073641.0,17201622.0,18027532.0,19114429.0,20697440.0,22745690.0,24099420.0,24930440.0,26509990.0,28483637.0,29737638.0,31003383.0,32613969.0,33942772.0,35448802.0,37267494.0,39794736.0,41872021.0,44677444.0,47451175.0,49092745.0,51349811.0,51573015.0,55267031.0,57723494.0,62107276.0
강원특별자치도 - 지역내총생산(시장가격) - 실질,Statistics,15967593.0,17155832.0,17963870.0,18922204.0,19691439.0,19820324.0,20446471.0,21175962.0,22674364.0,25007725.0,27206282.0,28400632.0,26318813.0,27616988.0,28612521.0,29226335.0,30049489.0,31634347.0,32390715.0,32806008.0,34913848.0,36389812.0,37292997.0,37657962.0,39343638.0,40069040.0,40960113.0,42411170.0,44455174.0,45270901.0,47177264.0,49581920.0,50631403.0,52507151.0,51573015.0,54326451.0,55031064.0,56534548.0
경기도 - 지역내총생산(시장가격) - 명목,Statistics,16184279.0,19544253.0,24313846.0,28476245.0,35378737.0,43857563.0,50638558.0,58586416.0,70080774.0,82446585.0,90989969.0,97277732.0,96935845.0,113398229.0,128673514.0,142804916.0,158938601.0,171788733.0,188217882.0,201109590.0,215858877.0,232445923.0,247505293.0,262247077.0,294473246.0,308997570.0,328996769.0,352021892.0,371520933.0,404868209.0,433443961.0,474938853.0,502061943.0,504950695.0,523161883.0,563385809.0,587328570.0,593555609.0
경기도 - 지역내총생산(시장가격) - 실질,Statistics,45643355.0,53754762.0,61847288.0,68142580.0,77478447.0,88687821.0,93234742.0,102235202.0,112757466.0,126470130.0,136261948.0,140173103.0,131186613.0,157489985.0,176450868.0,191987948.0,208278894.0,219192560.0,232420946.0,248291301.0,269977343.0,284211648.0,297689149.0,304410670.0,332441726.0,345982954.0,361810379.0,382445134.0,399546067.0,422460874.0,443452378.0,471235705.0,495533858.0,508689650.0,523161883.0,554006378.0,571942091.0,578124323.0
경상남도 - 지역내총생산(시장가격) - 명목,Statistics,11434811.0,13062934.0,15868209.0,17700080.0,21932855.0,26296229.0,31817571.0,35160032.0,42709316.0,50694150.0,55350738.0,63042078.0,38064522.0,40814784.0,44643250.0,49109251.0,54046335.0,57374459.0,61902374.0,65829944.0,69548589.0,75941321.0,83181424.0,86932330.0,91379500.0,95960383.0,100289460.0,101999535.0,103574876.0,109028154.0,113497638.0,113483841.0,114922033.0,118443865.0,114653976.0,118229847.0,126917220.0,137665165.0
경상남도 - 지역내총생산(시장가격) - 실질,Statistics,28758965.0,31881800.0,36093247.0,38374493.0,43089186.0,49900032.0,54707276.0,57059476.0,65286924.0,73309219.0,77853654.0,85468558.0,51652554.0,57579113.0,62241599.0,66567591.0,71486282.0,73918582.0,76993874.0,81980986.0,86602805.0,91856125.0,96563250.0,100063320.0,106215874.0,109669411.0,112960678.0,114153444.0,114875306.0,116381552.0,118456345.0,117937717.0,119142019.0,121423721.0,114653976.0,116960035.0,121090992.0,123721632.0
경상북도 - 지역내총생산(시장가격) - 명목,Statistics,8668100.0,10241409.0,12742978.0,13408793.0,15126109.0,17947264.0,19570429.0,21494555.0,26279966.0,30133737.0,32960450.0,38935082.0,38510715.0,42691914.0,48310459.0,50371041.0,54604059.0,59483763.0,66828589.0,70120727.0,71946347.0,75097087.0,79190540.0,82519405.0,91806685.0,95023354.0,97290949.0,102091617.0,109077761.0,109563894.0,112216094.0,115044741.0,115378926.0,113784086.0,112072885.0,118718919.0,121411361.0,127467010.0
경상북도 - 지역내총생산(시장가격) - 실질,Statistics,20794685.0,23301061.0,26787760.0,26939328.0,27775942.0,30155825.0,30302163.0,31335731.0,35797484.0,38972633.0,42497916.0,48791902.0,45786877.0,52351120.0,59917089.0,62015512.0,66000562.0,71052068.0,76189441.0,81313318.0,84177782.0,91022903.0,93483881.0,93431342.0,100345157.0,102712514.0,103791682.0,108093523.0,116042248.0,113620740.0,114425351.0,114123635.0,114346845.0,115485515.0,112072885.0,114892653.0,115612472.0,119278381.0
광주광역시 - 지역내총생산(시장가격) - 명목,Statistics,,2448077.0,3217311.0,3701762.0,4748232.0,5643316.0,6540413.0,7377159.0,8821798.0,10412807.0,11807411.0,12754753.0,12113072.0,12996266.0,14455426.0,15887645.0,17675919.0,18332927.0,19544264.0,21361924.0,22985879.0,24884915.0,25595300.0,26715816.0,29673477.0,30680959.0,31883492.0,33457826.0,35279756.0,37243072.0,39427386.0,41047259.0,42560850.0,44387597.0,45603430.0,47377153.0,49223290.0,51874860.0
광주광역시 - 지역내총생산(시장가격) - 실질,Statistics,,8353498.0,10059584.0,10787691.0,12297336.0,13313174.0,13883228.0,14949671.0,16552171.0,18658758.0,20431122.0,21010751.0,18883600.0,20483160.0,22382816.0,23688342.0,25551317.0,25681277.0,26499798.0,28577277.0,29899306.0,31207039.0,31605610.0,30778532.0,34750425.0,35531610.0,36273669.0,37626173.0,39026661.0,39740353.0,41006076.0,42364984.0,43465885.0,44768906.0,45603430.0,47473959.0,47950970.0,48615925.0
대구광역시 - 지역내총생산(시장가격) - 명목,Statistics,4869093.0,5805304.0,6617949.0,7422126.0,9211696.0,10650417.0,11825377.0,12921708.0,15267534.0,17630254.0,19758738.0,21767428.0,20937830.0,22693036.0,24759267.0,26455799.0,28700889.0,30448453.0,33029987.0,34270388.0,36069193.0,38564227.0,39783162.0,40600908.0,43460748.0,45685977.0,47968778.0,50155964.0,52255184.0,56003260.0,57550511.0,59404957.0,60778388.0,62510363.0,62597844.0,66531828.0,70327334.0,73115439.0
대구광역시 - 지역내총생산(시장가격) - 실질,Statistics,17390031.0,19626741.0,21207228.0,22194153.0,25248423.0,26132643.0,26582988.0,27572289.0,29896396.0,32286677.0,34448421.0,36360587.0,32950109.0,36054484.0,38222898.0,39080125.0,40786831.0,41639218.0,43975341.0,44982348.0,46334493.0,48529956.0,49121571.0,47845011.0,50816942.0,52566711.0,54473853.0,56400530.0,57929076.0,60132325.0,60452128.0,61561805.0,62307884.0,63321613.0,62597844.0,65647017.0,67070053.0,67890242.0
대전광역시 - 지역내총생산(시장가격) - 명목,Statistics,,,,3941368.0,4993543.0,6250350.0,7207931.0,8233343.0,9192618.0,10566487.0,11921546.0,13207024.0,13198039.0,13936448.0,15580806.0,16673896.0,18661511.0,20405176.0,21749822.0,22524672.0,23709098.0,25207135.0,26762913.0,28653056.0,30947892.0,32394148.0,33642497.0,34498814.0,35784897.0,37893020.0,40347343.0,41679606.0,42410316.0,44901333.0,46659399.0,48803055.0,50666636.0,54011008.0
대전광역시 - 지역내총생산(시장가격) - 실질,Statistics,,,,12584709.0,14290779.0,15870152.0,16786791.0,18048132.0,18486370.0,19975857.0,21516413.0,22880912.0,21776624.0,23117242.0,25196684.0,26014844.0,27832094.0,29346440.0,30263363.0,30871438.0,31965704.0,32901343.0,33371896.0,34344817.0,36610513.0,37832718.0,38469506.0,39001772.0,39807863.0,40778650.0,42451687.0,43053792.0,43382180.0,45590349.0,46659399.0,47751082.0,48631895.0,50363397.0
부산광역시 - 지역내총생산(시장가격) - 명목,Statistics,8238874.0,9534320.0,10962365.0,11931482.0,14854415.0,17518898.0,18846969.0,20817347.0,23888581.0,27764713.0,30939937.0,33406207.0,34064701.0,36352695.0,38204973.0,42872522.0,46092725.0,50404904.0,54200150.0,56159750.0,58288878.0,62940006.0,68124996.0,67772122.0,71127712.0,72595737.0,75333475.0,77941129.0,82824354.0,88748972.0,92379867.0,93177783.0,96494588.0,99530641.0,98225367.0,106510275.0,113844056.0,114165483.0
부산광역시 - 지역내총생산(시장가격) - 실질,Statistics,25675464.0,28321174.0,31017664.0,31521782.0,36060447.0,38396543.0,38570528.0,40536998.0,43121875.0,47254766.0,49859716.0,51257871.0,48876024.0,54921141.0,57257388.0,61423470.0,64264520.0,66659883.0,68461182.0,70874644.0,73577989.0,77619311.0,79672491.0,76973870.0,80990869.0,83097019.0,85205751.0,86953935.0,90937348.0,94037092.0,96661499.0,96123065.0,99017683.0,101231135.0,98225367.0,100759135.0,102497863.0,103284364.0
서울특별시 - 지역내총생산(시장가격) - 명목,Statistics,28300476.0,33326065.0,39099738.0,45269775.0,55301191.0,67241255.0,76204066.0,87267780.0,100628944.0,115489968.0,126685169.0,138846634.0,138569635.0,150844167.0,171126042.0,185951016.0,207221485.0,220525293.0,227984560.0,240165211.0,254845589.0,277068235.0,293244064.0,305877383.0,326942113.0,339841574.0,348077389.0,355173174.0,365436782.0,386818107.0,407074525.0,427092668.0,451385832.0,465940680.0,472863219.0,507460707.0,528484481.0,547617706.0
서울특별시 - 지역내총생산(시장가격) - 실질,Statistics,93984779.0,107015808.0,118718686.0,128135239.0,141429904.0,154609161.0,166740762.0,179822791.0,190793490.0,203696853.0,215433991.0,226124622.0,217654575.0,236996716.0,261575370.0,273292508.0,292063517.0,296817704.0,301533949.0,314613195.0,328443613.0,348285726.0,356180881.0,361203536.0,373707627.0,385357097.0,390618905.0,398144419.0,404439495.0,416886307.0,431299923.0,442507582.0,460496443.0,475206455.0,472863219.0,491388714.0,504359507.0,508134358.0
세종특별자치시 - 지역내총생산(시장가격) - 명목,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,7040434.0,8919847.0,9958014.0,10962552.0,11938796.0,12433506.0,13373529.0,14005902.0,15455438.0,16055841.0,16719226.0
세종특별자치시 - 지역내총생산(시장가격) - 실질,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,7955667.0,10002318.0,10832018.0,11728167.0,12431370.0,12796748.0,13684126.0,14005902.0,15040763.0,15374819.0,15567924.0
울산광역시 - 지역내총생산(시장가격) - 명목,Statistics,,,,,,,,,,,,,27547333.0,29120094.0,31369489.0,33589834.0,37666328.0,37774579.0,45399861.0,45837371.0,47311038.0,51982173.0,55906934.0,53804984.0,63989674.0,72041045.0,73381791.0,74674568.0,73436988.0,76116207.0,75839539.0,77390966.0,75961335.0,75031057.0,67807980.0,79762196.0,84886776.0,89871247.0
울산광역시 - 지역내총생산(시장가격) - 실질,Statistics,,,,,,,,,,,,,46280404.0,51379470.0,53130237.0,54343863.0,59513888.0,58406963.0,64478366.0,66682855.0,67838484.0,70934248.0,69798466.0,68874789.0,71760257.0,77699210.0,78141667.0,78605846.0,78730964.0,79111434.0,77042517.0,77113346.0,76025976.0,75021093.0,67807980.0,72410215.0,75151722.0,77569555.0
인천광역시 - 지역내총생산(시장가격) - 명목,Statistics,5120864.0,5924653.0,7299597.0,8469499.0,10660050.0,13573768.0,14986002.0,16815442.0,19355944.0,23652147.0,26060406.0,28916670.0,27083810.0,28708124.0,30904406.0,34343403.0,39359082.0,41511495.0,45321462.0,47134745.0,50240733.0,55392721.0,55394268.0,58038914.0,64999761.0,66397027.0,68470534.0,71241021.0,76017965.0,81805340.0,86826282.0,91217759.0,93031135.0,95272174.0,95297255.0,104386038.0,113253070.0,116862796.0
인천광역시 - 지역내총생산(시장가격) - 실질,Statistics,16845641.0,19058492.0,21907606.0,23595509.0,27144868.0,31957020.0,32375894.0,34250020.0,36292527.0,42211419.0,44479283.0,47245853.0,40815308.0,44334412.0,47149267.0,50726709.0,55918460.0,57142302.0,59980461.0,62174126.0,64873367.0,70393493.0,69392456.0,68420262.0,74771450.0,76265759.0,78973653.0,81108965.0,84859038.0,86908732.0,89458652.0,93271247.0,95614030.0,97928366.0,95297255.0,99781575.0,106604503.0,111713519.0
전국 - 지역내총생산(시장가격) - 명목,Statistics,110030849.0,128313751.0,153876374.0,174196167.0,212364652.0,257519039.0,294001394.0,332820947.0,392078366.0,458677049.0,508659120.0,562458824.0,561096559.0,615513843.0,681416214.0,739939578.0,817272367.0,875832070.0,950287292.0,996422320.0,1052150614.0,1138280581.0,1208002452.0,1260812140.0,1387312268.0,1454384791.0,1509908856.0,1574868314.0,1640110498.0,1743141850.0,1834868129.0,1935809579.0,2007811627.0,2042981250.0,2062489906.0,2224179729.0,2327595674.0,2404190710.0
전국 - 지역내총생산(시장가격) - 실질,Statistics,336396554.0,378422661.0,425139633.0,454930884.0,502174137.0,555713517.0,587292341.0,627569286.0,684390486.0,754021408.0,807951665.0,858589225.0,822643170.0,918327606.0,1001145776.0,1054522416.0,1127714770.0,1166910349.0,1222213977.0,1280590240.0,1349602329.0,1427963356.0,1465186371.0,1480808102.0,1581956002.0,1637691597.0,1677574227.0,1734211430.0,1790169111.0,1843297604.0,1901154107.0,1965889849.0,2026457077.0,2075340783.0,2062489906.0,2155993359.0,2214910682.0,2246567225.0
전라남도 - 지역내총생산(시장가격) - 명목,Statistics,7693359.0,6469232.0,7948002.0,8608572.0,10245940.0,12573845.0,14851825.0,16815736.0,18365963.0,22838743.0,25484649.0,29435480.0,30255849.0,31027182.0,32811462.0,35137418.0,37794577.0,41193927.0,46548179.0,46904406.0,46990939.0,52264241.0,57109484.0,55903242.0,65448178.0,66776892.0,68130024.0,70398062.0,70461464.0,73361198.0,76379384.0,78232007.0,79193518.0,79853688.0,81298601.0,93701706.0,96168598.0,98125127.0
전라남도 - 지역내총생산(시장가격) - 실질,Statistics,26804590.0,22622569.0,25754215.0,26405338.0,28403385.0,31993357.0,34427028.0,36262310.0,39434069.0,43428794.0,46428259.0,51634538.0,49155806.0,50057998.0,52910993.0,55161332.0,58008989.0,59005657.0,62362137.0,63264431.0,65372826.0,68935922.0,69989638.0,69521557.0,76491158.0,75165876.0,75757088.0,77382147.0,77625393.0,78147058.0,79506835.0,80385320.0,80900123.0,82491753.0,81298601.0,84905891.0,84275132.0,85319020.0
