item,category,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 1인당 민간소비,Statistics,5600.0,6153.0,5761.0,6704.0,7744.0,8306.0,9115.0,9197.0,9411.0,10026.0,10657.0,11330.0,11946.0,12289.0,13090.0,13825.0,14339.0,14788.0,15389.0,16024.0,16388.0,17051.0,18029.0,18220.0,17735.0,18625.0,20235.0,21277.0
경기도 - 1인당 민간소비,Statistics,5742.0,6264.0,5848.0,6721.0,7797.0,8613.0,9645.0,9771.0,10131.0,10847.0,11618.0,12457.0,13109.0,13489.0,14380.0,15181.0,15727.0,16110.0,16570.0,17011.0,17653.0,18482.0,19048.0,19457.0,18667.0,19955.0,21807.0,22878.0
경상남도 - 1인당 민간소비,Statistics,5473.0,6087.0,5676.0,6473.0,7340.0,7935.0,8831.0,8953.0,9224.0,9878.0,10524.0,11165.0,11856.0,12122.0,13009.0,13837.0,14320.0,14897.0,15349.0,15808.0,16310.0,16751.0,17466.0,17745.0,17145.0,18457.0,20439.0,21756.0
경상북도 - 1인당 민간소비,Statistics,5867.0,6396.0,6025.0,6918.0,7779.0,8338.0,9097.0,9131.0,9247.0,9743.0,10292.0,10866.0,11498.0,11893.0,12772.0,13455.0,13912.0,14323.0,14803.0,15273.0,15629.0,16518.0,17341.0,17703.0,17132.0,18397.0,19824.0,21078.0
광주광역시 - 1인당 민간소비,Statistics,6083.0,6613.0,6034.0,6976.0,7839.0,8537.0,9406.0,9633.0,9829.0,10418.0,11112.0,11873.0,12533.0,12963.0,13849.0,14740.0,15188.0,15728.0,16171.0,16757.0,17481.0,18644.0,19639.0,20358.0,19591.0,20268.0,22144.0,23096.0
대구광역시 - 1인당 민간소비,Statistics,6171.0,6750.0,6208.0,7170.0,8086.0,8680.0,9590.0,9798.0,9850.0,10627.0,11323.0,11982.0,12580.0,12835.0,13712.0,14540.0,15119.0,15690.0,16212.0,16937.0,17544.0,18167.0,19225.0,19780.0,19041.0,20101.0,21467.0,22307.0
대전광역시 - 1인당 민간소비,Statistics,5607.0,6118.0,5782.0,6665.0,7521.0,8232.0,9146.0,9343.0,9770.0,10426.0,11126.0,11825.0,12492.0,12857.0,13792.0,14674.0,15253.0,15595.0,15998.0,16580.0,16991.0,18042.0,19080.0,19670.0,19173.0,20416.0,22356.0,23355.0
부산광역시 - 1인당 민간소비,Statistics,5896.0,6533.0,5979.0,6884.0,7746.0,8323.0,9188.0,9383.0,9569.0,10098.0,10795.0,11580.0,12261.0,12730.0,13812.0,14738.0,15346.0,15842.0,16328.0,16895.0,17174.0,18114.0,18704.0,19421.0,18948.0,20117.0,21857.0,23042.0
서울특별시 - 1인당 민간소비,Statistics,6850.0,7425.0,6842.0,7738.0,8506.0,9687.0,11120.0,11774.0,12477.0,13303.0,14106.0,15034.0,15801.0,16154.0,17292.0,18278.0,18799.0,19026.0,19370.0,19864.0,20899.0,22018.0,23301.0,23950.0,22946.0,24551.0,26617.0,27767.0
세종특별자치시 - 1인당 민간소비,Statistics,,,,,,,,,,,,,,,,,,22949.0,23596.0,22164.0,20077.0,20680.0,20459.0,20154.0,19063.0,20786.0,22367.0,23499.0
