item,category,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 1인당 지역내총생산,Statistics,2488.0,2891.0,3307.0,3775.0,4582.0,5230.0,5801.0,6365.0,7430.0,8709.0,10113.0,10949.0,10704.0,11371.0,11895.0,12603.0,13703.0,15150.0,16099.0,16744.0,17890.0,19292.0,20088.0,20876.0,21906.0,22660.0,23566.0,24751.0,26351.0,27608.0,29380.0,31200.0,32267.0,33780.0,33945.0,36350.0,37797.0,40713.0
경기도 - 1인당 지역내총생산,Statistics,3236.0,3694.0,4421.0,5004.0,5924.0,6968.0,7633.0,8384.0,9527.0,10655.0,11189.0,11513.0,11165.0,12752.0,14068.0,15110.0,16195.0,16926.0,18071.0,18928.0,19889.0,21023.0,21968.0,22977.0,25344.0,26130.0,27475.0,29030.0,30249.0,32590.0,34399.0,37146.0,38541.0,38135.0,38890.0,41392.0,42903.0,43070.0
경상남도 - 1인당 지역내총생산,Statistics,3296.0,3757.0,4535.0,5018.0,6143.0,7235.0,8599.0,9341.0,11161.0,13037.0,14042.0,15796.0,12686.0,13513.0,14707.0,16114.0,17605.0,18540.0,19958.0,21167.0,22268.0,24212.0,26269.0,27230.0,28403.0,29574.0,30712.0,31117.0,31316.0,32739.0,34005.0,33985.0,34291.0,35355.0,34325.0,35661.0,38612.0,42144.0
경상북도 - 1인당 지역내총생산,Statistics,2982.0,3573.0,4514.0,4833.0,5528.0,6568.0,7173.0,7898.0,9688.0,11150.0,12100.0,14182.0,13958.0,15408.0,17420.0,18270.0,19954.0,21994.0,25034.0,26444.0,27122.0,28408.0,30005.0,31327.0,34902.0,35926.0,36634.0,38367.0,40839.0,40916.0,41820.0,43005.0,43129.0,42598.0,42263.0,44957.0,46243.0,48812.0
광주광역시 - 1인당 지역내총생산,Statistics,,2291.0,2983.0,3366.0,4221.0,4888.0,5521.0,6074.0,7090.0,8176.0,9135.0,9685.0,9036.0,9548.0,10457.0,11333.0,12434.0,12803.0,13528.0,14779.0,15870.0,17087.0,17468.0,18062.0,19867.0,20426.0,21203.0,22248.0,23448.0,24731.0,26248.0,27449.0,28594.0,29807.0,30823.0,32098.0,33497.0,35452.0
대구광역시 - 1인당 지역내총생산,Statistics,2252.0,2644.0,2968.0,3275.0,4017.0,4567.0,4988.0,5367.0,6251.0,7122.0,7939.0,8721.0,8368.0,9035.0,9791.0,10435.0,11340.0,12026.0,13039.0,13658.0,14485.0,15528.0,16035.0,16360.0,17526.0,18399.0,19338.0,20260.0,21114.0,22685.0,23382.0,24170.0,24820.0,25653.0,25928.0,27770.0,29654.0,30985.0
대전광역시 - 1인당 지역내총생산,Statistics,,,,3929.0,4820.0,5767.0,6361.0,6958.0,7446.0,8211.0,9066.0,9864.0,9716.0,10117.0,11154.0,11762.0,13018.0,14041.0,14887.0,15324.0,16006.0,16873.0,17828.0,18999.0,20428.0,21195.0,21844.0,22326.0,23047.0,24568.0,26265.0,27281.0,28027.0,29870.0,31276.0,32928.0,34409.0,36645.0
부산광역시 - 1인당 지역내총생산,Statistics,2244.0,2560.0,2905.0,3137.0,3906.0,4590.0,4922.0,5423.0,6211.0,7207.0,8086.0,8783.0,9023.0,9688.0,10235.0,11536.0,12508.0,13814.0,14956.0,15642.0,16359.0,17790.0,19385.0,19379.0,20459.0,20883.0,21761.0,22554.0,23991.0,25707.0,26800.0,27210.0,28355.0,29436.0,29272.0,31950.0,34465.0,34762.0
서울특별시 - 1인당 지역내총생산,Statistics,2883.0,3356.0,3853.0,4362.0,5280.0,6428.0,7295.0,8375.0,9690.0,11167.0,12426.0,13726.0,13786.0,15031.0,16979.0,18427.0,20621.0,21962.0,22681.0,23948.0,25339.0,27518.0,29000.0,30169.0,32407.0,33740.0,34682.0,35553.0,36635.0,38911.0,41359.0,43731.0,46547.0,48248.0,49165.0,53373.0,56094.0,58255.0
세종특별자치시 - 1인당 지역내총생산,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,59432.0,67352.0,53194.0,46767.0,44964.0,41137.0,40597.0,40212.0,42797.0,42207.0,43174.0
