item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 1인당 지역총소득,Statistics,12212.0,13064.0,13888.0,14529.0,15515.0,16615.0,17818.0,18446.0,19511.0,19797.0,20583.0,21595.0,22435.0,23571.0,25143.0,26610.0,28250.0,29533.0,31044.0,31285.0,33317.0,35422.0,37509.0
경기도 - 1인당 지역총소득,Statistics,15585.0,17435.0,18103.0,19798.0,19938.0,21140.0,21973.0,22669.0,23626.0,27300.0,27533.0,29953.0,31995.0,32178.0,34655.0,36112.0,39929.0,41771.0,40898.0,41282.0,44754.0,47144.0,47899.0
경상남도 - 1인당 지역총소득,Statistics,14390.0,15406.0,16245.0,17270.0,18472.0,19558.0,21357.0,23530.0,23895.0,24647.0,26030.0,26658.0,26642.0,27953.0,29583.0,30376.0,31183.0,31477.0,32975.0,32777.0,33986.0,35722.0,38879.0
경상북도 - 1인당 지역총소득,Statistics,14440.0,15688.0,17333.0,19832.0,21832.0,21999.0,22627.0,26031.0,25713.0,27427.0,28802.0,27636.0,28625.0,30252.0,31613.0,32677.0,33012.0,33825.0,34792.0,34955.0,37956.0,38168.0,41091.0
광주광역시 - 1인당 지역총소득,Statistics,12146.0,13012.0,13609.0,14235.0,15425.0,16561.0,18124.0,18762.0,19521.0,21143.0,22037.0,23192.0,24377.0,25677.0,26602.0,27895.0,29142.0,30657.0,32306.0,33187.0,34787.0,36826.0,38019.0
대구광역시 - 1인당 지역총소득,Statistics,11991.0,12949.0,13421.0,14530.0,15040.0,15973.0,16719.0,17769.0,18194.0,19397.0,20843.0,21864.0,22735.0,23925.0,25327.0,26455.0,27681.0,28554.0,29413.0,29509.0,31558.0,34000.0,34344.0
대전광역시 - 1인당 지역총소득,Statistics,13935.0,15177.0,16522.0,17521.0,16952.0,17969.0,18915.0,19638.0,21252.0,22134.0,23664.0,24994.0,25586.0,26759.0,28460.0,29703.0,31906.0,32556.0,34444.0,35367.0,36934.0,39378.0,40976.0
부산광역시 - 1인당 지역총소득,Statistics,12219.0,13415.0,14203.0,14884.0,15988.0,17081.0,18688.0,20022.0,20493.0,21518.0,23267.0,24541.0,25584.0,27178.0,27678.0,28369.0,28776.0,29617.0,30892.0,31112.0,32832.0,34263.0,35373.0
서울특별시 - 1인당 지역총소득,Statistics,20766.0,23106.0,25200.0,26807.0,28079.0,29247.0,32437.0,34098.0,35135.0,38931.0,41267.0,41899.0,42221.0,44291.0,45597.0,48496.0,50778.0,52690.0,53758.0,53474.0,59498.0,63778.0,65994.0
세종특별자치시 - 1인당 지역총소득,Statistics,,,,,,,,,,,,,39445.0,49840.0,44268.0,41933.0,41831.0,40267.0,42061.0,41899.0,45005.0,46146.0,47220.0
울산광역시 - 1인당 지역총소득,Statistics,27192.0,29727.0,29575.0,32919.0,33416.0,35540.0,40006.0,42917.0,42504.0,50360.0,51588.0,51048.0,50305.0,47558.0,50693.0,53523.0,52675.0,53566.0,54941.0,53378.0,57151.0,56854.0,60576.0
인천광역시 - 1인당 지역총소득,Statistics,11696.0,13651.0,14731.0,15974.0,17026.0,18441.0,20237.0,21013.0,21577.0,23468.0,24542.0,25221.0,26164.0,27301.0,28319.0,30331.0,31520.0,32354.0,34160.0,34505.0,37828.0,39748.0,41203.0
전국 - 1인당 지역총소득,Statistics,15519.0,17092.0,18227.0,19731.0,20539.0,21661.0,23324.0,24632.0,25532.0,28036.0,29297.0,30378.0,31419.0,32469.0,34271.0,35949.0,37835.0,39070.0,39787.0,40115.0,43415.0,45588.0,47306.0
전라남도 - 1인당 지역총소득,Statistics,14156.0,15538.0,16493.0,18439.0,19149.0,20303.0,22439.0,23254.0,24746.0,27084.0,27631.0,28516.0,29397.0,29913.0,35266.0,37384.0,37215.0,36671.0,37012.0,40489.0,40067.0,36035.0,44838.0
전북특별자치도 - 1인당 지역총소득,Statistics,11895.0,12532.0,13202.0,14057.0,14944.0,15938.0,16646.0,17976.0,19301.0,20156.0,21146.0,22056.0,22692.0,23819.0,25453.0,26438.0,27467.0,28576.0,30072.0,31318.0,34592.0,37379.0,36239.0
제주특별자치도 - 1인당 지역총소득,Statistics,12840.0,13722.0,14260.0,15721.0,15713.0,16585.0,17228.0,18194.0,19593.0,20806.0,23742.0,24798.0,26004.0,27424.0,29425.0,30966.0,32537.0,32497.0,32250.0,31825.0,36153.0,36865.0,36307.0
충청남도 - 1인당 지역총소득,Statistics,14344.0,15811.0,17754.0,20047.0,20722.0,21814.0,23212.0,24295.0,27071.0,28957.0,30994.0,31548.0,33725.0,34291.0,36598.0,38731.0,40111.0,40624.0,41751.0,42810.0,46639.0,48067.0,49838.0
충청북도 - 1인당 지역총소득,Statistics,13453.0,13946.0,14823.0,16560.0,16717.0,17994.0,19017.0,19984.0,21568.0,23124.0,24272.0,25751.0,27118.0,28088.0,29959.0,32022.0,33670.0,35374.0,37426.0,37858.0,40982.0,44535.0,45499.0
