item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 1인당 개인소득,Statistics,8224.0,8778.0,9299.0,10071.0,10496.0,11010.0,11487.0,12350.0,12943.0,13332.0,13775.0,14373.0,15162.0,16005.0,17113.0,17644.0,18305.0,19285.0,20221.0,21294.0,22104.0,23029.0,23326.0
경기도 - 1인당 개인소득,Statistics,9752.0,10341.0,10838.0,11559.0,11911.0,12461.0,13066.0,13975.0,14155.0,14890.0,15593.0,16260.0,17157.0,17950.0,19096.0,19660.0,20414.0,21488.0,22552.0,23379.0,23962.0,25248.0,25696.0
경상남도 - 1인당 개인소득,Statistics,8991.0,9477.0,9988.0,10755.0,11214.0,11726.0,12195.0,13168.0,13556.0,14106.0,14679.0,15175.0,15891.0,16662.0,17690.0,18181.0,18530.0,19217.0,19860.0,20622.0,21262.0,22447.0,22769.0
경상북도 - 1인당 개인소득,Statistics,8777.0,9332.0,9669.0,10523.0,11191.0,11644.0,11938.0,12759.0,13221.0,13892.0,14323.0,15013.0,15733.0,16440.0,17424.0,17628.0,18106.0,18856.0,19655.0,20631.0,21251.0,22426.0,22921.0
광주광역시 - 1인당 개인소득,Statistics,8741.0,9198.0,9872.0,10492.0,11170.0,11801.0,12648.0,13604.0,14125.0,14689.0,15207.0,16037.0,16868.0,17560.0,18632.0,18837.0,19483.0,20675.0,21759.0,22766.0,23649.0,25203.0,25378.0
대구광역시 - 1인당 개인소득,Statistics,8936.0,9432.0,9776.0,10399.0,11019.0,11590.0,12061.0,12946.0,13393.0,13978.0,14637.0,15196.0,16032.0,16885.0,17939.0,18468.0,18955.0,19891.0,20760.0,21581.0,22197.0,23425.0,23760.0
대전광역시 - 1인당 개인소득,Statistics,9045.0,9669.0,10531.0,11166.0,11753.0,12480.0,13189.0,14104.0,14761.0,15443.0,16213.0,16758.0,17622.0,18387.0,19568.0,19917.0,20619.0,21756.0,22978.0,23916.0,24774.0,26158.0,26493.0
부산광역시 - 1인당 개인소득,Statistics,8777.0,9446.0,9944.0,10592.0,11203.0,11873.0,12652.0,13686.0,14149.0,14904.0,15823.0,16406.0,17116.0,17835.0,18609.0,18637.0,19161.0,20022.0,21096.0,21715.0,22338.0,23730.0,24026.0
서울특별시 - 1인당 개인소득,Statistics,10849.0,11741.0,12707.0,13552.0,14154.0,14749.0,15936.0,17156.0,17528.0,18699.0,19789.0,20402.0,21278.0,21946.0,22822.0,23375.0,23976.0,25053.0,26229.0,26428.0,27119.0,28187.0,29372.0
세종특별자치시 - 1인당 개인소득,Statistics,,,,,,,,,,,,,18406.0,24751.0,23323.0,22605.0,22678.0,22790.0,23515.0,24369.0,25346.0,25854.0,25995.0
울산광역시 - 1인당 개인소득,Statistics,11386.0,12275.0,13111.0,14106.0,14927.0,15507.0,16623.0,17751.0,18357.0,19095.0,20139.0,20535.0,21555.0,22106.0,22904.0,22883.0,22973.0,23252.0,24079.0,24671.0,25672.0,27079.0,28102.0
인천광역시 - 1인당 개인소득,Statistics,8150.0,8787.0,9394.0,10188.0,10679.0,11243.0,11803.0,12720.0,13262.0,13961.0,14635.0,15372.0,16080.0,16825.0,17960.0,18611.0,19297.0,20522.0,21517.0,22338.0,23053.0,24387.0,24665.0
전국 - 1인당 개인소득,Statistics,9398.0,10036.0,10650.0,11418.0,11949.0,12526.0,13219.0,14182.0,14596.0,15350.0,16074.0,16683.0,17511.0,18245.0,19288.0,19714.0,20309.0,21288.0,22289.0,23042.0,23726.0,24971.0,25536.0
전라남도 - 1인당 개인소득,Statistics,8273.0,8813.0,9265.0,10157.0,10765.0,11360.0,11846.0,12507.0,13147.0,13706.0,14096.0,14699.0,15275.0,15940.0,17211.0,17863.0,18433.0,19384.0,20355.0,21395.0,22270.0,23748.0,24604.0
전북특별자치도 - 1인당 개인소득,Statistics,8515.0,8875.0,9526.0,10268.0,10846.0,11395.0,11826.0,12673.0,13299.0,13902.0,14542.0,14945.0,15729.0,16447.0,17500.0,17670.0,18298.0,19302.0,20271.0,21444.0,22029.0,23633.0,24157.0
제주특별자치도 - 1인당 개인소득,Statistics,9076.0,9696.0,10006.0,10613.0,11129.0,11691.0,12087.0,12868.0,13460.0,14072.0,14869.0,15453.0,16127.0,16739.0,17959.0,18295.0,18731.0,19402.0,19979.0,20835.0,21396.0,22481.0,22893.0
충청남도 - 1인당 개인소득,Statistics,8483.0,9054.0,9571.0,10364.0,10757.0,11405.0,11766.0,12521.0,13122.0,13716.0,14051.0,14698.0,15800.0,16447.0,17704.0,17842.0,18332.0,19292.0,20125.0,21308.0,22047.0,23176.0,23647.0
충청북도 - 1인당 개인소득,Statistics,8461.0,8898.0,9314.0,10094.0,10728.0,11278.0,11731.0,12541.0,13092.0,13693.0,14163.0,14775.0,15577.0,16048.0,17470.0,17894.0,18634.0,19734.0,20770.0,21801.0,22873.0,24181.0,24667.0
