item,category,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 계 - 경제활동인구,Statistics,698.0,629.1,620.8,647.0,618.9,634.2,630.2,623.6,633.6,629.9,632.6,636.1,620.7,644.7,658.1,666.0,686.4,699.2,716.9,732.9,771.6,789.4,759.9,772.4,798.4,805.4,820.2
강원특별자치도 - 남자 - 경제활동인구,Statistics,407.0,373.6,369.5,381.5,376.8,370.0,367.6,366.7,369.0,369.2,369.1,364.4,360.4,373.0,380.7,387.9,384.7,388.3,400.3,410.8,425.9,434.1,416.5,414.1,424.6,424.5,443.5
강원특별자치도 - 여자 - 경제활동인구,Statistics,291.0,255.6,251.3,265.5,242.1,264.2,262.6,256.8,264.6,260.6,263.5,271.7,260.3,271.8,277.4,278.1,301.7,310.9,316.6,322.1,345.7,355.3,343.5,358.3,373.8,380.9,376.6
경기도 - 계 - 경제활동인구,Statistics,4206.0,4099.1,4209.8,4402.6,4563.4,4853.9,4963.5,5133.2,5285.3,5430.0,5466.5,5647.0,5751.0,5842.1,5939.0,6236.3,6506.6,6569.3,6704.5,6921.1,7016.8,7249.2,7075.2,7532.7,7625.5,7734.8,7832.4
경기도 - 남자 - 경제활동인구,Statistics,2582.0,2502.4,2570.4,2707.4,2822.6,2972.9,3038.0,3106.5,3200.5,3262.1,3306.9,3428.9,3503.6,3571.7,3611.7,3755.6,3849.8,3862.0,3938.6,4060.8,4116.1,4245.0,4183.9,4405.7,4433.7,4418.4,4441.0
경기도 - 여자 - 경제활동인구,Statistics,1624.0,1596.7,1639.4,1695.2,1740.8,1881.0,1925.4,2026.7,2084.9,2167.9,2159.6,2218.1,2247.4,2270.4,2327.3,2480.7,2656.7,2707.4,2765.9,2860.3,2900.7,3004.2,2891.3,3127.0,3191.8,3316.4,3391.4
경상남도 - 계 - 경제활동인구,Statistics,1432.0,1333.8,1350.5,1392.4,1467.6,1485.3,1475.6,1489.4,1517.8,1553.0,1556.0,1545.3,1565.8,1607.8,1597.4,1679.5,1661.6,1705.4,1732.0,1734.3,1788.6,1800.0,1759.5,1761.4,1762.5,1783.7,1794.3
경상남도 - 남자 - 경제활동인구,Statistics,838.0,800.5,801.1,830.8,841.4,872.8,881.3,872.8,911.4,922.6,926.5,939.7,947.7,976.5,969.9,990.3,1000.8,1024.0,1037.5,1048.9,1063.1,1059.5,1026.1,1028.3,1020.6,1011.0,1009.8
경상남도 - 여자 - 경제활동인구,Statistics,594.0,533.2,549.4,561.6,626.3,612.5,594.3,616.6,606.3,630.4,629.5,605.6,618.1,631.3,627.5,689.2,660.8,681.4,694.4,685.4,725.5,740.5,733.4,733.1,741.9,772.7,784.5
경상북도 - 계 - 경제활동인구,Statistics,1433.0,1341.6,1345.3,1363.8,1338.6,1352.3,1337.3,1349.4,1342.6,1290.7,1328.7,1319.7,1306.1,1330.5,1340.3,1410.5,1406.2,1431.8,1435.6,1431.2,1443.1,1468.8,1418.6,1430.5,1438.2,1465.2,1458.9
경상북도 - 남자 - 경제활동인구,Statistics,809.0,780.0,765.4,778.3,763.8,772.7,766.1,785.0,775.1,760.4,790.2,778.9,774.6,789.0,797.5,838.9,848.5,860.5,855.1,865.1,860.3,875.6,855.9,864.5,839.6,849.7,828.6
경상북도 - 여자 - 경제활동인구,Statistics,624.0,561.6,579.9,585.5,574.9,579.7,571.2,564.4,567.5,530.4,538.5,540.8,531.5,541.5,542.8,571.6,557.7,571.3,580.6,566.1,582.8,593.2,562.7,566.0,598.6,615.5,630.3
계 - 계 - 경제활동인구,Statistics,22088.0,21441.8,21610.4,22306.2,22476.4,22941.0,23141.4,23346.6,23709.3,23920.9,23907.4,24258.3,24362.4,24883.8,25137.8,25941.3,26380.0,26630.8,26886.0,27232.3,27455.3,27952.3,27388.0,28095.8,28386.9,28815.0,28960.8
계 - 남자 - 경제활동인구,Statistics,13051.0,12806.1,12801.5,13181.9,13377.7,13590.5,13684.6,13680.0,13926.0,14052.1,14089.5,14322.4,14392.8,14675.1,14834.4,15259.1,15421.8,15480.1,15583.4,15760.5,15793.2,15950.2,15728.1,16052.7,16057.5,16194.6,16121.6
계 - 여자 - 경제활동인구,Statistics,9037.0,8635.7,8809.0,9124.3,9098.7,9350.5,9456.8,9666.6,9783.3,9868.8,9817.8,9935.9,9969.5,10208.8,10303.4,10682.2,10958.2,11150.7,11302.6,11471.8,11662.1,12002.2,11660.0,12043.1,12329.5,12620.4,12839.2
광주광역시 - 계 - 경제활동인구,Statistics,575.0,575.8,585.6,627.9,629.8,632.0,640.1,637.4,658.6,673.2,665.3,693.3,686.2,696.7,712.4,738.4,744.2,746.1,747.1,760.6,770.8,779.8,774.3,761.7,772.9,805.0,790.6
광주광역시 - 남자 - 경제활동인구,Statistics,340.0,339.9,342.9,358.4,369.8,366.9,368.0,364.2,373.7,389.7,388.1,391.2,394.4,405.7,417.3,422.8,436.6,424.5,427.4,427.4,437.7,438.9,436.8,428.5,430.6,450.1,440.5
광주광역시 - 여자 - 경제활동인구,Statistics,235.0,235.9,242.7,269.5,260.0,265.1,272.2,273.2,285.0,283.5,277.2,302.0,291.9,291.0,295.0,315.6,307.6,321.6,319.6,333.2,333.1,340.9,337.5,333.2,342.2,354.8,350.1
대구광역시 - 계 - 경제활동인구,Statistics,1130.0,1128.8,1139.8,1195.7,1178.1,1202.1,1216.2,1188.7,1192.7,1172.4,1169.5,1206.5,1200.5,1237.5,1249.1,1266.0,1276.4,1276.2,1284.1,1248.0,1246.8,1234.7,1228.5,1253.9,1250.4,1254.1,1235.6
대구광역시 - 남자 - 경제활동인구,Statistics,661.0,661.2,661.3,696.3,687.8,697.4,697.2,668.8,678.2,679.3,679.8,698.6,689.9,704.1,703.9,724.9,735.2,740.4,730.3,697.3,705.3,708.2,702.6,709.2,700.2,714.0,672.6
대구광역시 - 여자 - 경제활동인구,Statistics,469.0,467.7,478.5,499.3,490.3,504.7,519.0,519.9,514.5,493.0,489.7,507.9,510.5,533.4,545.2,541.2,541.3,535.8,553.8,550.7,541.5,526.5,525.9,544.7,550.2,540.1,563.0
