item,category,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 계 - 경제활동참가율,Statistics,59.9,53.9,53.0,55.1,52.8,54.1,53.7,53.0,53.7,52.9,52.6,52.4,50.7,52.1,52.7,52.8,53.9,54.5,55.5,56.5,59.3,60.5,57.9,58.6,60.3,60.5,61.8
강원특별자치도 - 남자 - 경제활동참가율,Statistics,72.2,66.5,65.5,67.5,66.7,65.3,64.7,64.3,64.3,63.6,62.8,61.3,60.5,61.8,62.5,63.0,61.8,61.9,63.3,64.7,66.9,67.8,64.5,64.1,65.5,64.9,67.8
강원특별자치도 - 여자 - 경제활동참가율,Statistics,48.3,42.3,41.4,43.6,39.9,43.6,43.3,42.4,43.6,42.7,42.8,43.8,41.5,42.8,43.3,43.1,46.3,47.4,48.0,48.6,52.0,53.5,51.5,53.4,55.2,56.3,55.9
경기도 - 계 - 경제활동참가율,Statistics,63.9,61.3,60.7,60.8,60.4,61.8,61.3,61.8,61.7,61.5,60.4,60.9,60.5,60.2,60.0,61.8,63.3,62.9,62.9,63.7,63.3,63.8,61.1,63.8,63.9,64.3,64.5
경기도 - 남자 - 경제활동참가율,Statistics,80.1,76.4,75.5,76.0,75.8,76.8,76.0,75.9,75.6,74.6,73.7,74.5,74.4,74.2,73.6,75.1,75.5,74.6,74.5,75.3,74.7,75.0,72.3,74.9,74.5,73.6,73.3
경기도 - 여자 - 경제활동참가율,Statistics,48.4,46.8,46.4,46.0,45.4,47.3,47.0,48.1,48.1,48.7,47.3,47.5,46.9,46.4,46.6,48.8,51.3,51.3,51.4,52.3,52.0,52.7,49.8,52.8,53.3,55.1,55.8
경상남도 - 계 - 경제활동참가율,Statistics,62.5,58.0,58.2,59.4,61.9,62.0,61.1,60.9,61.3,61.7,60.8,59.4,59.4,60.1,59.1,61.3,59.8,60.8,61.4,61.1,62.8,63.0,61.6,61.7,61.9,62.9,63.4
경상남도 - 남자 - 경제활동참가율,Statistics,76.5,72.8,72.1,73.8,73.7,75.4,75.3,73.2,75.0,74.4,73.1,72.8,72.4,73.5,72.2,72.6,72.3,73.2,73.6,74.0,74.7,74.2,71.6,71.9,71.4,71.1,70.9
경상남도 - 여자 - 경제활동참가율,Statistics,49.7,44.4,45.4,46.1,50.9,49.5,47.8,49.2,48.0,49.4,48.7,46.2,46.5,46.9,46.1,50.1,47.4,48.5,49.2,48.3,50.8,51.9,51.5,51.5,52.3,54.7,55.7
경상북도 - 계 - 경제활동참가율,Statistics,66.2,61.8,62.0,63.1,62.2,63.3,62.8,63.0,62.3,59.6,61.0,60.2,59.0,59.6,59.5,62.1,61.4,62.0,62.0,61.8,62.3,63.3,61.2,61.8,61.9,64.1,63.9
