item,category,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 계 - 고용률,Statistics,57.3,52.0,51.2,53.7,51.7,52.8,52.4,52.1,52.4,52.1,51.5,49.7,49.3,50.8,51.4,50.4,51.7,52.5,54.0,54.0,55.4,56.3,52.8,55.0,55.9,56.7,57.9
강원특별자치도 - 남자 - 고용률,Statistics,68.6,63.6,62.7,65.5,65.0,64.0,63.2,62.8,63.0,62.4,61.5,57.8,58.4,60.3,61.0,60.1,59.0,59.6,61.8,61.4,63.7,63.8,60.8,61.2,61.8,61.6,64.2
강원특별자치도 - 여자 - 고용률,Statistics,46.7,41.3,40.5,42.8,39.3,42.4,42.2,42.0,42.4,42.3,41.9,42.0,40.6,41.7,42.3,41.2,44.7,45.7,46.5,46.9,47.5,49.1,44.9,49.0,50.3,52.0,51.8
경기도 - 계 - 고용률,Statistics,59.3,57.7,58.0,58.6,58.2,59.4,58.8,59.4,59.6,59.4,58.3,57.7,58.3,58.2,58.1,60.0,60.8,60.3,60.6,61.4,60.5,61.2,57.9,61.7,62.0,62.2,62.6
경기도 - 남자 - 고용률,Statistics,73.9,72.0,71.8,73.0,73.1,73.8,72.8,72.8,72.6,71.8,70.8,70.7,71.7,71.7,71.2,72.8,72.4,71.4,71.7,72.8,71.3,71.7,68.9,72.9,72.3,71.2,71.2
경기도 - 여자 - 고용률,Statistics,45.2,43.9,44.6,44.8,43.7,45.4,45.2,46.4,46.8,47.3,46.1,44.9,45.1,45.0,45.2,47.4,49.3,49.4,49.7,50.2,49.8,50.8,47.0,50.7,51.8,53.3,54.0
경상남도 - 계 - 고용률,Statistics,59.4,55.4,56.0,57.2,60.4,60.2,59.1,58.9,59.6,60.3,58.9,57.4,58.0,58.9,57.8,59.9,58.3,59.0,59.5,59.5,60.1,60.8,57.9,58.7,59.0,60.6,61.7
경상남도 - 남자 - 고용률,Statistics,73.0,68.9,69.2,70.9,71.8,73.1,73.0,70.4,72.7,72.3,70.6,70.5,70.5,72.2,70.4,70.9,70.4,71.0,71.5,71.7,71.4,72.0,68.4,68.4,68.5,68.8,69.3
경상남도 - 여자 - 고용률,Statistics,47.1,43.1,43.9,44.5,49.8,48.1,46.0,47.9,47.1,48.7,47.4,44.5,45.7,45.7,45.2,49.0,46.2,47.0,47.5,47.3,48.9,49.6,47.4,48.9,49.4,52.3,54.1
경상북도 - 계 - 고용률,Statistics,63.5,59.4,59.8,61.5,60.9,61.4,61.1,61.4,60.9,58.6,59.2,57.4,57.0,58.0,57.4,59.9,59.2,60.1,60.0,59.3,58.8,60.0,57.5,59.1,59.7,61.2,61.7
경상북도 - 남자 - 고용률,Statistics,74.5,71.5,70.1,73.0,72.1,72.6,71.9,73.2,72.1,70.4,71.9,69.9,69.4,70.3,69.7,73.0,72.5,72.8,72.3,72.4,71.0,72.0,69.6,71.8,70.3,71.4,69.9
경상북도 - 여자 - 고용률,Statistics,53.3,48.3,50.3,50.9,50.5,50.9,50.9,50.3,50.2,47.4,47.1,45.5,45.2,46.2,45.5,47.3,46.3,47.6,47.8,46.4,46.7,48.1,45.4,46.4,49.1,51.0,53.4
계 - 계 - 고용률,Statistics,57.6,56.2,56.3,58.1,58.1,58.6,58.4,58.5,58.7,58.6,57.5,56.8,57.0,57.7,57.7,58.8,59.0,59.0,59.1,59.5,59.2,60.0,57.4,59.6,60.3,61.0,61.0
계 - 남자 - 고용률,Statistics,69.8,68.9,68.3,70.5,71.2,71.2,70.8,70.2,70.3,70.2,68.9,68.4,68.6,69.3,69.4,70.6,70.3,69.9,69.8,70.1,69.4,69.7,67.4,69.6,69.6,69.8,69.2
계 - 여자 - 고용률,Statistics,46.2,44.3,45.0,46.4,45.8,46.6,46.6,47.5,47.6,47.5,46.6,45.6,45.8,46.5,46.5,47.6,48.1,48.6,48.8,49.2,49.4,50.6,47.7,49.9,51.3,52.4,53.1
광주광역시 - 계 - 고용률,Statistics,51.6,52.0,52.1,56.4,55.8,54.9,55.4,54.9,56.0,56.8,55.3,55.7,55.0,55.5,56.5,58.0,57.6,57.5,58.2,58.5,58.1,59.1,56.6,57.0,58.8,60.6,59.4
광주광역시 - 남자 - 고용률,Statistics,62.5,63.2,62.6,66.6,67.6,66.1,65.7,64.8,65.1,67.7,66.7,65.4,64.9,66.8,67.9,68.1,69.6,67.6,68.7,67.4,67.9,68.2,66.3,66.3,67.5,69.5,68.0
광주광역시 - 여자 - 고용률,Statistics,41.6,41.6,42.4,46.9,44.8,44.5,45.8,45.7,47.5,46.6,44.6,46.6,45.8,44.8,45.8,48.4,46.3,48.0,48.3,50.1,48.8,50.5,47.4,48.1,50.5,52.1,51.2
대구광역시 - 계 - 고용률,Statistics,53.6,54.7,54.9,57.8,56.9,57.4,58.3,57.8,57.4,56.5,55.3,55.6,56.0,57.9,58.1,58.0,58.6,58.6,58.5,56.6,57.1,56.7,55.5,57.7,57.6,57.5,56.6
대구광역시 - 남자 - 고용률,Statistics,64.8,65.9,65.1,69.5,68.8,69.0,68.9,66.9,67.3,67.7,66.1,66.9,66.2,67.6,67.4,69.0,69.6,70.3,68.2,65.3,66.4,67.2,65.9,68.3,67.1,67.8,64.0
대구광역시 - 여자 - 고용률,Statistics,43.2,44.3,45.6,47.0,45.9,46.6,48.5,49.4,48.0,46.0,45.2,45.1,46.4,48.8,49.4,47.6,48.3,47.5,49.4,48.4,48.2,46.8,45.7,47.8,48.8,47.8,49.7
대전광역시 - 계 - 고용률,Statistics,52.6,52.9,52.9,57.3,56.5,56.8,54.9,55.0,55.2,57.0,55.6,55.1,55.4,55.8,56.1,57.3,58.7,58.6,58.3,58.1,57.8,60.2,58.5,60.5,61.2,59.9,60.2
대전광역시 - 남자 - 고용률,Statistics,65.5,64.5,64.2,68.2,70.2,69.2,67.4,66.5,66.0,68.4,66.2,67.2,66.2,67.3,66.9,68.8,70.0,67.6,67.8,66.9,67.2,69.3,68.0,70.4,69.9,68.5,68.1
대전광역시 - 여자 - 고용률,Statistics,40.3,42.1,42.2,46.9,43.6,45.1,43.1,44.1,44.9,46.2,45.3,43.4,45.1,44.7,45.8,46.3,47.7,49.9,49.0,49.6,48.7,51.4,49.2,51.0,52.7,51.5,52.4
부산광역시 - 계 - 고용률,Statistics,52.8,54.9,55.2,57.9,56.6,54.6,55.5,55.7,55.4,54.9,54.3,54.1,52.9,55.2,56.1,55.4,55.9,55.8,55.5,55.3,54.9,56.2,54.1,55.1,57.1,56.5,56.2
부산광역시 - 남자 - 고용률,Statistics,64.2,66.9,66.3,69.9,69.2,67.4,66.9,66.5,66.2,65.3,64.5,64.7,64.0,65.6,67.0,67.3,66.9,65.6,65.7,66.2,64.1,64.4,63.1,63.9,66.5,66.1,64.2
부산광역시 - 여자 - 고용률,Statistics,42.5,44.0,45.0,46.9,45.2,42.9,45.0,45.7,45.5,45.3,44.8,44.4,42.7,45.5,45.9,44.4,45.7,46.6,45.9,45.3,46.5,48.7,45.9,46.9,48.5,47.7,48.8
서울특별시 - 계 - 고용률,Statistics,56.8,57.5,57.6,58.9,59.0,59.9,59.8,60.4,60.3,60.1,58.8,57.6,58.8,59.1,59.1,60.1,60.0,59.7,59.4,59.8,58.7,60.0,57.3,59.0,59.8,61.3,60.3
서울특별시 - 남자 - 고용률,Statistics,68.3,69.6,69.0,70.8,71.5,71.3,71.5,71.0,70.6,70.7,69.2,68.1,68.8,69.3,69.4,70.3,69.7,69.6,69.2,69.3,67.6,68.0,65.8,67.5,67.5,69.1,67.5
서울특별시 - 여자 - 고용률,Statistics,46.0,46.0,46.9,47.5,47.2,49.1,48.8,50.4,50.7,50.1,49.0,47.8,49.5,49.6,49.5,50.8,51.0,50.5,50.4,51.1,50.4,52.7,49.6,51.4,52.9,54.3,53.8
세종특별자치시 - 계 - 고용률,Statistics,,,,,,,,,,,,,,,,,,,58.6,59.3,61.2,61.4,60.3,59.9,62.6,62.7,64.0
세종특별자치시 - 남자 - 고용률,Statistics,,,,,,,,,,,,,,,,,,,72.2,72.3,73.3,71.6,71.2,70.9,74.4,73.4,74.4
세종특별자치시 - 여자 - 고용률,Statistics,,,,,,,,,,,,,,,,,,,45.1,46.4,49.3,51.4,49.5,49.0,51.0,52.2,53.9
울산광역시 - 계 - 고용률,Statistics,55.6,55.2,56.6,58.1,58.2,58.7,58.7,57.3,58.5,59.3,59.2,57.7,59.1,59.1,58.0,58.6,57.4,58.2,58.3,59.6,57.1,58.8,56.0,57.0,58.5,58.5,58.9
울산광역시 - 남자 - 고용률,Statistics,72.3,74.2,74.8,75.6,78.1,76.7,76.0,75.1,75.7,75.1,73.4,72.0,73.4,74.8,74.9,76.3,74.4,73.6,72.2,72.0,68.6,71.0,68.8,68.7,70.0,69.3,71.3
울산광역시 - 여자 - 고용률,Statistics,38.8,36.4,38.6,40.7,38.2,40.5,41.2,39.4,41.0,43.0,44.4,42.8,44.3,42.8,40.4,40.3,39.5,42.2,43.8,46.7,45.2,46.2,42.7,44.8,46.3,47.1,45.7
인천광역시 - 계 - 고용률,Statistics,56.2,56.2,56.9,59.2,58.2,58.4,58.2,57.9,57.9,58.9,57.1,57.9,58.2,59.8,59.3,60.1,59.6,61.1,60.2,61.6,61.5,61.1,59.0,59.8,61.4,61.9,62.4
인천광역시 - 남자 - 고용률,Statistics,70.2,70.3,70.5,72.4,72.3,71.9,71.4,71.7,70.7,71.8,69.3,70.1,71.0,71.5,70.6,71.6,70.2,72.3,70.8,72.1,71.2,70.7,68.3,70.6,70.6,71.1,71.2
인천광역시 - 여자 - 고용률,Statistics,42.9,42.7,43.9,46.5,44.5,45.3,45.4,44.6,45.4,46.3,45.2,45.8,45.7,48.4,48.2,48.9,49.2,50.2,49.9,51.4,52.1,51.7,49.9,49.2,52.4,52.9,53.7
전라남도 - 계 - 고용률,Statistics,62.2,60.9,60.3,61.9,63.8,63.1,63.7,62.7,63.4,62.5,61.8,61.2,57.7,60.3,60.6,59.5,60.4,59.0,58.7,60.2,61.2,62.4,60.4,63.3,64.2,63.8,63.4
전라남도 - 남자 - 고용률,Statistics,72.1,72.1,69.7,71.0,73.5,73.8,74.7,73.5,74.2,73.3,72.4,73.1,69.7,71.4,71.6,71.0,71.7,69.8,68.3,70.2,70.4,72.4,70.6,72.3,73.2,71.9,71.5
전라남도 - 여자 - 고용률,Statistics,53.2,50.7,51.8,53.6,55.1,53.4,53.8,52.9,53.6,52.6,52.1,50.3,46.4,49.9,50.1,48.5,49.4,48.7,49.4,50.5,52.2,52.6,50.2,54.3,55.3,55.5,55.1
