item,category,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원도 - 15 - 29세 - 고용률,Statistics,38.8,38.3,37.4,38.9,37.2,39.9,39.8,40.0,38.0,37.6,37.3,37.4,35.2,35.3,35.0,32.6,30.1,33.4,38.9,43.3,41.5,42.0,37.3,38.6,41.5,45.4,45.0
경기도 - 15 - 29세 - 고용률,Statistics,44.3,46.4,46.5,47.8,46.3,47.5,47.6,46.0,45.3,43.9,40.8,41.8,42.0,41.7,40.4,42.1,43.8,43.4,43.1,45.0,44.3,44.5,42.3,49.3,49.1,49.3,47.1
경상남도 - 15 - 29세 - 고용률,Statistics,40.1,40.8,43.1,41.2,43.3,44.5,42.1,39.9,38.9,39.5,39.4,35.8,37.5,38.2,35.9,36.8,35.7,38.0,39.2,37.1,40.5,37.8,38.2,40.0,39.0,36.6,35.8
경상북도 - 15 - 29세 - 고용률,Statistics,42.6,40.8,42.9,44.8,42.6,44.1,44.5,43.7,43.5,41.2,38.4,38.9,36.9,37.8,35.4,41.5,38.2,40.9,39.0,35.4,37.5,38.9,36.9,41.2,39.1,39.6,40.0
계 - 15 - 29세 - 고용률,Statistics,41.8,42.7,43.2,44.9,44.5,45.1,45.2,44.2,43.5,42.4,40.1,40.2,40.1,40.3,39.0,40.1,40.5,40.9,41.3,42.1,42.9,42.6,42.1,46.0,45.9,46.1,44.5
광주광역시 - 15 - 29세 - 고용률,Statistics,36.1,37.1,38.9,41.1,38.5,38.7,38.8,36.9,36.8,37.1,36.2,37.8,35.9,36.1,33.3,35.3,36.1,33.8,35.7,38.5,39.4,40.7,38.6,38.9,39.8,38.1,37.2
대구광역시 - 15 - 29세 - 고용률,Statistics,39.2,40.6,40.1,42.6,41.2,42.6,42.6,40.8,39.8,37.5,36.2,38.6,36.9,39.7,36.7,36.3,39.0,38.1,38.0,33.0,38.4,36.0,39.3,42.0,41.8,38.2,38.0
대전광역시 - 15 - 29세 - 고용률,Statistics,37.2,40.4,38.1,44.1,42.4,41.9,41.1,40.4,39.3,40.8,35.9,37.1,37.8,36.8,36.3,37.3,39.0,40.0,41.6,38.2,39.0,43.9,43.5,47.2,46.7,43.0,44.6
부산광역시 - 15 - 29세 - 고용률,Statistics,36.7,38.8,39.7,44.4,42.0,40.1,42.1,40.8,40.8,39.7,38.0,36.7,33.6,38.4,38.3,36.8,37.9,40.2,40.6,40.9,40.3,42.3,39.7,39.8,42.8,45.2,43.8
서울특별시 - 15 - 29세 - 고용률,Statistics,45.8,46.9,46.8,48.1,48.5,49.1,50.2,49.3,48.7,47.1,44.9,43.4,44.9,44.7,42.5,42.9,43.5,43.6,44.4,46.0,47.2,46.2,48.3,51.7,50.8,53.3,48.2
세종특별자치시 - 15 - 29세 - 고용률,Statistics,,,,,,,,,,,,,,,,,,,37.5,36.9,34.8,34.2,37.5,32.0,33.1,34.4,34.6
울산광역시 - 15 - 29세 - 고용률,Statistics,41.5,40.7,42.2,44.0,44.4,44.9,44.8,40.5,40.8,39.8,40.6,39.6,40.1,38.0,36.7,40.8,36.1,38.4,40.6,43.3,38.0,39.3,36.4,39.1,40.5,37.1,41.5
인천광역시 - 15 - 29세 - 고용률,Statistics,45.1,44.8,45.4,46.6,45.6,46.5,45.3,45.2,43.2,44.2,42.5,43.5,42.5,42.5,40.8,40.7,40.9,43.2,43.4,46.9,48.1,47.6,45.2,48.2,49.2,45.2,46.0
전라남도 - 15 - 29세 - 고용률,Statistics,37.1,38.3,37.4,40.2,42.8,41.4,41.5,41.4,40.8,38.8,36.5,36.8,35.5,35.0,36.5,36.5,36.5,34.9,36.0,35.0,35.1,39.3,34.0,39.2,38.3,39.0,40.5
전라북도 - 15 - 29세 - 고용률,Statistics,37.0,36.0,36.0,35.7,36.7,37.7,34.6,32.7,33.4,34.0,30.9,31.1,29.0,30.8,33.3,34.2,35.2,31.8,31.9,33.2,31.6,30.3,34.4,37.2,38.4,37.6,37.5
제주도 - 15 - 29세 - 고용률,Statistics,41.6,46.4,49.0,49.0,51.7,49.6,51.0,52.6,52.2,49.5,46.5,39.8,40.8,43.6,43.1,43.1,41.7,45.0,48.7,46.7,45.3,40.9,41.4,45.2,47.5,45.3,40.8
충청남도 - 15 - 29세 - 고용률,Statistics,38.0,38.5,40.6,43.7,44.5,47.5,44.7,46.2,47.4,43.5,37.0,41.7,44.5,42.0,41.2,42.2,43.5,41.0,40.7,42.5,48.2,41.6,40.9,44.0,43.7,45.0,47.2
충청북도 - 15 - 29세 - 고용률,Statistics,39.9,38.1,40.7,39.4,39.6,39.8,40.3,41.2,37.9,35.5,35.9,38.3,37.6,35.3,36.9,40.7,39.6,41.2,40.0,44.0,43.6,43.1,46.1,48.7,48.1,46.6,47.4
