item,category,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 계 - 취업자,Statistics,590.0,585.0,606.8,599.9,630.5,605.7,619.7,614.6,612.6,619.2,620.1,619.2,604.3,602.7,628.6,642.5,635.8,658.4,673.5,697.3,700.3,721.1,734.7,692.8,723.9,740.5,754.7,768.9
강원특별자치도 - 남자 - 취업자,Statistics,373.0,358.0,357.3,354.0,370.2,367.1,362.7,359.0,358.3,361.8,362.1,361.5,343.9,348.0,364.0,371.7,369.5,367.3,373.8,390.6,389.5,405.7,408.4,393.0,395.5,400.4,402.7,419.8
강원특별자치도 - 여자 - 취업자,Statistics,217.0,226.0,249.5,245.9,260.4,238.6,257.1,255.6,254.3,257.5,258.0,257.7,260.4,254.7,264.7,270.8,266.3,291.1,299.7,306.7,310.8,315.4,326.3,299.8,328.4,340.1,352.0,349.1
경기도 - 계 - 취업자,Statistics,3536.0,3468.0,3859.1,4022.4,4245.5,4399.0,4665.7,4762.4,4936.8,5104.8,5245.6,5277.3,5352.3,5536.6,5655.0,5748.6,6054.8,6245.0,6305.0,6461.7,6671.8,6710.4,6956.0,6711.0,7287.0,7403.2,7483.0,7599.6
경기도 - 남자 - 취업자,Statistics,2220.0,2166.0,2359.3,2446.8,2598.1,2722.8,2857.9,2909.2,2979.7,3076.2,3139.8,3175.2,3254.7,3376.0,3451.8,3491.6,3640.6,3694.0,3698.3,3792.0,3926.0,3932.7,4057.7,3986.5,4286.6,4301.9,4274.5,4314.6
경기도 - 여자 - 취업자,Statistics,1316.0,1302.0,1499.8,1575.6,1647.4,1676.2,1807.8,1853.2,1957.1,2028.7,2105.7,2102.0,2097.6,2160.6,2203.1,2257.0,2414.2,2550.9,2606.7,2669.7,2745.8,2777.6,2898.3,2724.5,3000.4,3101.3,3208.5,3285.0
경상남도 - 계 - 취업자,Statistics,1248.0,1226.0,1274.9,1300.3,1339.8,1432.1,1441.9,1427.1,1440.3,1478.0,1518.3,1507.7,1492.8,1530.0,1574.6,1562.2,1641.5,1618.6,1652.8,1678.0,1688.1,1713.9,1735.9,1654.3,1674.2,1679.6,1716.2,1748.0
경상남도 - 남자 - 취업자,Statistics,759.0,741.0,757.5,769.1,797.6,819.9,846.3,854.4,839.7,883.1,897.0,894.4,910.4,923.2,959.7,946.5,966.6,974.6,993.0,1007.2,1016.1,1016.6,1028.1,979.8,978.9,979.2,977.7,987.2
경상남도 - 여자 - 취업자,Statistics,488.0,485.0,517.4,531.2,542.2,612.2,595.6,572.6,600.7,594.8,621.2,613.4,582.4,606.9,614.9,615.7,674.9,644.0,659.8,670.8,672.0,697.2,707.8,674.5,695.3,700.4,738.5,760.8
경상북도 - 계 - 취업자,Statistics,1224.0,1213.0,1289.0,1298.3,1330.8,1309.8,1311.6,1300.3,1315.9,1311.9,1269.4,1290.3,1258.2,1261.6,1295.8,1292.1,1360.8,1355.7,1387.0,1388.5,1373.2,1361.6,1392.6,1333.8,1369.4,1386.4,1400.3,1409.1
경상북도 - 남자 - 취업자,Statistics,736.0,715.0,743.5,730.0,757.9,745.5,747.6,739.6,761.5,756.1,743.1,764.3,747.3,750.5,769.7,770.0,814.8,817.8,831.2,830.5,832.4,817.3,833.4,806.9,833.1,817.6,819.8,804.1
경상북도 - 여자 - 취업자,Statistics,487.0,498.0,545.5,568.4,572.9,564.3,564.0,560.7,554.3,555.8,526.4,526.0,510.9,511.0,526.1,522.1,546.1,537.9,555.8,558.1,540.9,544.3,559.2,526.9,536.3,568.9,580.6,605.0
계 - 계 - 취업자,Statistics,19686.0,18996.0,20209.8,20518.0,21384.8,21633.6,22028.7,22157.7,22469.8,22846.2,23141.2,23051.1,23040.7,23438.9,24023.7,24286.5,25050.3,25391.9,25646.3,25878.3,26212.5,26231.6,26799.7,25818.1,26952.6,27363.1,27742.9,27878.0
계 - 남자 - 취업자,Statistics,11903.0,11364.0,11989.7,12060.9,12590.2,12866.7,13020.6,13066.2,13110.0,13350.5,13546.3,13516.5,13598.1,13827.0,14149.4,14302.6,14728.3,14840.3,14902.5,15002.3,15178.8,15099.8,15323.7,14939.1,15494.1,15543.0,15650.9,15595.3
계 - 여자 - 취업자,Statistics,7783.0,7632.0,8220.1,8457.1,8794.6,8766.9,9008.2,9091.5,9359.8,9495.7,9594.9,9534.6,9442.6,9611.9,9874.3,9983.9,10322.1,10551.7,10743.7,10876.1,11033.7,11131.8,11475.9,10879.0,11458.4,11820.2,12092.0,12282.7
광주광역시 - 계 - 취업자,Statistics,539.0,497.0,534.0,545.3,600.0,602.2,600.9,612.3,610.4,630.6,649.8,644.1,660.8,664.0,676.6,695.1,718.5,719.8,722.3,733.2,737.2,733.3,750.0,724.4,729.8,752.6,775.5,758.8
광주광역시 - 남자 - 취업자,Statistics,324.0,296.0,311.8,314.5,340.6,350.7,348.0,349.5,346.9,353.6,373.9,375.4,374.9,379.3,395.2,404.8,409.6,422.3,412.3,420.3,412.5,416.8,421.7,414.2,414.2,421.7,434.4,424.6
광주광역시 - 여자 - 취업자,Statistics,215.0,200.0,222.2,230.9,259.4,251.5,252.9,262.7,263.5,277.0,275.9,268.7,285.9,284.8,281.5,290.3,309.0,297.5,310.0,312.8,324.8,316.5,328.2,310.2,315.6,331.0,341.2,334.2
대구광역시 - 계 - 취업자,Statistics,1033.0,995.0,1061.5,1075.8,1137.0,1123.7,1140.4,1159.3,1146.6,1141.5,1131.6,1117.0,1132.0,1149.1,1195.9,1206.3,1208.9,1227.0,1230.0,1232.0,1194.0,1200.3,1189.9,1158.7,1205.3,1196.1,1204.5,1186.4
