item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 농가인구,Statistics,11922.0,11940.0,11624.0,11415.0,10365.0,9701.0,9655.0,8936.0,8261.0,8481.0,7774.0,7625.0,7482.0,6746.0
강릉시 - 농가인구,Statistics,17947.0,18723.0,18126.0,17416.0,18036.0,17192.0,14407.0,13464.0,12606.0,15662.0,16388.0,15407.0,14787.0,14744.0
강원특별자치도 - 농가인구,Statistics,183273.0,180144.0,177227.0,172026.0,175567.0,171363.0,160871.0,154098.0,148545.0,151326.0,150005.0,144433.0,139699.0,136640.0
강진군 - 농가인구,Statistics,12791.0,11468.0,10699.0,10429.0,11212.0,11351.0,12225.0,12229.0,12094.0,10264.0,10616.0,10675.0,10154.0,9690.0
강화군 - 농가인구,Statistics,20331.0,20124.0,20277.0,19851.0,17496.0,16668.0,16114.0,14931.0,15107.0,14509.0,13525.0,12556.0,11701.0,12285.0
거제시 - 농가인구,Statistics,14124.0,13499.0,13398.0,12612.0,13046.0,12121.0,12174.0,12251.0,12420.0,12336.0,12059.0,12305.0,11849.0,11061.0
거창군 - 농가인구,Statistics,21503.0,19738.0,19057.0,18526.0,17925.0,15725.0,15021.0,14572.0,13978.0,13356.0,11128.0,10987.0,10540.0,10289.0
경기도 - 농가인구,Statistics,412351.0,407109.0,390378.0,374872.0,350200.0,324562.0,316573.0,296350.0,282343.0,308677.0,280300.0,277485.0,264459.0,255127.0
경산시 - 농가인구,Statistics,23246.0,21832.0,21221.0,20898.0,19631.0,18692.0,18672.0,17176.0,16753.0,17414.0,15486.0,14817.0,14514.0,14210.0
경상남도 - 농가인구,Statistics,336641.0,327931.0,320095.0,310985.0,293720.0,280720.0,274930.0,265433.0,258754.0,259829.0,244924.0,244049.0,235775.0,223982.0
경상북도 - 농가인구,Statistics,471076.0,465408.0,458791.0,446920.0,410141.0,402247.0,395275.0,376562.0,368693.0,351375.0,348303.0,343741.0,330410.0,319582.0
경주시 - 농가인구,Statistics,43907.0,42279.0,41646.0,41095.0,34234.0,37307.0,38685.0,36059.0,33797.0,26488.0,27791.0,24618.0,23748.0,22173.0
계룡시 - 농가인구,Statistics,1540.0,1576.0,1521.0,1564.0,1499.0,1398.0,1343.0,1206.0,1174.0,1237.0,1103.0,1076.0,1000.0,1001.0
고령군 - 농가인구,Statistics,11042.0,10207.0,10101.0,9713.0,8319.0,7573.0,7929.0,7407.0,7366.0,7481.0,7681.0,7561.0,7430.0,7117.0
고성군 - 농가인구,Statistics,5749.0,5689.0,5627.0,5365.0,5494.0,5195.0,5477.0,5307.0,5280.0,4707.0,4722.0,4630.0,4569.0,4411.0
고양시 - 농가인구,Statistics,20877.0,22275.0,21077.0,18758.0,19103.0,16838.0,16417.0,15476.0,15442.0,16666.0,15236.0,15667.0,14672.0,14049.0
고창군 - 농가인구,Statistics,21657.0,21818.0,21595.0,21148.0,19376.0,18533.0,17844.0,17658.0,18336.0,16401.0,16347.0,15828.0,15370.0,15050.0
고흥군 - 농가인구,Statistics,28387.0,28002.0,27054.0,25292.0,25180.0,26266.0,23921.0,23206.0,22047.0,19349.0,17127.0,15897.0,17396.0,16703.0
곡성군 - 농가인구,Statistics,11563.0,11317.0,11598.0,11322.0,10938.0,11965.0,11088.0,10753.0,10662.0,9090.0,8610.0,8693.0,8687.0,8589.0
공주시 - 농가인구,Statistics,31068.0,30457.0,29179.0,28401.0,24111.0,24469.0,23818.0,22287.0,21460.0,20258.0,22173.0,20028.0,19923.0,18499.0
과천시 - 농가인구,Statistics,1718.0,1709.0,1752.0,1839.0,1501.0,1079.0,1136.0,1081.0,919.0,989.0,560.0,607.0,603.0,539.0
광명시 - 농가인구,Statistics,2086.0,2116.0,1946.0,1877.0,2183.0,1889.0,1925.0,1730.0,1647.0,2264.0,2050.0,1747.0,1589.0,1603.0
광산구 - 농가인구,Statistics,13899.0,13044.0,13398.0,13109.0,11960.0,9909.0,8836.0,9239.0,8721.0,12050.0,11346.0,10699.0,10185.0,9578.0
광양시 - 농가인구,Statistics,18013.0,17280.0,16271.0,14932.0,14698.0,16865.0,15916.0,15875.0,15942.0,15331.0,14843.0,14789.0,13858.0,12933.0
광주광역시 - 농가인구,Statistics,35232.0,32903.0,32231.0,32062.0,30746.0,29800.0,26761.0,25347.0,24101.0,39873.0,35403.0,31688.0,30390.0,27686.0
광주시 - 농가인구,Statistics,11482.0,11740.0,11245.0,11297.0,12862.0,11479.0,11064.0,10508.0,9406.0,10358.0,6881.0,8365.0,9087.0,9483.0
광주시부 - 농가인구,Statistics,21333.0,19860.0,18833.0,18953.0,18786.0,19891.0,17925.0,16109.0,15381.0,27823.0,24057.0,20988.0,20205.0,18109.0
괴산군 - 농가인구,Statistics,14829.0,15009.0,14272.0,13594.0,12417.0,12243.0,11649.0,11407.0,11429.0,10706.0,11358.0,11210.0,10773.0,11579.0
구례군 - 농가인구,Statistics,9456.0,8734.0,8542.0,8645.0,8613.0,9481.0,9406.0,8957.0,8338.0,8241.0,7816.0,8324.0,8002.0,7730.0
구리시 - 농가인구,Statistics,1894.0,1583.0,1780.0,1849.0,1484.0,1734.0,1615.0,1371.0,1274.0,1806.0,1400.0,1207.0,1254.0,1155.0
구미시 - 농가인구,Statistics,23415.0,24320.0,24086.0,23339.0,23217.0,21724.0,21262.0,20017.0,20969.0,24443.0,23808.0,23335.0,21993.0,21469.0
군산시 - 농가인구,Statistics,18422.0,19566.0,18929.0,18503.0,16618.0,17943.0,15454.0,15361.0,16112.0,14396.0,13270.0,13687.0,12613.0,11880.0
군위군 - 농가인구,Statistics,10475.0,10481.0,10266.0,9804.0,8537.0,8180.0,7977.0,7756.0,7744.0,7284.0,7336.0,7321.0,7087.0,6962.0
군포시 - 농가인구,Statistics,1521.0,1453.0,1276.0,1139.0,1477.0,1185.0,1077.0,873.0,828.0,2536.0,2081.0,1770.0,1635.0,1583.0
금산군 - 농가인구,Statistics,17187.0,17254.0,18225.0,17674.0,14641.0,15827.0,15040.0,13795.0,13605.0,13183.0,13902.0,13391.0,13694.0,13409.0
기장군 - 농가인구,Statistics,6260.0,6126.0,6067.0,5833.0,5251.0,4856.0,4487.0,4168.0,4056.0,4288.0,4411.0,3979.0,4430.0,3912.0
김제시 - 농가인구,Statistics,27913.0,28618.0,27130.0,26454.0,19664.0,20486.0,20326.0,20882.0,18692.0,15450.0,14451.0,15654.0,15629.0,14474.0
김천시 - 농가인구,Statistics,35518.0,34681.0,34523.0,33836.0,33602.0,31233.0,30224.0,29237.0,28297.0,26543.0,28266.0,27261.0,25904.0,25449.0
김포시 - 농가인구,Statistics,19280.0,17836.0,16790.0,15542.0,15355.0,14724.0,13683.0,13915.0,13779.0,12830.0,14178.0,14025.0,13643.0,12982.0
김해시 - 농가인구,Statistics,25333.0,24432.0,23382.0,23924.0,21156.0,21132.0,20261.0,19720.0,19073.0,20901.0,18658.0,18291.0,18296.0,16482.0
나주시 - 농가인구,Statistics,27985.0,27732.0,28615.0,28608.0,21663.0,22772.0,20984.0,21132.0,21200.0,17982.0,19975.0,19653.0,18916.0,18036.0
남양주시 - 농가인구,Statistics,17905.0,18771.0,17681.0,17930.0,15393.0,15850.0,15481.0,13191.0,11769.0,13304.0,10159.0,9571.0,8518.0,7629.0
남원시 - 농가인구,Statistics,22887.0,22200.0,21859.0,20712.0,19363.0,18925.0,18397.0,17010.0,16194.0,14793.0,13023.0,13951.0,13250.0,12873.0
남해군 - 농가인구,Statistics,17150.0,16869.0,16210.0,16010.0,14727.0,14261.0,13573.0,13091.0,12779.0,11676.0,12342.0,13237.0,12651.0,11997.0
논산시 - 농가인구,Statistics,31326.0,30080.0,27574.0,25733.0,24909.0,24215.0,24402.0,22903.0,21639.0,21247.0,19209.0,19172.0,19612.0,19477.0
단양군 - 농가인구,Statistics,8207.0,8035.0,7506.0,6923.0,7434.0,6572.0,6199.0,5899.0,5560.0,6424.0,6396.0,6563.0,6373.0,6051.0
달성군 - 농가인구,Statistics,17893.0,18039.0,18210.0,18222.0,15027.0,14458.0,14020.0,13088.0,13255.0,14228.0,14593.0,14343.0,13418.0,13081.0
담양군 - 농가인구,Statistics,15576.0,15415.0,15701.0,15197.0,12875.0,11695.0,11909.0,11692.0,10726.0,11028.0,12448.0,13434.0,12659.0,11915.0
당진군 - 농가인구,Statistics,34112.0,32343.0,30100.0,28840.0,,,,,,,,,,
당진시 - 농가인구,Statistics,,,,,27230.0,30532.0,28309.0,26870.0,25823.0,22898.0,22558.0,23257.0,22703.0,19416.0
대구광역시 - 농가인구,Statistics,50876.0,51514.0,50618.0,49187.0,44542.0,43743.0,42395.0,39903.0,39239.0,60630.0,54006.0,51862.0,48140.0,45637.0
대구시부 - 농가인구,Statistics,32983.0,33475.0,32408.0,30966.0,29515.0,29285.0,28376.0,26816.0,25984.0,46402.0,39413.0,37519.0,34722.0,32555.0
대전광역시 - 농가인구,Statistics,29332.0,28760.0,28816.0,27590.0,25569.0,24525.0,23272.0,21985.0,20697.0,32804.0,29025.0,26564.0,25179.0,26298.0
대전시부 - 농가인구,Statistics,29332.0,28760.0,28816.0,27590.0,25569.0,24525.0,23272.0,21985.0,20697.0,32804.0,29025.0,26564.0,25179.0,26298.0
동두천시 - 농가인구,Statistics,2316.0,2165.0,2044.0,2073.0,2251.0,2087.0,2022.0,1866.0,1866.0,2167.0,1841.0,1673.0,1564.0,1516.0
동해시 - 농가인구,Statistics,5771.0,5877.0,5908.0,5634.0,5865.0,6159.0,5616.0,5029.0,4897.0,4805.0,3914.0,3915.0,3713.0,3726.0
목포시 - 농가인구,Statistics,3976.0,3407.0,3505.0,3168.0,3455.0,3403.0,3433.0,3329.0,3332.0,5055.0,3933.0,3432.0,3188.0,2810.0
무안군 - 농가인구,Statistics,19808.0,19123.0,21194.0,20676.0,17278.0,18336.0,17626.0,16582.0,16259.0,15213.0,14154.0,13860.0,13298.0,13277.0
무주군 - 농가인구,Statistics,9728.0,9903.0,9388.0,9527.0,8643.0,8333.0,7748.0,7645.0,7790.0,9341.0,8816.0,7476.0,7740.0,7535.0
문경시 - 농가인구,Statistics,19445.0,19618.0,19860.0,19069.0,17128.0,16909.0,15897.0,14591.0,13974.0,14732.0,15347.0,15813.0,15312.0,14236.0
밀양시 - 농가인구,Statistics,26891.0,25064.0,25637.0,24338.0,22105.0,20668.0,23244.0,22528.0,21147.0,19238.0,21406.0,20098.0,20117.0,18489.0
보령시 - 농가인구,Statistics,21456.0,20899.0,20188.0,19565.0,19791.0,18980.0,18751.0,17542.0,16024.0,16641.0,14053.0,13844.0,13102.0,12374.0
보성군 - 농가인구,Statistics,17855.0,17634.0,17050.0,16150.0,14590.0,14406.0,14079.0,13843.0,13880.0,10889.0,13143.0,12893.0,12622.0,12293.0
보은군 - 농가인구,Statistics,12898.0,12877.0,12721.0,12178.0,11492.0,10773.0,10499.0,10145.0,10012.0,8762.0,9428.0,9314.0,8861.0,8283.0
봉화군 - 농가인구,Statistics,14964.0,14672.0,14462.0,14227.0,12639.0,12532.0,11735.0,11322.0,11033.0,10945.0,10300.0,10583.0,10702.0,10631.0
