item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 계,Statistics,4449.0,4497.0,4492.0,4450.0,4199.0,3659.0,3605.0,3362.0,3192.0,3751.0,3537.0,3363.0,3235.0,3009.0
가평군 - 과수,Statistics,431.0,527.0,525.0,484.0,491.0,309.0,335.0,369.0,395.0,443.0,466.0,402.0,381.0,384.0
가평군 - 기타작물,Statistics,685.0,567.0,469.0,296.0,1325.0,718.0,744.0,1054.0,979.0,914.0,1312.0,812.0,528.0,576.0
가평군 - 논벼,Statistics,1468.0,1368.0,1222.0,1163.0,933.0,802.0,802.0,662.0,606.0,734.0,682.0,731.0,706.0,699.0
가평군 - 식량작물,Statistics,511.0,627.0,896.0,706.0,564.0,243.0,254.0,305.0,449.0,796.0,138.0,25.0,295.0,159.0
가평군 - 채소·산나물,Statistics,1002.0,997.0,1016.0,1475.0,573.0,1497.0,1381.0,860.0,619.0,671.0,713.0,1213.0,1090.0,1007.0
가평군 - 축산,Statistics,352.0,411.0,364.0,326.0,313.0,90.0,90.0,113.0,144.0,193.0,226.0,180.0,236.0,184.0
강릉시 - 계,Statistics,7028.0,7379.0,7354.0,7147.0,7460.0,7106.0,6217.0,6012.0,5704.0,7046.0,7208.0,6874.0,6644.0,6712.0
강릉시 - 과수,Statistics,208.0,314.0,235.0,217.0,421.0,195.0,242.0,325.0,248.0,469.0,898.0,792.0,817.0,790.0
강릉시 - 기타작물,Statistics,319.0,225.0,199.0,255.0,785.0,1120.0,849.0,739.0,959.0,799.0,1014.0,862.0,1192.0,1291.0
강릉시 - 논벼,Statistics,2863.0,2932.0,2665.0,2530.0,2273.0,2408.0,2069.0,2037.0,1861.0,1847.0,1614.0,1624.0,1429.0,1293.0
강릉시 - 식량작물,Statistics,1549.0,1702.0,2052.0,2248.0,2535.0,1530.0,1593.0,752.0,1057.0,2529.0,1456.0,1463.0,924.0,1291.0
강릉시 - 채소·산나물,Statistics,1757.0,1959.0,1859.0,1594.0,1230.0,1602.0,1345.0,1996.0,1431.0,1219.0,2026.0,1879.0,2079.0,1884.0
강릉시 - 축산,Statistics,332.0,247.0,344.0,303.0,216.0,250.0,120.0,164.0,149.0,183.0,200.0,254.0,203.0,163.0
강원특별자치도 - 계,Statistics,71687.0,71603.0,71203.0,69887.0,73082.0,72624.0,68750.0,67809.0,66659.0,67436.0,68300.0,66752.0,65517.0,64974.0
강원특별자치도 - 과수,Statistics,2525.0,2586.0,2546.0,2997.0,3259.0,3341.0,3292.0,3357.0,3598.0,3929.0,4363.0,4206.0,4084.0,4283.0
강원특별자치도 - 기타작물,Statistics,5796.0,5246.0,5073.0,5781.0,7844.0,10050.0,7676.0,7612.0,7702.0,8512.0,10318.0,11866.0,12057.0,11836.0
강원특별자치도 - 논벼,Statistics,22862.0,21152.0,21016.0,19866.0,18638.0,17854.0,15830.0,16149.0,15693.0,15074.0,14643.0,14279.0,13702.0,13346.0
강원특별자치도 - 식량작물,Statistics,16362.0,16739.0,17637.0,17644.0,22594.0,14744.0,15107.0,13418.0,15328.0,22595.0,14192.0,14790.0,12414.0,12651.0
강원특별자치도 - 채소·산나물,Statistics,19501.0,21744.0,20757.0,19818.0,16765.0,22789.0,22816.0,23078.0,20454.0,14150.0,21715.0,18506.0,20345.0,19979.0
강원특별자치도 - 축산,Statistics,4641.0,4136.0,4174.0,3781.0,3982.0,3846.0,4030.0,4194.0,3882.0,3176.0,3069.0,3106.0,2915.0,2879.0
강진군 - 계,Statistics,6209.0,5901.0,5567.0,5392.0,5408.0,5614.0,5828.0,6332.0,6414.0,5305.0,5411.0,5366.0,5130.0,5000.0
강진군 - 과수,Statistics,45.0,280.0,283.0,223.0,171.0,210.0,140.0,220.0,224.0,148.0,208.0,290.0,301.0,270.0
강진군 - 기타작물,Statistics,74.0,223.0,197.0,194.0,126.0,193.0,692.0,504.0,191.0,325.0,118.0,124.0,204.0,158.0
강진군 - 논벼,Statistics,5075.0,4722.0,4552.0,4266.0,4003.0,3944.0,4221.0,4270.0,4138.0,3886.0,3983.0,3902.0,3824.0,3360.0
강진군 - 식량작물,Statistics,302.0,83.0,139.0,100.0,404.0,100.0,215.0,70.0,475.0,362.0,139.0,123.0,194.0,333.0
강진군 - 채소·산나물,Statistics,258.0,397.0,286.0,547.0,393.0,999.0,322.0,991.0,975.0,321.0,605.0,566.0,261.0,373.0
강진군 - 축산,Statistics,455.0,196.0,111.0,62.0,311.0,168.0,238.0,278.0,411.0,263.0,357.0,361.0,345.0,506.0
강화군 - 계,Statistics,7963.0,7975.0,8156.0,8161.0,7539.0,6934.0,6759.0,6542.0,6573.0,6415.0,6616.0,6153.0,5822.0,6073.0
강화군 - 과수,Statistics,329.0,377.0,384.0,384.0,241.0,579.0,579.0,498.0,481.0,185.0,163.0,223.0,83.0,108.0
강화군 - 기타작물,Statistics,205.0,204.0,127.0,205.0,176.0,153.0,153.0,182.0,89.0,326.0,29.0,29.0,29.0,57.0
강화군 - 논벼,Statistics,5683.0,5397.0,5205.0,5136.0,4882.0,4589.0,4323.0,4281.0,4223.0,4108.0,4529.0,4220.0,4189.0,4173.0
강화군 - 식량작물,Statistics,397.0,541.0,1003.0,1111.0,1296.0,723.0,796.0,759.0,1095.0,1097.0,616.0,583.0,381.0,725.0
강화군 - 채소·산나물,Statistics,1109.0,1192.0,1181.0,1043.0,636.0,840.0,841.0,754.0,618.0,512.0,1050.0,817.0,911.0,881.0
강화군 - 축산,Statistics,239.0,263.0,256.0,283.0,308.0,51.0,69.0,69.0,69.0,187.0,230.0,281.0,230.0,128.0
거제시 - 계,Statistics,5549.0,5536.0,5686.0,5474.0,5630.0,5308.0,5250.0,5213.0,5203.0,5425.0,5510.0,5608.0,5595.0,5325.0
거제시 - 과수,Statistics,841.0,830.0,738.0,819.0,747.0,875.0,1021.0,1122.0,1165.0,1042.0,1371.0,1706.0,1269.0,1412.0
거제시 - 기타작물,Statistics,331.0,550.0,440.0,251.0,276.0,138.0,320.0,261.0,332.0,403.0,483.0,378.0,692.0,666.0
거제시 - 논벼,Statistics,2563.0,2353.0,2325.0,2130.0,1947.0,1983.0,1715.0,1708.0,1599.0,1402.0,1198.0,1111.0,1093.0,995.0
거제시 - 식량작물,Statistics,713.0,530.0,536.0,313.0,1387.0,277.0,284.0,431.0,492.0,1187.0,472.0,447.0,597.0,515.0
거제시 - 채소·산나물,Statistics,971.0,1145.0,1539.0,1860.0,1175.0,1878.0,1737.0,1547.0,1413.0,1324.0,1959.0,1920.0,1878.0,1671.0
