item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도 - 농업소득,Statistics,12954.71206,11199.48268,9624.04126,8199.63358,10727.1152,11341.93432,13566.5571,10906.92124,6877.3836,11700.89289,11380.96625,12866.62644,10967.28886,8920.38555,9160.13067,7943.5048,10719.54144,10335.33938,8729.46204,10165.30754,9176.37324
경기도 - 농업소득,Statistics,9159.23958,10236.58271,12881.5253,9620.60467,8447.84135,7106.7176,7789.9599,2832.82554,7110.37292,7737.41906,6973.60701,7544.29203,7700.40301,7539.47016,10831.11773,11368.11202,13429.40503,12779.11556,9399.53974,11345.39273,7673.72841
경상남도 - 농업소득,Statistics,9828.71764,10348.5931,11177.40988,9010.99228,6860.90708,9204.26313,9726.13045,11993.7372,6313.13641,8394.46288,9020.58223,10188.69032,8930.18064,9153.23365,10512.73414,7090.07325,9384.45908,10833.13852,5200.45462,6468.80785,8992.27512
경상북도 - 농업소득,Statistics,14585.22688,13242.62559,12922.10495,11577.45869,11024.94409,12497.88547,10547.86395,9135.42373,13457.88768,14226.18165,15835.83848,15473.56952,12381.09269,12928.9748,17433.46196,13010.39132,16580.19719,18482.61869,15077.69884,17979.98106,16762.64038
전라남도 - 농업소득,Statistics,11989.24435,11714.28342,11532.19412,10207.88827,8589.9553,8304.32222,8879.75283,11483.21874,8615.317,10665.20297,9883.07052,12053.33317,10292.50082,12075.23455,11900.59113,8836.77153,10144.17405,12852.24716,9252.67126,10440.11844,6247.54488
전북특별자치도 - 농업소득,Statistics,12647.69843,12718.19701,12227.63972,11664.96139,10852.53227,11121.59635,13292.39707,12960.18322,8653.48271,7892.24859,9744.54399,9849.73237,11224.78982,9830.89687,17192.97577,13106.02196,13801.26613,14350.18721,8248.56573,10062.78299,7169.8029
제주도 - 농업소득,Statistics,13381.71154,16237.52616,14697.05422,14846.8011,15197.21785,10426.54713,17967.49941,11266.39743,12005.46759,10037.29921,9000.58489,7713.37327,8197.6371,13301.99725,15919.43347,15276.61765,12085.77688,13361.19965,15412.98856,15231.09324,18663.21439
충청남도 - 농업소득,Statistics,14314.14712,13239.16849,13951.35617,10981.67366,13141.27919,10037.8822,9671.94907,6314.59731,11901.95933,8485.94422,8625.06733,10336.82375,9021.23108,8428.43843,16124.2617,12191.107,13388.5835,14062.19092,9916.98993,11904.24916,9457.37182
충청북도 - 농업소득,Statistics,11032.4234,10567.57146,10175.01941,10184.84785,7123.77483,10237.21472,7018.04189,5122.67164,6146.79351,9843.5437,9479.27019,12576.75853,10980.24347,8045.86237,13304.84779,9943.87339,11994.85619,14075.68599,10160.34425,12465.40763,8728.60273
평균 - 농업소득,Statistics,12050.15027,11815.29342,12091.58192,10405.72869,9654.30246,9697.89704,10098.0084,8752.70878,9127.44773,10034.6968,10303.29436,11256.71655,10067.55934,10046.87369,12920.32082,10261.14352,11820.16407,12961.39325,9485.23414,11143.37653,9575.87211
