item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도 - 부채-연도말,Statistics,30048.54605,31637.16175,29705.64169,34593.92125,30180.46031,26165.78648,30108.15447,30664.78734,29262.86976,22105.82256,21847.08853,19924.73675,23132.99747,24468.68768,35106.4386,34472.97383,36349.12869,32892.90458,37733.07792,38627.22098,41558.46917
경기도 - 부채-연도말,Statistics,28718.19103,36137.50562,39569.51743,44293.47846,43526.84916,41391.90265,42585.41201,42622.8851,48930.62571,45373.3174,40998.65846,45653.12424,46118.25547,45210.0763,57861.36864,59652.44311,58378.06877,57312.6921,54308.83358,62853.2121,71351.33055
경상남도 - 부채-연도말,Statistics,32772.00112,35874.92309,35258.42647,35573.70901,26323.57564,32301.92565,27897.05187,28927.06527,26545.81787,30748.90137,28623.57221,21732.90754,23713.98547,23035.45476,29573.44861,29975.82763,30506.03144,27064.45896,25890.12618,34099.29584,37058.82317
경상북도 - 부채-연도말,Statistics,24476.92884,21024.92631,21171.07076,23517.40209,17602.79434,20281.6551,22077.89885,20302.98819,21830.87924,17671.3722,15371.18268,17525.34698,17911.84498,17532.12256,25554.97516,28859.89199,31355.36998,30583.62704,28602.65788,27311.2158,25608.62629
전라남도 - 부채-연도말,Statistics,28367.12175,26901.93424,28847.24183,29344.9843,18891.29596,19929.24446,20216.00481,16717.91295,18532.43048,26570.59872,26019.47172,23583.27569,22663.34489,22465.9402,24333.60527,26805.41586,25306.93893,26885.1095,26778.40075,33124.20776,38648.08736
전북특별자치도 - 부채-연도말,Statistics,23828.68827,21840.75949,22414.49806,20881.29246,17759.43695,19357.79612,26039.95557,25660.85002,25367.34836,21614.18496,26821.41312,24895.19171,28182.70391,25772.23599,25340.54007,23534.02073,26093.86807,35941.91325,33988.47183,40800.06649,36908.7158
제주도 - 부채-연도말,Statistics,45231.16403,47771.29289,48341.97578,51633.3988,43559.35288,40172.26557,40538.96518,31041.86641,35591.47026,45221.08034,54555.21466,61853.56558,63963.30586,65233.71852,74585.04944,75128.23367,82549.09975,99996.37841,91654.03889,94475.86868,83670.14026
충청남도 - 부채-연도말,Statistics,21566.81947,20172.23585,23813.21132,24990.44702,30013.65153,27114.15319,24073.33876,22656.04561,19575.22374,26687.01644,26872.96003,21669.67055,23032.73417,21053.85469,32308.75001,35351.02261,31124.14669,23801.45809,20363.14472,27117.97213,33205.50851
충청북도 - 부채-연도말,Statistics,25526.76415,23872.84457,20854.62771,24496.46447,21373.66361,20552.90698,22965.35966,20740.13869,23418.2797,14364.95903,14355.68404,12515.4968,10853.01686,10399.42475,17888.61281,22825.38708,19789.8846,17257.321,18201.61358,22350.01904,24451.16425
평균 - 부채-연도말,Statistics,26891.99436,27209.87421,28160.55117,29945.74934,25786.3258,26267.56695,27210.07843,26034.93651,27262.08271,27362.53293,27877.63898,27214.52785,26729.617,26374.78781,33269.1239,35717.59106,37589.05028,36592.48304,35022.42127,41581.23714,45015.65331
