item,category,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 논,Statistics,3148.7,3181.9,3168.1,3120.7,3083.4,3107.0,3114.0,3125.0,3183.0,3167.0,3147.0,3197.0,3161.0,3056.0,2978.0,2922.0,2815.0,2735.0,2609.0,2473.0,2319.0,2151.0,2149.0,2120.0,2123.0,2112.0,2087.0,1957.0,1892.0,1799.0,1731.0,1683.0,1599.0,1462.0,1429.0,1394.0,1428.0,1452.0,1325.0,1319.0890172606,1265.0,1134.2938,1127.1272,1140.8335,1135.7825,868.6071,837.6615,829.5576,783.4327
강릉시 - 논,Statistics,1950.4,1923.0,1922.1,1911.2,1797.7,1780.0,1731.0,1702.0,1698.0,1693.0,1668.0,1674.0,1766.0,1736.0,1735.0,1715.0,1696.0,1685.0,1685.0,4939.0,4645.0,4514.0,4384.0,4319.0,4261.0,4227.0,4169.0,4073.0,4076.0,4053.0,3854.0,3809.0,3679.0,3552.0,3422.0,3260.0,3226.0,3236.0,3141.0,2966.8781468972,2747.0,2570.6551,2405.477,2324.6966,2194.3735,2588.7209,2577.13,2440.9508,2332.5082
강원 - 논,Statistics,59056.0,59976.0,61345.9,61383.4,61050.7,60968.0,61177.0,61233.0,61298.0,61251.0,61073.0,66416.0,66528.0,66388.0,66022.0,65304.0,63926.0,62150.0,60244.0,53263.0,51897.0,51349.0,50677.0,50443.0,50124.0,50098.0,49938.0,49383.0,49998.0,49245.0,47751.0,46889.0,45583.0,43869.0,43190.0,41086.0,41325.0,41701.0,39972.0,38979.0860189179,37763.0,35681.5003,34169.6202,33685.079,32917.1619,31718.2942,31092.18,30188.547,29895.7937
강진군 - 논,Statistics,10737.0,10880.1,10914.9,10911.9,10904.0,10853.0,10934.0,11030.0,11165.0,11433.0,11548.0,11105.0,11193.0,11344.0,11399.0,11514.0,11519.0,11468.0,11458.0,11229.0,11132.0,11120.0,11104.0,11329.0,11323.0,11321.0,11279.0,11223.0,11187.0,11275.0,11257.0,11223.0,11179.0,10855.0,10794.0,10795.0,10770.0,10889.0,10674.0,10577.3937359119,10633.0,10470.3363,10333.0747,10210.2903,10226.8133,9881.3068,9864.31,9759.8303,9772.0566
강화군 - 논,Statistics,13348.0,13178.8,13205.2,13260.9,13153.9,13127.0,13214.0,13290.0,13423.0,13433.0,13471.0,14215.0,14520.0,14529.0,14620.0,14570.0,14532.0,14426.0,14433.0,,,,,,,,,,,,12175.0,12019.0,11891.0,11360.0,11188.0,10985.0,11124.0,11189.0,11179.0,11052.2381417396,10462.0,10103.9789,9760.5772,9580.3456,9507.4743,10459.9164,10361.77,10314.8642,10296.2461
강화군외 - 논,Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4472.0,3728.0,3510.0,2921.0,2474.0,2409.0,2416.0,2397.0,2410.0,2392.5545692875,2258.0,2119.0022,1786.6842,1746.254,1718.5241,1953.2697,1925.91,1874.2936,1872.4772
거제군 - 논,Statistics,4884.2,4881.4,4872.9,4783.2,4766.5,4742.0,4634.0,4576.0,4516.0,4348.0,4323.0,4768.0,4530.0,4436.0,4367.0,4326.0,4206.0,3940.0,3849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거제시 - 논,Statistics,,,,,,,,,,,,,,,,,,,,3772.0,3230.0,3138.0,3099.0,3094.0,3081.0,3058.0,3012.0,2952.0,2902.0,2862.0,2811.0,2775.0,2732.0,2487.0,2425.0,2203.0,2155.0,2213.0,2086.0,2007.4081843125,2005.0,1938.5501,1913.1309,1907.3523,1788.3245,1385.3908,1307.6,1278.8275,1277.8895
거창군 - 논,Statistics,8867.9,8868.0,8867.8,8867.0,8856.1,8670.0,8990.0,8991.0,9003.0,9006.0,8987.0,8910.0,8887.0,8635.0,8617.0,8454.0,8344.0,8235.0,8001.0,7717.0,7350.0,7217.0,7108.0,7103.0,7193.0,7254.0,7199.0,7168.0,7120.0,7090.0,7041.0,6976.0,6864.0,6684.0,6186.0,6010.0,6032.0,6088.0,5967.0,5701.9170245331,5679.0,5521.2087,5365.2699,5352.8438,5395.0469,4001.0469,4003.65,4008.8698,3977.0337
경기 - 논,Statistics,187398.0,190378.8,191471.5,191427.9,189530.3,187245.0,186528.0,187392.0,187837.0,187698.0,187034.0,194852.0,192888.0,190152.0,186578.0,183275.0,179903.0,175840.0,168919.0,144914.0,134200.0,130675.0,129396.0,128734.0,127915.0,126908.0,124364.0,121627.0,118831.0,116293.0,111004.0,108334.0,105936.0,103939.0,101896.0,98205.0,99024.0,98873.0,96696.0,95679.9207110256,93216.0,88732.9715,86242.8207,84124.7117,82790.2857,80949.6393,79996.0,77214.3334,76489.0943
