item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 실업률 (％),Statistics,2.1,1.8,1.9,2.0,1.2,1.4,1.2,0.6,1.8,1.7,1.1,1.9
강릉시 - 실업률 (％),Statistics,2.2,2.3,2.9,2.6,3.4,2.6,2.6,3.7,2.2,1.9,1.8,1.2
강진군 - 실업률 (％),Statistics,1.0,0.4,0.2,0.3,0.8,0.5,0.4,0.8,0.9,0.8,0.7,0.5
거제시 - 실업률 (％),Statistics,1.2,0.4,1.3,1.7,2.9,7.0,6.7,5.0,4.0,3.8,4.3,4.7
거창군 - 실업률 (％),Statistics,1.9,1.6,1.1,2.0,1.7,1.3,1.9,1.8,2.2,0.9,1.8,1.0
경산시 - 실업률 (％),Statistics,2.7,2.7,2.3,3.1,3.2,3.9,3.7,3.7,3.9,3.2,3.3,3.9
경주시 - 실업률 (％),Statistics,1.6,1.6,1.2,1.4,1.9,1.4,1.8,2.7,2.2,1.8,1.8,2.4
계룡시 - 실업률 (％),Statistics,1.4,1.6,1.2,1.4,2.1,2.2,2.3,1.7,2.9,2.0,2.2,1.6
고령군 - 실업률 (％),Statistics,3.0,2.2,2.0,1.5,1.8,2.8,2.4,1.5,1.6,1.2,1.1,1.4
고성군 - 실업률 (％),Statistics,0.3,0.6,1.0,0.3,0.2,0.4,0.7,2.0,1.5,1.3,2.1,2.3
고양시 - 실업률 (％),Statistics,1.9,2.3,2.9,3.1,3.7,3.7,4.3,3.5,4.3,2.7,3.1,2.8
고창군 - 실업률 (％),Statistics,1.1,0.7,0.2,0.7,0.2,0.7,0.5,0.9,0.7,0.2,0.2,0.2
고흥군 - 실업률 (％),Statistics,0.3,0.7,0.1,0.1,0.2,0.4,0.3,0.2,1.0,0.3,0.8,0.8
곡성군 - 실업률 (％),Statistics,1.0,1.0,0.6,1.3,0.5,1.0,0.4,0.2,0.8,0.6,0.2,1.2
공주시 - 실업률 (％),Statistics,1.9,1.9,1.5,1.3,1.3,0.9,2.3,3.5,2.9,1.7,3.2,3.7
과천시 - 실업률 (％),Statistics,4.5,3.8,4.2,3.3,3.3,3.7,2.9,3.2,3.3,3.0,2.6,3.1
광명시 - 실업률 (％),Statistics,4.5,3.8,4.5,4.1,4.5,4.0,4.6,4.4,4.5,4.3,3.9,3.8
광양시 - 실업률 (％),Statistics,2.3,2.2,3.0,3.5,3.8,3.2,1.6,1.0,2.1,1.5,1.5,2.2
광주 광산구 - 실업률 (％),Statistics,,,,,,,,,3.8,3.0,2.8,3.4
광주 남구 - 실업률 (％),Statistics,,,,,,,,,3.3,3.0,2.7,3.9
광주 동구 - 실업률 (％),Statistics,,,,,,,,,3.8,3.2,3.0,3.1
광주 북구 - 실업률 (％),Statistics,,,,,,,,,3.1,2.9,2.4,3.4
광주 서구 - 실업률 (％),Statistics,,,,,,,,,2.6,2.6,2.4,2.6
광주시 - 실업률 (％),Statistics,2.7,3.5,4.2,3.0,4.3,2.4,5.0,5.0,4.3,3.5,2.9,4.5
