item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 계 - 경제활동참가율 (％),Statistics,67.1,66.2,65.1,66.1,64.6,60.6,62.0,62.9,62.1,62.7,61.7,63.7
가평군 - 남자 - 경제활동참가율 (％),Statistics,76.9,76.7,75.6,75.0,76.3,70.2,70.4,70.7,69.1,69.4,71.6,72.8
가평군 - 여자 - 경제활동참가율 (％),Statistics,57.6,55.9,54.8,57.7,53.3,51.4,53.8,55.2,55.2,56.1,51.9,54.6
강릉시 - 계 - 경제활동참가율 (％),Statistics,55.4,55.1,54.3,56.2,56.4,60.0,61.2,59.4,60.3,63.0,62.5,61.9
강릉시 - 남자 - 경제활동참가율 (％),Statistics,65.6,64.8,63.9,64.9,67.3,67.9,68.5,66.5,67.2,69.7,68.6,68.5
강릉시 - 여자 - 경제활동참가율 (％),Statistics,45.6,45.8,45.1,47.7,45.9,52.3,54.2,52.5,53.6,56.5,56.6,55.4
강진군 - 계 - 경제활동참가율 (％),Statistics,68.2,71.1,70.2,68.0,69.9,68.8,70.3,68.6,70.7,70.0,66.9,67.4
강진군 - 남자 - 경제활동참가율 (％),Statistics,76.8,78.6,78.3,77.9,79.4,75.1,76.5,74.9,74.3,75.5,71.6,74.6
강진군 - 여자 - 경제활동참가율 (％),Statistics,60.9,64.7,63.2,59.3,61.5,63.2,64.8,63.0,67.3,64.9,62.5,60.5
거제시 - 계 - 경제활동참가율 (％),Statistics,64.8,65.4,67.9,66.2,65.4,63.0,65.5,62.7,60.1,61.6,65.5,67.9
거제시 - 남자 - 경제활동참가율 (％),Statistics,85.5,84.0,85.6,84.3,81.4,78.0,81.1,77.4,73.9,75.1,76.1,77.9
거제시 - 여자 - 경제활동참가율 (％),Statistics,40.6,43.5,46.9,44.6,46.4,45.8,47.8,45.8,44.2,46.4,53.3,55.9
거창군 - 계 - 경제활동참가율 (％),Statistics,64.0,62.6,62.7,66.2,64.6,64.0,65.0,67.4,67.6,66.8,68.8,68.2
거창군 - 남자 - 경제활동참가율 (％),Statistics,71.5,70.6,70.4,73.1,73.2,71.4,70.8,73.3,72.8,70.1,72.3,74.0
거창군 - 여자 - 경제활동참가율 (％),Statistics,57.2,55.4,55.7,59.9,56.6,57.0,59.6,61.9,62.6,63.5,65.4,62.5
경산시 - 계 - 경제활동참가율 (％),Statistics,57.0,58.5,59.0,59.0,59.8,59.9,60.1,56.5,59.6,59.2,60.0,60.1
경산시 - 남자 - 경제활동참가율 (％),Statistics,68.3,68.5,70.0,68.3,70.5,70.9,71.4,65.1,68.2,67.1,68.0,65.8
