item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 계 - 고용률 (%),Statistics,65.7,65.0,63.9,64.8,63.8,59.8,61.3,62.5,61.1,61.6,61.0,62.4
가평군 - 남자 - 고용률 (%),Statistics,75.4,75.5,74.3,74.0,75.1,69.0,69.2,70.3,68.3,67.6,70.6,71.5
가평군 - 여자 - 고용률 (%),Statistics,56.2,54.7,53.6,56.0,53.0,50.9,53.6,54.9,53.8,55.6,51.5,53.5
강릉시 - 계 - 고용률 (%),Statistics,54.2,53.8,52.8,54.7,54.5,58.4,59.6,57.2,59.0,61.8,61.4,61.2
강릉시 - 남자 - 고용률 (%),Statistics,64.5,63.3,62.9,63.7,64.7,65.9,66.8,64.5,65.8,68.4,67.1,67.7
강릉시 - 여자 - 고용률 (%),Statistics,44.3,44.8,43.0,45.9,44.6,51.1,52.6,50.1,52.3,55.3,55.9,54.8
강진군 - 계 - 고용률 (%),Statistics,67.5,70.9,70.1,67.8,69.3,68.4,70.0,68.1,70.0,69.4,66.4,67.0
강진군 - 남자 - 고용률 (%),Statistics,76.3,78.2,78.1,77.5,79.0,74.8,76.4,74.6,73.9,74.5,70.9,74.0
강진군 - 여자 - 고용률 (%),Statistics,60.0,64.6,63.1,59.3,60.7,62.7,64.3,62.2,66.4,64.7,62.1,60.4
거제시 - 계 - 고용률 (%),Statistics,64.1,65.1,67.1,65.1,63.5,58.6,61.1,59.6,57.7,59.3,62.7,64.7
거제시 - 남자 - 고용률 (%),Statistics,84.7,83.9,84.6,82.8,78.9,72.2,76.5,74.2,71.0,72.7,73.6,75.2
거제시 - 여자 - 고용률 (%),Statistics,39.9,43.0,46.2,43.9,45.1,43.0,43.7,42.8,42.4,44.1,50.1,52.1
거창군 - 계 - 고용률 (%),Statistics,62.8,61.6,62.0,64.8,63.5,63.1,63.8,66.2,66.1,66.2,67.6,67.5
거창군 - 남자 - 고용률 (%),Statistics,70.0,68.9,69.6,70.9,71.6,70.8,68.8,71.3,70.9,69.4,70.9,72.8
거창군 - 여자 - 고용률 (%),Statistics,56.1,54.9,55.1,59.3,56.0,56.0,59.1,61.4,61.6,63.1,64.3,62.3
경산시 - 계 - 고용률 (%),Statistics,55.4,56.9,57.6,57.2,57.9,57.5,57.9,54.4,57.2,57.3,58.1,57.7
경산시 - 남자 - 고용률 (%),Statistics,65.7,66.7,68.8,66.7,68.1,69.0,69.0,62.9,65.7,64.9,65.9,63.6
경산시 - 여자 - 고용률 (%),Statistics,45.4,47.4,46.7,47.8,47.8,46.2,46.9,45.9,48.8,49.8,50.2,51.9
경주시 - 계 - 고용률 (%),Statistics,62.9,63.9,61.7,62.6,62.9,61.6,61.7,59.1,60.6,61.2,60.4,61.8
경주시 - 남자 - 고용률 (%),Statistics,73.6,74.9,72.7,71.6,70.8,73.0,72.7,69.8,71.3,71.7,70.8,71.0
경주시 - 여자 - 고용률 (%),Statistics,52.4,53.2,50.9,53.5,54.9,50.3,50.5,48.3,49.9,50.7,49.9,52.4
계룡시 - 계 - 고용률 (%),Statistics,50.9,54.4,52.0,54.8,53.6,54.3,55.8,51.8,57.7,58.2,57.9,60.0
계룡시 - 남자 - 고용률 (%),Statistics,65.9,68.2,64.8,66.1,65.1,66.7,66.5,61.9,65.0,66.3,69.6,71.6
계룡시 - 여자 - 고용률 (%),Statistics,40.4,44.7,42.8,46.2,44.6,44.6,47.3,43.8,51.7,52.0,49.2,50.7
고령군 - 계 - 고용률 (%),Statistics,68.4,67.4,67.7,66.6,68.0,64.9,64.4,64.7,68.4,69.4,65.7,68.2
고령군 - 남자 - 고용률 (%),Statistics,79.0,78.6,77.5,75.2,77.1,74.1,74.4,73.6,76.5,77.2,72.4,73.6
고령군 - 여자 - 고용률 (%),Statistics,57.5,55.8,57.5,57.6,58.4,55.0,53.6,55.0,59.8,60.9,58.3,62.3
고성군 - 계 - 고용률 (%),Statistics,62.4,62.9,64.6,65.0,64.9,63.4,66.7,65.3,66.9,71.2,69.9,71.2
고성군 - 남자 - 고용률 (%),Statistics,69.1,67.7,68.7,70.2,66.2,66.7,72.0,69.7,74.2,76.8,74.4,74.8
고성군 - 여자 - 고용률 (%),Statistics,55.8,58.0,60.4,59.4,63.4,60.0,61.0,60.7,59.2,65.4,65.3,67.4
고양시 - 계 - 고용률 (%),Statistics,56.8,57.0,56.6,56.8,55.4,56.5,56.6,55.5,57.5,60.3,59.6,59.8
고양시 - 남자 - 고용률 (%),Statistics,71.1,70.8,69.2,68.7,69.1,70.9,69.0,67.6,68.0,70.9,71.7,69.6
고양시 - 여자 - 고용률 (%),Statistics,43.7,44.3,45.0,45.8,42.9,43.4,45.2,44.5,47.9,50.6,48.5,50.9
고창군 - 계 - 고용률 (%),Statistics,63.4,68.0,67.9,68.0,67.0,65.7,66.5,65.0,67.5,69.5,70.4,70.8
고창군 - 남자 - 고용률 (%),Statistics,71.4,77.0,77.4,76.9,75.9,75.0,76.1,74.8,76.1,77.8,75.5,76.0
고창군 - 여자 - 고용률 (%),Statistics,56.0,59.6,59.1,59.7,58.7,57.0,57.4,55.9,59.3,61.6,65.4,65.6
고흥군 - 계 - 고용률 (%),Statistics,71.6,75.5,72.8,73.0,72.7,73.8,75.6,74.6,74.8,75.7,72.6,73.3
고흥군 - 남자 - 고용률 (%),Statistics,75.5,79.8,78.8,80.2,78.5,80.8,83.0,80.3,80.9,81.5,77.7,77.9
고흥군 - 여자 - 고용률 (%),Statistics,68.1,71.6,67.5,66.6,67.5,67.4,68.7,69.4,69.1,70.1,67.7,68.7
곡성군 - 계 - 고용률 (%),Statistics,68.4,69.0,67.5,67.8,68.2,65.9,69.6,64.7,67.8,70.7,70.3,70.4
곡성군 - 남자 - 고용률 (%),Statistics,77.3,76.1,74.6,76.8,76.2,75.2,78.6,71.9,76.7,76.7,73.0,74.4
곡성군 - 여자 - 고용률 (%),Statistics,60.7,62.6,61.1,59.8,60.9,57.5,61.4,58.1,59.6,65.1,67.7,66.6
공주시 - 계 - 고용률 (%),Statistics,57.7,59.5,59.2,57.7,61.9,65.3,63.7,63.0,61.5,62.9,60.6,61.7
공주시 - 남자 - 고용률 (%),Statistics,68.6,69.0,67.8,66.0,70.4,73.8,71.6,70.3,69.5,71.6,68.4,68.1
공주시 - 여자 - 고용률 (%),Statistics,47.2,50.4,50.9,49.7,53.8,57.3,56.1,56.1,54.1,54.7,53.2,55.6
과천시 - 계 - 고용률 (%),Statistics,52.9,53.8,53.7,53.2,54.9,51.9,52.6,51.4,54.7,58.7,60.2,58.8
과천시 - 남자 - 고용률 (%),Statistics,65.4,66.3,67.1,65.5,66.9,65.2,63.8,61.9,67.2,68.9,70.4,69.5
과천시 - 여자 - 고용률 (%),Statistics,41.7,42.6,41.9,42.1,44.1,39.9,42.4,41.6,43.0,49.1,50.7,48.9
광명시 - 계 - 고용률 (%),Statistics,55.3,57.7,56.7,57.2,56.8,58.8,58.7,56.6,56.7,57.7,60.5,59.8
광명시 - 남자 - 고용률 (%),Statistics,68.1,71.2,69.5,70.7,70.9,70.4,69.2,66.2,66.5,68.0,72.3,70.0
광명시 - 여자 - 고용률 (%),Statistics,43.3,45.1,44.6,44.5,43.5,47.9,48.8,47.6,47.6,48.2,49.6,50.4
광양시 - 계 - 고용률 (%),Statistics,59.0,56.9,58.9,60.0,62.5,62.6,64.4,63.9,65.4,66.6,67.6,68.5
광양시 - 남자 - 고용률 (%),Statistics,77.1,74.2,73.4,74.8,76.2,76.7,78.0,77.5,78.2,80.5,77.6,79.1
광양시 - 여자 - 고용률 (%),Statistics,40.6,39.3,44.0,44.8,48.3,48.0,50.1,49.5,51.5,51.5,56.6,56.9
광주 광산구 - 계 - 고용률 (%),Statistics,,,,,,,,,60.2,59.9,62.7,63.6
광주 광산구 - 남자 - 고용률 (%),Statistics,,,,,,,,,71.8,70.6,73.9,72.4
광주 광산구 - 여자 - 고용률 (%),Statistics,,,,,,,,,48.7,49.3,51.4,54.7
광주 남구 - 계 - 고용률 (%),Statistics,,,,,,,,,57.3,57.9,59.7,59.6
광주 남구 - 남자 - 고용률 (%),Statistics,,,,,,,,,64.3,66.1,67.6,67.2
