item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 15 - 29세 - 고용률 (%),Statistics,41.6,38.3,39.3,38.9,34.6,28.6,25.3,28.7,37.8,35.8,36.4,44.3
강릉시 - 15 - 29세 - 고용률 (%),Statistics,31.0,25.2,23.2,26.7,28.2,34.7,36.9,32.9,37.8,37.6,38.5,40.9
강진군 - 15 - 29세 - 고용률 (%),Statistics,40.3,37.0,38.8,29.0,26.3,37.0,39.4,39.0,34.7,43.7,33.3,40.8
거제시 - 15 - 29세 - 고용률 (%),Statistics,51.5,52.0,51.3,48.7,43.3,37.5,41.2,39.0,30.9,32.4,37.4,31.3
거창군 - 15 - 29세 - 고용률 (%),Statistics,25.8,32.1,29.1,31.4,32.3,33.1,24.7,26.7,28.6,26.9,23.0,26.2
경산시 - 15 - 29세 - 고용률 (%),Statistics,31.8,33.0,32.5,34.3,34.1,35.7,38.8,29.3,31.8,33.6,35.6,35.2
경주시 - 15 - 29세 - 고용률 (%),Statistics,40.0,39.9,36.8,38.0,38.2,39.5,39.9,30.4,34.8,36.3,41.5,43.0
계룡시 - 15 - 29세 - 고용률 (%),Statistics,21.9,19.7,21.4,23.7,21.8,27.9,25.8,20.2,24.4,27.5,39.1,38.6
고령군 - 15 - 29세 - 고용률 (%),Statistics,48.1,46.3,43.8,42.5,43.5,43.2,40.5,45.1,49.4,55.0,50.5,50.0
고성군 - 15 - 29세 - 고용률 (%),Statistics,36.7,34.9,33.2,34.0,35.0,29.2,45.2,35.8,40.6,60.9,57.0,57.8
고양시 - 15 - 29세 - 고용률 (%),Statistics,38.0,35.4,40.0,37.1,40.4,42.2,39.5,37.0,40.8,45.7,45.3,42.9
고창군 - 15 - 29세 - 고용률 (%),Statistics,30.3,44.2,40.5,41.6,41.0,38.9,43.4,25.6,35.1,36.0,39.3,42.7
고흥군 - 15 - 29세 - 고용률 (%),Statistics,41.4,55.1,45.1,47.0,37.2,51.8,52.6,58.1,52.9,46.8,44.0,39.8
곡성군 - 15 - 29세 - 고용률 (%),Statistics,29.8,24.8,25.1,32.1,32.5,35.9,40.1,24.4,30.8,35.7,30.3,31.2
공주시 - 15 - 29세 - 고용률 (%),Statistics,29.8,32.3,28.5,26.8,38.1,42.0,38.3,35.9,34.1,34.5,33.9,31.0
과천시 - 15 - 29세 - 고용률 (%),Statistics,29.0,28.4,30.8,26.6,30.6,31.3,30.3,26.5,30.5,37.1,38.1,33.3
