item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
가평군 - 거주지내 통근 취업자 (천명),Statistics,27.6,28.3,28.3,28.3,28.0,27.4,28.0,28.5,27.9,28.6,27.6,28.0
가평군 - 거주지외 타지역 통근 취업자 (천명),Statistics,4.3,3.6,3.5,4.3,4.3,3.3,3.7,3.8,4.0,3.8,4.6,5.4
강릉시 - 거주지내 통근 취업자 (천명),Statistics,94.7,93.5,92.1,97.2,97.7,105.9,109.0,105.1,109.2,113.7,112.8,110.9
강릉시 - 거주지외 타지역 통근 취업자 (천명),Statistics,4.9,5.9,5.8,4.6,4.5,4.0,3.7,3.7,3.6,5.0,5.2,6.5
강진군 - 거주지내 통근 취업자 (천명),Statistics,20.5,21.3,21.0,19.8,20.1,19.3,19.3,18.4,18.4,18.2,17.2,16.8
강진군 - 거주지외 타지역 통근 취업자 (천명),Statistics,0.5,0.8,0.6,0.6,0.5,0.8,0.8,0.7,0.9,0.8,0.6,1.0
거제시 - 거주지내 통근 취업자 (천명),Statistics,122.8,128.4,137.3,137.0,131.7,117.6,121.7,119.9,115.0,113.8,121.5,126.9
거제시 - 거주지외 타지역 통근 취업자 (천명),Statistics,1.3,1.5,2.0,1.5,2.7,2.4,2.3,1.4,1.5,4.2,2.9,3.8
거창군 - 거주지내 통근 취업자 (천명),Statistics,31.2,30.9,31.6,32.9,32.5,32.3,32.6,33.9,34.2,33.9,35.0,34.7
거창군 - 거주지외 타지역 통근 취업자 (천명),Statistics,1.2,1.2,0.8,1.2,1.1,1.0,1.2,0.8,0.8,0.8,0.5,0.6
경산시 - 거주지내 통근 취업자 (천명),Statistics,88.9,95.3,98.7,103.3,102.9,99.0,102.7,96.6,103.5,110.5,112.1,117.8
경산시 - 거주지외 타지역 통근 취업자 (천명),Statistics,36.9,35.8,38.5,34.7,37.2,41.7,41.9,41.6,43.0,39.4,41.3,35.6
경주시 - 거주지내 통근 취업자 (천명),Statistics,131.6,135.7,131.5,134.7,135.4,135.0,134.1,128.6,132.5,133.8,129.8,130.1
경주시 - 거주지외 타지역 통근 취업자 (천명),Statistics,10.6,10.2,9.6,8.6,9.0,6.8,8.5,8.1,6.9,6.9,8.8,11.0
계룡시 - 거주지내 통근 취업자 (천명),Statistics,7.1,8.0,7.9,8.8,9.0,8.7,8.8,8.4,9.7,10.8,10.9,12.0
계룡시 - 거주지외 타지역 통근 취업자 (천명),Statistics,6.2,6.5,5.9,7.0,7.2,7.8,8.3,7.4,8.4,7.2,7.5,8.5
고령군 - 거주지내 통근 취업자 (천명),Statistics,17.4,16.6,17.2,16.5,16.6,15.0,14.6,14.9,15.3,15.5,15.1,15.8
고령군 - 거주지외 타지역 통근 취업자 (천명),Statistics,3.5,4.2,3.5,3.7,3.6,4.0,4.1,3.4,3.5,3.4,2.9,3.0
고성군 - 거주지내 통근 취업자 (천명),Statistics,13.9,14.5,15.1,15.1,15.1,14.9,14.8,14.7,15.0,15.6,15.1,15.4
고성군 - 거주지외 타지역 통근 취업자 (천명),Statistics,1.5,1.4,1.2,1.2,1.7,1.6,2.1,1.4,1.4,1.8,2.4,2.6
고양시 - 거주지내 통근 취업자 (천명),Statistics,235.3,243.2,251.4,259.6,242.7,247.5,250.7,255.7,266.5,291.1,283.1,292.5
고양시 - 거주지외 타지역 통근 취업자 (천명),Statistics,202.8,212.0,210.6,214.9,227.0,234.0,237.8,240.7,256.5,264.0,264.8,256.4
고창군 - 거주지내 통근 취업자 (천명),Statistics,30.6,32.8,32.7,32.0,32.1,31.4,31.1,29.6,30.2,30.5,29.8,30.0
고창군 - 거주지외 타지역 통근 취업자 (천명),Statistics,0.7,1.0,0.9,1.7,1.0,0.8,0.5,0.6,0.7,0.9,1.8,1.6
고흥군 - 거주지내 통근 취업자 (천명),Statistics,41.5,43.3,41.3,40.8,40.4,40.5,40.9,39.8,38.4,39.1,37.3,37.7
고흥군 - 거주지외 타지역 통근 취업자 (천명),Statistics,0.2,0.4,0.3,0.4,0.2,0.3,0.5,0.3,1.2,0.6,0.5,0.3
곡성군 - 거주지내 통근 취업자 (천명),Statistics,17.4,17.2,17.1,17.0,17.1,16.4,16.7,15.2,15.5,16.1,15.5,15.1
곡성군 - 거주지외 타지역 통근 취업자 (천명),Statistics,0.4,0.6,0.4,0.4,0.6,0.7,1.3,0.9,1.0,1.0,1.2,1.4
공주시 - 거주지내 통근 취업자 (천명),Statistics,52.1,55.5,52.2,50.3,54.1,57.4,54.5,53.7,51.5,54.0,49.0,50.4
공주시 - 거주지외 타지역 통근 취업자 (천명),Statistics,6.8,5.4,7.2,7.2,7.7,7.6,8.8,8.5,8.4,7.4,9.8,9.5
과천시 - 거주지내 통근 취업자 (천명),Statistics,7.7,6.8,6.9,6.7,5.6,5.2,5.8,4.7,6.7,8.3,8.9,9.7
과천시 - 거주지외 타지역 통근 취업자 (천명),Statistics,21.1,22.5,22.7,22.2,20.3,17.8,18.2,18.8,23.1,28.7,29.0,28.9
광명시 - 거주지내 통근 취업자 (천명),Statistics,53.0,59.8,56.9,60.4,60.0,60.6,58.7,55.9,49.6,52.1,60.0,56.0
광명시 - 거주지외 타지역 통근 취업자 (천명),Statistics,104.7,104.6,103.7,100.9,98.3,101.3,101.6,95.8,92.7,91.9,88.3,87.7
광양시 - 거주지내 통근 취업자 (천명),Statistics,62.0,61.1,63.5,64.7,69.5,67.6,68.1,64.9,68.9,71.4,71.7,75.3
광양시 - 거주지외 타지역 통근 취업자 (천명),Statistics,4.8,4.8,6.0,6.7,5.6,8.1,9.9,12.2,10.4,10.3,12.1,10.4
광주 광산구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,128.8,134.8,141.3,141.8
광주 광산구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,84.0,76.8,80.9,84.3
광주 남구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,42.8,45.9,45.2,43.9
광주 남구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,64.1,63.0,66.0,66.2
광주 동구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,29.0,32.6,27.7,28.8
광주 동구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,25.0,23.9,28.7,29.0
광주 북구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,111.0,117.7,112.8,117.9
광주 북구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,100.1,98.3,104.8,110.1
광주 서구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,87.5,89.3,80.1,86.4
광주 서구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,66.2,64.6,70.6,63.4
광주시 - 거주지내 통근 취업자 (천명),Statistics,84.9,87.7,90.7,96.3,102.1,110.5,109.2,114.9,122.1,122.2,116.2,123.4
광주시 - 거주지외 타지역 통근 취업자 (천명),Statistics,52.3,60.6,59.1,61.6,66.9,78.9,82.7,73.3,79.5,92.0,105.3,98.7
괴산군 - 거주지내 통근 취업자 (천명),Statistics,19.7,21.6,21.9,22.2,22.8,21.9,22.0,21.9,22.6,22.5,21.2,21.5
괴산군 - 거주지외 타지역 통근 취업자 (천명),Statistics,1.4,1.0,1.0,1.2,1.0,1.4,1.6,1.8,1.9,1.6,1.7,1.7
구례군 - 거주지내 통근 취업자 (천명),Statistics,14.7,14.6,14.7,14.4,14.3,14.5,13.9,13.4,13.7,13.6,13.9,14.0
구례군 - 거주지외 타지역 통근 취업자 (천명),Statistics,0.2,0.2,0.2,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.5,0.3
구리시 - 거주지내 통근 취업자 (천명),Statistics,34.1,32.9,35.5,36.0,35.8,34.2,36.1,34.3,37.5,38.1,35.7,36.1
구리시 - 거주지외 타지역 통근 취업자 (천명),Statistics,50.5,50.7,50.6,53.3,56.2,62.8,62.1,57.4,59.7,60.4,64.4,65.0
구미시 - 거주지내 통근 취업자 (천명),Statistics,197.0,198.5,200.7,196.7,192.5,208.9,204.0,196.4,195.7,201.8,194.4,192.8
구미시 - 거주지외 타지역 통근 취업자 (천명),Statistics,11.3,11.0,12.4,11.4,14.8,11.5,10.6,12.0,16.1,18.7,20.1,22.5
군산시 - 거주지내 통근 취업자 (천명),Statistics,116.3,119.9,118.3,119.8,121.6,115.9,117.9,113.4,116.7,117.4,122.2,124.3
군산시 - 거주지외 타지역 통근 취업자 (천명),Statistics,9.2,7.6,8.8,8.6,8.9,7.2,8.5,9.0,11.6,11.1,10.7,10.4
군포시 - 거주지내 통근 취업자 (천명),Statistics,43.7,45.5,48.0,47.3,48.2,45.1,52.5,47.9,51.8,53.3,50.9,50.1
군포시 - 거주지외 타지역 통근 취업자 (천명),Statistics,90.1,87.0,84.5,89.7,90.5,90.9,86.5,83.5,84.2,88.0,90.1,89.6
금산군 - 거주지내 통근 취업자 (천명),Statistics,29.6,29.3,30.3,30.7,31.3,30.0,29.6,27.9,30.1,29.3,30.5,28.7
금산군 - 거주지외 타지역 통근 취업자 (천명),Statistics,1.9,2.3,1.9,1.6,1.4,2.8,3.0,1.9,2.2,2.3,2.2,2.6
김제시 - 거주지내 통근 취업자 (천명),Statistics,41.6,41.1,41.9,41.0,40.9,37.8,38.0,38.2,39.5,41.2,42.2,43.7
김제시 - 거주지외 타지역 통근 취업자 (천명),Statistics,5.9,6.9,6.2,5.5,6.4,6.4,5.9,5.7,4.6,4.0,5.2,5.2
김천시 - 거주지내 통근 취업자 (천명),Statistics,63.3,63.9,64.5,66.7,68.5,65.2,66.9,67.5,70.1,73.5,73.0,71.6
김천시 - 거주지외 타지역 통근 취업자 (천명),Statistics,5.7,4.4,4.2,4.7,4.6,5.4,4.7,5.1,6.5,6.8,7.4,7.5
김포시 - 거주지내 통근 취업자 (천명),Statistics,91.0,95.5,100.8,104.5,114.6,112.0,124.4,125.1,137.7,147.4,150.2,151.8
김포시 - 거주지외 타지역 통근 취업자 (천명),Statistics,51.7,58.7,67.9,70.1,76.5,78.4,92.6,87.3,99.8,107.5,115.1,111.7
김해시 - 거주지내 통근 취업자 (천명),Statistics,194.2,193.5,194.8,196.6,205.7,201.8,194.0,196.8,212.9,218.5,217.2,215.7
김해시 - 거주지외 타지역 통근 취업자 (천명),Statistics,45.3,60.3,61.9,60.8,62.0,65.1,74.2,71.3,65.0,63.4,67.3,70.4
나주시 - 거주지내 통근 취업자 (천명),Statistics,42.7,42.0,45.1,48.6,52.0,50.2,55.0,52.1,55.1,54.4,53.2,53.1
나주시 - 거주지외 타지역 통근 취업자 (천명),Statistics,5.6,4.6,5.0,5.9,6.0,9.3,8.0,9.4,9.7,10.2,11.3,13.6
남양주시 - 거주지내 통근 취업자 (천명),Statistics,140.1,137.9,146.2,156.1,156.8,149.4,155.3,162.2,180.2,193.4,209.5,207.9
남양주시 - 거주지외 타지역 통근 취업자 (천명),Statistics,125.5,131.1,135.4,141.1,138.5,142.8,151.6,143.0,145.9,147.8,168.7,166.8
남원시 - 거주지내 통근 취업자 (천명),Statistics,42.2,44.9,41.4,41.6,41.6,42.3,42.7,40.6,42.9,43.4,41.5,43.1
남원시 - 거주지외 타지역 통근 취업자 (천명),Statistics,1.7,1.2,1.5,2.0,1.7,1.6,1.6,2.0,2.4,2.3,2.0,2.0
남해군 - 거주지내 통근 취업자 (천명),Statistics,27.0,27.1,27.8,28.2,26.9,26.4,25.8,24.7,24.7,25.1,26.7,25.0
남해군 - 거주지외 타지역 통근 취업자 (천명),Statistics,0.7,0.5,0.7,0.7,0.8,0.8,0.5,0.6,0.4,0.4,0.6,0.6
논산시 - 거주지내 통근 취업자 (천명),Statistics,60.7,62.4,61.1,61.9,63.4,64.1,64.4,60.2,59.9,60.4,61.0,60.9
논산시 - 거주지외 타지역 통근 취업자 (천명),Statistics,3.9,4.2,6.0,4.8,4.8,3.9,4.7,4.3,5.1,5.2,5.7,5.6
단양군 - 거주지내 통근 취업자 (천명),Statistics,15.4,15.8,15.9,15.7,16.1,15.7,16.4,15.0,14.8,15.2,16.1,15.6
단양군 - 거주지외 타지역 통근 취업자 (천명),Statistics,0.4,0.5,0.8,0.7,0.8,0.7,0.6,0.5,0.9,0.8,0.2,0.6
담양군 - 거주지내 통근 취업자 (천명),Statistics,22.3,22.2,22.3,21.0,20.9,21.6,21.6,21.1,21.6,21.5,20.2,20.7
담양군 - 거주지외 타지역 통근 취업자 (천명),Statistics,3.1,3.3,3.4,4.0,3.6,4.3,4.2,4.1,3.8,3.9,5.2,4.8
당진시 - 거주지내 통근 취업자 (천명),Statistics,85.4,86.7,89.6,93.1,92.9,94.7,95.1,93.3,94.7,96.0,99.6,101.4
당진시 - 거주지외 타지역 통근 취업자 (천명),Statistics,1.5,2.2,2.6,2.2,2.6,3.9,3.6,3.7,3.6,4.0,5.1,5.4
대구 군위군 - 거주지내 통근 취업자 (천명),Statistics,13.3,14.1,13.8,13.7,14.5,13.8,13.4,13.6,13.6,13.9,14.5,13.7
대구 군위군 - 거주지외 타지역 통근 취업자 (천명),Statistics,0.8,0.7,0.7,0.8,0.7,1.1,0.9,0.7,0.9,0.8,0.9,0.9
대구 남구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,24.4,26.5,30.8,27.5
대구 남구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,40.6,40.1,36.8,40.0
대구 달서구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,149.6,150.4,146.4,145.8
대구 달서구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,118.2,118.5,124.0,122.6
대구 달성군 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,70.5,75.6,77.5,77.4
대구 달성군 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,61.2,62.9,60.1,59.8
대구 동구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,88.3,90.8,82.6,82.9
대구 동구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,66.8,74.0,75.6,79.5
대구 북구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,107.8,107.7,111.5,116.6
대구 북구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,96.4,106.7,104.6,98.0
대구 서구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,34.6,35.3,35.7,35.4
대구 서구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,43.0,43.1,40.8,43.6
대구 수성구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,82.3,86.7,71.1,72.4
대구 수성구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,103.6,98.4,109.2,108.7
대구 중구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,17.9,17.4,20.2,22.4
대구 중구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,18.6,20.2,22.4,24.1
대전 대덕구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,45.1,51.2,48.8,51.4
대전 대덕구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,42.1,42.4,43.2,45.0
대전 동구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,46.3,51.6,50.8,50.5
대전 동구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,60.1,59.5,65.0,64.0
대전 서구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,124.8,123.2,132.2,136.7
대전 서구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,117.4,117.7,120.8,118.4
대전 유성구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,110.6,115.6,117.7,127.1
대전 유성구 - 거주지외 타지역 통근 취업자 (천명),Statistics,,,,,,,,,78.4,82.2,84.7,84.0
대전 중구 - 거주지내 통근 취업자 (천명),Statistics,,,,,,,,,52.3,55.9,54.5,54.0
