item,category,2015,2016,2017
강원특별자치도 - - 건강보험,Statistics,71.4,73.1,73.4
강원특별자치도 - - 고용보험,Statistics,67.4,69.2,69.3
강원특별자치도 - - 국민연금,Statistics,68.5,69.6,66.9
경기도 - - 건강보험,Statistics,73.0,75.1,76.9
경기도 - - 고용보험,Statistics,69.9,72.2,74.1
경기도 - - 국민연금,Statistics,69.2,71.3,71.8
경상남도 - - 건강보험,Statistics,79.7,76.8,77.8
경상남도 - - 고용보험,Statistics,77.5,75.3,75.7
경상남도 - - 국민연금,Statistics,77.2,74.2,72.8
경상북도 - - 건강보험,Statistics,73.9,74.6,76.3
경상북도 - - 고용보험,Statistics,71.5,71.8,73.7
경상북도 - - 국민연금,Statistics,71.5,71.2,71.2
광주광역시 - - 건강보험,Statistics,72.5,72.5,72.7
광주광역시 - - 고용보험,Statistics,70.2,70.5,69.3
광주광역시 - - 국민연금,Statistics,70.5,70.4,68.9
대구광역시 - - 건강보험,Statistics,67.2,66.3,69.8
대구광역시 - - 고용보험,Statistics,63.5,62.5,66.4
대구광역시 - - 국민연금,Statistics,64.1,62.6,65.0
대전광역시 - - 건강보험,Statistics,72.1,73.9,75.9
대전광역시 - - 고용보험,Statistics,69.1,70.6,73.5
대전광역시 - - 국민연금,Statistics,69.5,71.7,71.7
부산광역시 - - 건강보험,Statistics,70.3,71.1,71.0
부산광역시 - - 고용보험,Statistics,67.2,69.4,66.5
부산광역시 - - 국민연금,Statistics,65.6,66.9,64.8
서울특별시 - - 건강보험,Statistics,69.6,74.2,74.8
서울특별시 - - 고용보험,Statistics,67.0,71.8,71.6
서울특별시 - - 국민연금,Statistics,66.9,70.8,68.8
세종특별자치시 - - 건강보험,Statistics,,,83.9
세종특별자치시 - - 고용보험,Statistics,,,78.3
세종특별자치시 - - 국민연금,Statistics,,,79.8
울산광역시 - - 건강보험,Statistics,80.8,78.3,77.0
울산광역시 - - 고용보험,Statistics,79.8,77.3,75.2
울산광역시 - - 국민연금,Statistics,78.1,74.4,72.7
인천광역시 - - 건강보험,Statistics,71.4,70.3,71.7
인천광역시 - - 고용보험,Statistics,69.6,69.0,69.9
인천광역시 - - 국민연금,Statistics,68.1,67.7,66.7
전국 - - 건강보험,Statistics,72.0,73.6,74.8
전국 - - 고용보험,Statistics,69.2,71.1,71.9
전국 - - 국민연금,Statistics,68.9,70.3,69.6
전라남도 - - 건강보험,Statistics,67.9,68.5,68.3
전라남도 - - 고용보험,Statistics,64.8,66.9,65.4
전라남도 - - 국민연금,Statistics,64.9,65.6,63.2
전북특별자치도 - - 건강보험,Statistics,69.6,72.5,74.5
전북특별자치도 - - 고용보험,Statistics,65.5,69.0,72.0
전북특별자치도 - - 국민연금,Statistics,65.8,69.3,70.1
제주특별자치도 - - 건강보험,Statistics,62.7,65.6,69.9
제주특별자치도 - - 고용보험,Statistics,59.6,62.5,66.2
제주특별자치도 - - 국민연금,Statistics,61.0,63.4,67.0
충청남도 - - 건강보험,Statistics,76.0,76.0,77.9
충청남도 - - 고용보험,Statistics,72.0,73.0,75.4
충청남도 - - 국민연금,Statistics,73.0,73.5,73.4
충청북도 - - 건강보험,Statistics,72.1,75.4,74.8
충청북도 - - 고용보험,Statistics,70.3,73.2,71.8
충청북도 - - 국민연금,Statistics,69.7,72.4,69.9
