item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도 - - 경력단절여성,Statistics,49.3,44.7,40.8,47.1,42.2,38.3,34.6,32.6,32.3,30.9
강원특별자치도 - 15 - 54세 기혼여성,Statistics,267.1,255.8,245.7,246.8,242.2,233.3,224.3,219.3,217.4,211.1
강원특별자치도 - 미취업여성,Statistics,99.0,94.0,85.7,86.3,81.4,86.1,76.1,67.1,62.7,64.7
경기도 - - 경력단절여성,Statistics,588.8,529.2,510.5,544.4,519.2,446.1,454.5,423.6,446.2,368.8
경기도 - 15 - 54세 기혼여성,Statistics,2489.5,2443.1,2412.4,2415.9,2434.8,2393.5,2365.8,2321.7,2299.3,2223.9
경기도 - 미취업여성,Statistics,1016.8,966.4,961.7,958.9,976.9,1014.4,968.1,862.1,878.8,794.5
경상남도 - - 경력단절여성,Statistics,133.6,134.6,124.1,117.9,96.2,93.0,85.1,94.6,86.0,80.5
경상남도 - 15 - 54세 기혼여성,Statistics,636.5,621.7,617.5,596.2,578.8,560.9,543.9,527.7,525.1,494.6
경상남도 - 미취업여성,Statistics,252.2,262.0,238.4,233.6,215.2,222.9,209.4,212.8,182.3,166.8
경상북도 - - 경력단절여성,Statistics,101.3,92.2,85.9,84.1,73.6,70.6,69.9,58.5,62.2,59.6
경상북도 - 15 - 54세 기혼여성,Statistics,468.6,459.9,437.9,434.4,426.5,415.8,400.9,379.3,374.2,358.3
경상북도 - 미취업여성,Statistics,186.1,176.1,164.4,156.2,151.3,159.6,167.4,147.0,129.8,124.2
광주광역시 - - 경력단절여성,Statistics,63.9,57.1,52.7,54.6,53.7,49.1,45.4,44.6,34.8,33.3
광주광역시 - 15 - 54세 기혼여성,Statistics,288.2,284.2,276.0,273.0,267.7,258.0,247.1,247.2,235.1,225.3
광주광역시 - 미취업여성,Statistics,118.6,112.1,99.0,102.6,99.5,100.2,99.0,100.6,80.9,80.4
대구광역시 - - 경력단절여성,Statistics,100.3,84.8,84.4,89.8,87.7,89.7,76.8,69.1,69.2,65.9
대구광역시 - 15 - 54세 기혼여성,Statistics,458.5,444.7,432.8,433.1,424.5,404.8,388.2,365.6,365.8,348.7
대구광역시 - 미취업여성,Statistics,174.8,170.1,154.8,158.9,165.1,183.2,153.2,134.0,129.8,127.8
대전광역시 - - 경력단절여성,Statistics,66.7,62.0,60.5,53.6,48.7,39.7,39.6,47.2,40.0,36.3
대전광역시 - 15 - 54세 기혼여성,Statistics,296.0,283.4,278.0,272.9,260.9,251.5,245.6,239.1,224.2,221.7
대전광역시 - 미취업여성,Statistics,119.9,111.0,109.8,99.0,97.5,93.2,89.9,93.3,82.1,76.9
부산광역시 - - 경력단절여성,Statistics,117.0,114.8,103.3,113.8,97.6,89.8,78.4,80.4,83.8,71.1
부산광역시 - 15 - 54세 기혼여성,Statistics,603.2,583.2,557.1,549.5,532.4,502.9,486.4,475.0,457.5,440.1
부산광역시 - 미취업여성,Statistics,255.2,242.3,231.6,232.0,211.2,201.5,183.8,187.3,170.9,153.5
서울특별시 - - 경력단절여성,Statistics,369.0,348.0,348.4,323.8,298.3,230.5,238.6,220.0,180.0,171.4
서울특별시 - 15 - 54세 기혼여성,Statistics,1791.1,1750.1,1684.1,1634.7,1568.2,1497.1,1429.5,1368.0,1323.4,1266.6
서울특별시 - 미취업여성,Statistics,744.6,716.1,675.5,628.7,611.6,573.2,565.4,504.4,467.1,396.7
세종특별자치시 - - 경력단절여성,Statistics,,,14.3,15.6,17.0,15.3,15.5,17.9,16.0,14.5
세종특별자치시 - 15 - 54세 기혼여성,Statistics,,,52.3,61.3,68.5,71.1,72.1,74.8,77.2,76.5
세종특별자치시 - 미취업여성,Statistics,,,22.2,25.0,26.1,27.7,30.3,28.6,26.4,26.3
울산광역시 - - 경력단절여성,Statistics,77.7,65.7,62.0,54.9,46.9,42.6,36.9,38.1,41.3,34.2
울산광역시 - 15 - 54세 기혼여성,Statistics,245.7,238.2,234.0,219.0,210.7,204.8,196.6,190.2,187.8,180.3
울산광역시 - 미취업여성,Statistics,125.8,120.5,110.9,101.4,94.3,101.3,88.6,88.4,81.3,79.7
인천광역시 - - 경력단절여성,Statistics,120.8,113.7,102.6,101.4,97.9,88.8,75.2,80.9,78.3,81.2
인천광역시 - 15 - 54세 기혼여성,Statistics,570.3,566.4,550.0,530.4,520.1,507.0,486.5,481.6,468.0,455.9
