item,category,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,53.863,54.794,55.624,61.433,59.088,47.349,54.414,56.27,51.565,54.077,58.991,63.16,62.934,50.332,52.784,56.517,51.086,63.619,66.65,63.956,65.359,68.904,72.818,74.295,58.269,78.215,93.413,93.135,97.213,97.491,95.704,92.408,94.106,102.298,108.292,101.7,96.7,108.1,111.8,109.1,91.0
경기도 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,1.447,1.797,2.377,3.315,3.786,3.921,4.774,5.282,5.727,6.416,7.101,8.469,8.756,9.333,12.862,18.082,18.437,21.574,22.886,26.597,34.296,37.302,40.236,48.226,34.862,51.291,58.504,57.084,64.582,65.945,67.896,70.644,75.994,85.033,82.719,89.9,104.4,119.8,90.2,122.9,127.7
경상남도 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,14.092,19.271,19.456,25.484,24.007,27.174,32.637,34.769,40.155,42.792,46.405,53.071,57.753,45.527,57.352,62.793,61.141,71.205,74.092,71.114,82.002,84.477,98.386,106.406,86.183,116.157,125.401,110.319,132.091,119.077,118.953,113.372,109.884,109.884,112.442,100.7,101.3,107.1,102.7,122.1,106.2
경상북도 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,9.598,11.163,13.416,18.254,19.533,22.068,26.489,26.722,26.101,31.746,37.56,41.693,43.948,44.657,52.913,65.565,66.839,79.891,88.623,99.196,117.926,118.041,125.376,145.283,97.087,124.411,132.049,134.768,132.826,130.237,126.22,123.293,109.39,107.805,104.878,95.8,108.6,102.5,99.3,105.8,96.8
광주광역시 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,8.317,8.742,10.527,14.774,15.774,17.573,22.535,23.077,19.769,29.284,32.198,33.275,30.535,28.039,28.875,38.831,37.39,41.92,44.08,38.251,55.866,59.265,78.916,71.13,45.855,76.077,104.275,86.24,97.042,97.134,107.926,96.526,97.503,99.131,103.257,93.4,103.3,111.1,110.2,121.6,115.1
대구광역시 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,57.816,66.746,73.968,89.989,83.121,84.226,97.247,95.802,73.977,91.109,75.323,90.336,83.746,65.937,70.044,85.447,69.566,78.384,75.525,73.91,79.887,80.701,90.962,95.685,62.948,94.467,110.789,98.65,109.667,113.34,111.526,107.464,106.257,110.757,117.563,99.9,106.4,110.4,112.3,120.5,103.0
대전광역시 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,,,,,,35.197,44.04,45.482,40.427,49.106,47.594,50.754,49.714,41.536,48.2,56.739,55.423,66.397,70.024,61.783,69.97,69.68,78.172,80.422,58.792,80.41,90.677,91.627,97.579,89.47,96.723,106.852,109.136,110.129,107.845,106.2,103.5,103.0,103.3,112.6,100.6
부산광역시 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,56.895,64.168,70.628,84.193,80.204,72.634,81.138,79.308,64.936,68.2,65.473,68.271,64.344,48.393,48.224,60.136,59.479,75.619,79.944,67.719,79.816,80.699,92.18,103.824,86.32,99.541,103.22,102.812,106.184,100.358,113.356,120.662,110.274,110.388,109.932,97.9,99.1,110.4,106.3,110.3,97.8
서울특별시 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,65.699,74.263,92.701,110.891,99.973,90.138,105.412,109.633,96.274,101.399,103.588,105.872,99.952,82.2,94.786,115.935,112.662,119.455,126.793,124.059,117.144,124.319,147.136,141.02,105.854,121.295,135.837,125.45,126.835,120.256,123.022,131.641,127.863,138.253,134.829,108.0,109.7,113.0,104.3,101.9,87.8
세종시 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.319,75.808,79.127,94.097,78.685,85.702,80.051,86.13,89.812,92.637,96.4,110.1,115.1,103.9,116.4,102.4
울산광역시 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,,,,,,,,,,,54.952,61.192,61.43,62.711,65.794,77.919,71.169,81.984,81.574,80.809,96.825,94.773,98.784,103.541,81.994,99.446,113.667,114.186,127.578,115.121,115.965,105.1,99.113,104.545,115.299,100.1,107.3,113.8,99.2,109.7,98.5
인천광역시 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,23.479,27.853,32.471,42.477,43.834,42.432,51.528,53.112,53.728,64.26,67.95,79.946,77.742,58.408,61.33,81.761,69.13,76.003,77.209,77.179,83.745,83.165,91.613,101.389,66.102,87.489,97.397,91.508,99.827,100.762,98.765,98.196,102.374,122.887,106.743,97.4,123.1,106.7,105.0,139.6,118.9
전국 - 총지수 - 생산지수(원지수),Statistics,2.789,3.415,4.195,5.216,6.185,6.262,6.672,6.913,7.981,9.29,9.886,11.561,13.238,17.086,17.369,17.398,20.913,22.474,21.26,25.307,27.44,31.218,31.99,29.523,34.51,44.876,43.01,48.986,51.08,53.661,61.412,64.848,70.471,78.904,58.975,81.813,91.551,88.681,96.68,92.594,93.797,93.045,94.737,99.812,99.342,94.9,104.5,110.7,96.9,109.0,103.6
전라남도 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,10.914,12.105,12.934,17.099,21.622,23.434,27.521,33.976,34.397,39.578,44.02,47.563,53.883,55.375,56.743,64.331,63.748,65.279,65.597,73.811,73.524,72.874,79.801,84.996,69.483,94.222,99.113,114.801,108.248,102.251,102.028,106.897,103.043,104.361,105.375,105.4,104.9,115.7,104.7,105.2,105.5
전북특별자치도 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,21.29,24.575,27.798,31.06,32.746,30.798,37.497,41.943,39.358,49.084,49.003,54.128,60.174,49.563,53.172,66.024,57.937,63.067,66.321,72.925,82.711,89.108,98.959,109.937,72.773,109.416,125.262,117.513,126.188,120.173,119.722,116.473,113.805,120.07,112.181,103.3,102.9,108.5,97.9,106.3,93.4
제주도 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,39.941,60.054,36.087,56.023,35.332,58.358,53.729,60.515,57.407,64.393,49.84,62.666,60.182,48.251,62.198,71.154,55.823,72.147,93.236,93.497,73.175,85.297,75.225,99.596,64.346,95.624,85.077,87.771,103.632,90.389,108.252,98.932,107.67,116.408,125.728,80.6,94.1,116.0,108.5,116.3,113.0
충청남도 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,2.871,3.115,3.59,4.552,4.663,4.812,5.838,6.474,6.474,7.92,7.714,9.766,11.251,11.023,12.926,15.439,15.525,18.531,20.613,26.336,31.625,37.626,45.893,52.547,41.297,69.459,77.833,77.533,83.889,82.693,86.713,86.368,93.96,110.267,105.349,93.1,113.5,113.8,103.2,102.6,98.3
충청북도 - 총지수 - 생산지수(원지수),Statistics,,,,,,,,,,,2.344,2.51,3.017,3.852,4.46,4.989,6.478,7.531,8.564,10.036,11.03,14.534,16.548,14.5,14.19,26.497,25.342,30.331,32.962,33.731,32.842,36.654,42.043,46.514,34.528,51.173,59.146,60.786,79.842,78.428,88.711,89.067,100.444,100.622,109.867,88.4,107.0,115.4,103.0,103.0,95.0
