item,category,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 합계 - 총인구(명),Statistics,59391.0,59548.0,59957.0,59823.0,60233.0,59714.0,59755.0,59893.0
강남구 - 합계 - 총인구(명),Statistics,532469.0,522514.0,507810.0,509199.0,508135.0,503019.0,500149.0,511084.0
강동구 - 합계 - 총인구(명),Statistics,429416.0,423978.0,414231.0,415287.0,444434.0,451099.0,448655.0,446561.0
강릉시 - 합계 - 총인구(명),Statistics,215977.0,215914.0,215528.0,216357.0,216542.0,216560.0,215128.0,213786.0
강북구 - 합계 - 총인구(명),Statistics,316212.0,313698.0,309138.0,303871.0,299535.0,292611.0,287788.0,284155.0
강서구 - 합계 - 총인구(명),Statistics,574287.0,581675.0,578539.0,574097.0,564854.0,559837.0,555999.0,549557.0
강원특별자치도 - 합계 - 총인구(명),Statistics,1521751.0,1521386.0,1520391.0,1520127.0,1521763.0,1521890.0,1528037.0,1528014.0
강진군 - 합계 - 총인구(명),Statistics,34102.0,33637.0,33298.0,32805.0,32778.0,31941.0,31476.0,31266.0
강화군 - 합계 - 총인구(명),Statistics,62741.0,63737.0,64432.0,65235.0,66020.0,65834.0,66420.0,66246.0
거제시 - 합계 - 총인구(명),Statistics,262986.0,257847.0,252889.0,251226.0,246965.0,242426.0,236686.0,238671.0
거창군 - 합계 - 총인구(명),Statistics,60658.0,60083.0,60020.0,59888.0,59595.0,59238.0,58702.0,58588.0
경기도 - 합계 - 총인구(명),Statistics,12671956.0,12851601.0,13103188.0,13300900.0,13511676.0,13652529.0,13717827.0,13815367.0
경산시 - 합계 - 총인구(명),Statistics,279751.0,282626.0,284517.0,290088.0,283733.0,293418.0,295543.0,296453.0
경상남도 - 합계 - 총인구(명),Statistics,3339633.0,3345293.0,3350350.0,3347209.0,3333056.0,3305931.0,3280829.0,3271148.0
경상북도 - 합계 - 총인구(명),Statistics,2682169.0,2677058.0,2672902.0,2668154.0,2644757.0,2635314.0,2620373.0,2589880.0
경주시 - 합계 - 총인구(명),Statistics,262769.0,262264.0,264282.0,264314.0,261778.0,261102.0,259674.0,259505.0
계룡시 - 합계 - 총인구(명),Statistics,40576.0,41858.0,41557.0,41153.0,40854.0,41415.0,42416.0,44822.0
계양구 - 합계 - 총인구(명),Statistics,323196.0,318104.0,307598.0,298912.0,292852.0,290967.0,288122.0,279818.0
고령군 - 합계 - 총인구(명),Statistics,33417.0,33094.0,32660.0,32191.0,31419.0,30399.0,30142.0,30518.0
고성군 - 합계 - 총인구(명),Statistics,28984.0,28621.0,28127.0,27144.0,26572.0,26650.0,27127.0,27811.0
고양시 - 합계 - 총인구(명),Statistics,999098.0,1005102.0,1006992.0,1024645.0,1045497.0,1049513.0,1044242.0,1047592.0
고창군 - 합계 - 총인구(명),Statistics,55326.0,54947.0,54425.0,53260.0,52608.0,51180.0,50784.0,50731.0
고흥군 - 합계 - 총인구(명),Statistics,61690.0,60984.0,60664.0,60332.0,60045.0,58873.0,58630.0,58735.0
곡성군 - 합계 - 총인구(명),Statistics,28718.0,28768.0,28116.0,27858.0,27349.0,26781.0,26454.0,26273.0
공주시 - 합계 - 총인구(명),Statistics,112928.0,111017.0,110119.0,109877.0,108333.0,106915.0,106038.0,105498.0
과천시 - 합계 - 총인구(명),Statistics,60923.0,53583.0,53740.0,53830.0,58018.0,65880.0,73406.0,76824.0
관악구 - 합계 - 총인구(명),Statistics,515648.0,511222.0,510303.0,507828.0,502641.0,495777.0,496743.0,493677.0
광명시 - 합계 - 총인구(명),Statistics,334361.0,328253.0,323460.0,313462.0,298116.0,290345.0,284031.0,275397.0
광산구 - 합계 - 총인구(명),Statistics,417200.0,419625.0,420665.0,423310.0,422502.0,422758.0,421755.0,417491.0
광양시 - 합계 - 총인구(명),Statistics,144364.0,144010.0,144027.0,143656.0,143928.0,144226.0,145926.0,147378.0
광주광역시 - 합계 - 총인구(명),Statistics,1501557.0,1496172.0,1490092.0,1489730.0,1477573.0,1475262.0,1468972.0,1457090.0
광주시 - 합계 - 총인구(명),Statistics,322302.0,341046.0,364178.0,375238.0,385141.0,387700.0,392926.0,394667.0
광진구 - 합계 - 총인구(명),Statistics,363979.0,363934.0,362304.0,359766.0,353967.0,347099.0,346519.0,348160.0
