item,category,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
강원특별자치도 - 소비자물가지수(총지수),Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,36.992,40.018,43.846,45.493,48.48,51.071,53.518,56.069,61.015,62.473,63.689,65.868,66.509,69.071,71.314,74.194,76.379,77.208,80.521,83.158,85.849,89.074,92.02,93.528,94.137,94.387,94.623,96.709,97.379,98.577,100.39,101.01,105.6,111.66,114.51,117.31
경기도 - 소비자물가지수(총지수),Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,35.927,39.218,42.545,44.751,47.442,50.202,52.929,55.86,60.13,60.85,62.094,64.422,66.371,68.888,70.964,73.461,75.17,76.505,79.551,82.671,85.766,88.277,91.444,92.621,93.538,94.487,95.131,97.272,97.982,98.693,100.08,101.05,104.88,110.05,113.05,115.71
경상남도 - 소비자물가지수(총지수),Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,38.402,41.708,45.222,46.323,48.841,51.255,53.878,56.449,61.59,62.483,63.148,65.384,66.852,69.343,71.704,73.789,75.43,76.624,79.31,82.443,85.993,89.042,91.908,93.373,94.714,95.463,95.845,97.927,98.414,99.064,100.2,101.18,105.21,110.13,113.32,115.78
경상북도 - 소비자물가지수(총지수),Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,39.348,42.446,45.709,47.136,49.786,53.003,55.932,58.646,63.636,64.396,65.142,67.115,68.232,70.467,72.111,74.541,76.431,77.716,80.74,83.764,86.966,90.314,93.046,94.438,95.469,95.873,95.978,98.057,98.718,99.235,100.36,101.05,105.42,110.82,113.8,116.36
광주광역시 - 소비자물가지수(총지수),Statistics,2.507,2.693,2.971,3.412,3.787,4.433,5.181,5.463,5.966,6.748,8.362,10.066,11.074,12.967,14.793,17.937,23.637,26.207,27.523,28.306,28.697,30.052,30.169,32.025,34.142,37.276,40.022,43.308,45.125,48.334,50.982,53.43,56.554,61.24,62.543,63.071,65.438,66.781,68.828,71.45,74.038,76.068,77.271,80.427,83.133,85.953,89.092,92.012,93.162,94.435,95.382,95.41,97.945,98.479,98.994,100.22,101.13,104.83,110.07,113.47,115.94
대구광역시 - 소비자물가지수(총지수),Statistics,2.346,2.526,2.818,3.3,3.726,4.287,5.018,5.325,5.854,6.664,8.24,10.065,11.088,12.637,14.618,18.382,23.706,26.389,27.814,28.318,28.866,29.954,29.748,32.6,35.009,37.269,40.859,44.137,46.322,49.522,52.002,54.556,57.219,61.636,62.009,62.899,65.064,66.401,69.266,70.921,72.837,74.608,75.862,78.592,81.397,84.121,87.019,90.07,92.056,93.215,94.351,94.719,97.138,98.035,98.819,100.1,101.12,105.1,110.43,113.14,115.57
대전광역시 - 소비자물가지수(총지수),Statistics,2.316,2.424,2.703,2.986,3.406,4.155,4.891,5.177,5.611,6.556,8.177,9.981,11.03,12.881,14.703,18.358,23.5,26.427,27.662,28.037,28.754,29.689,30.303,32.553,34.248,36.647,39.376,42.825,45.213,49.267,52.128,54.749,57.372,62.725,62.777,64.005,66.141,67.435,70.089,72.159,74.891,76.861,78.15,81.031,83.684,86.76,90.013,93.546,94.469,95.032,95.457,96.051,97.667,98.337,99.283,100.14,101.05,104.65,109.85,112.91,115.33
부산광역시 - 소비자물가지수(총지수),Statistics,2.335,2.556,2.947,3.281,3.76,4.588,5.056,5.576,5.931,6.759,8.426,10.285,11.319,12.618,14.175,17.849,23.131,25.732,27.082,27.511,28.192,29.401,29.142,31.098,33.314,35.93,38.822,42.271,44.235,47.277,49.691,52.228,54.765,59.688,61.008,62.202,64.083,65.777,68.473,70.229,72.713,74.255,75.578,78.148,81.527,84.423,87.76,90.727,92.643,93.687,94.732,95.13,97.311,98.202,99.444,100.06,101.17,104.72,109.83,113.11,115.75
서울특별시 - 소비자물가지수(총지수),Statistics,2.581,2.782,3.179,3.611,3.956,4.358,5.075,5.502,5.925,6.596,8.296,10.288,11.286,12.743,14.54,18.245,23.398,26.474,27.804,28.302,28.896,29.776,30.334,32.006,34.205,36.62,40.365,43.194,45.182,47.896,50.107,52.207,54.359,58.97,59.841,61.138,63.239,65.403,67.877,70.596,73.085,74.487,75.814,78.69,81.64,84.055,86.95,89.829,91.549,92.689,93.989,95.066,97.088,97.844,98.76,99.8,100.86,104.09,109.22,112.6,114.9
세종특별자치시 - 소비자물가지수(총지수),Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2,101.06,105.01,110.06,112.79,115.81
울산광역시 - 소비자물가지수(총지수),Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,38.752,42.042,44.65,45.412,47.658,50.346,52.872,55.656,60.655,61.582,62.836,64.866,66.26,68.796,71.143,73.788,75.808,77.38,80.748,83.667,86.572,89.645,92.796,94.483,95.343,96.107,96.704,98.754,99.264,99.495,100.18,101.18,104.86,109.95,112.98,115.43
