item,category,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 총가구_가구,Statistics,24017.0,24606.0,25133.0,25361.0,26056.0,26659.0,27211.0,27690.0
강남구 - 총가구_가구,Statistics,212128.0,210728.0,206323.0,209768.0,212582.0,214939.0,216165.0,222421.0
강동구 - 총가구_가구,Statistics,162679.0,163351.0,161943.0,165671.0,179794.0,188073.0,190304.0,192312.0
강릉시 - 총가구_가구,Statistics,89302.0,90627.0,91378.0,93078.0,99109.0,100340.0,98998.0,100581.0
강북구 - 총가구_가구,Statistics,127371.0,129204.0,129610.0,130161.0,131884.0,132458.0,133870.0,134438.0
강서구 - 총가구_가구,Statistics,225672.0,234926.0,238901.0,243220.0,247202.0,253018.0,257613.0,258700.0
강원특별자치도 - 총가구_가구,Statistics,621943.0,627054.0,634847.0,641021.0,668479.0,682635.0,693576.0,708894.0
강진군 - 총가구_가구,Statistics,15217.0,15252.0,15155.0,15059.0,15398.0,15518.0,15510.0,15579.0
강화군 - 총가구_가구,Statistics,25775.0,26402.0,27045.0,27377.0,28145.0,28927.0,29604.0,29761.0
거제시 - 총가구_가구,Statistics,98388.0,97910.0,96027.0,96257.0,98586.0,99555.0,98991.0,101264.0
거창군 - 총가구_가구,Statistics,25143.0,25299.0,25616.0,25684.0,26054.0,26702.0,26919.0,27348.0
경기도 - 총가구_가구,Statistics,4647205.0,4773632.0,4934208.0,5097857.0,5294836.0,5492783.0,5617507.0,5722843.0
경산시 - 총가구_가구,Statistics,109077.0,111750.0,112730.0,116892.0,120756.0,127288.0,129652.0,133955.0
경상남도 - 총가구_가구,Statistics,1299027.0,1318106.0,1331278.0,1347182.0,1376240.0,1405646.0,1420266.0,1436738.0
경상북도 - 총가구_가구,Statistics,1093211.0,1105213.0,1113008.0,1123145.0,1152097.0,1178040.0,1189287.0,1192294.0
경주시 - 총가구_가구,Statistics,109282.0,110811.0,112245.0,113433.0,116452.0,119140.0,119353.0,120672.0
계룡시 - 총가구_가구,Statistics,14130.0,14959.0,14971.0,15110.0,15207.0,15945.0,16872.0,18436.0
계양구 - 총가구_가구,Statistics,117247.0,117201.0,115300.0,114163.0,114972.0,118264.0,119291.0,118325.0
고령군 - 총가구_가구,Statistics,13892.0,13933.0,13918.0,13873.0,13917.0,13983.0,14094.0,14289.0
고성군 - 총가구_가구,Statistics,13104.0,12352.0,12188.0,11292.0,12096.0,12385.0,12757.0,13384.0
고양시 - 총가구_가구,Statistics,363388.0,370113.0,375860.0,390836.0,404705.0,417004.0,425383.0,433277.0
고창군 - 총가구_가구,Statistics,23832.0,23960.0,23985.0,23874.0,23845.0,23997.0,24247.0,24411.0
고흥군 - 총가구_가구,Statistics,29505.0,29252.0,29327.0,29298.0,29852.0,30062.0,30489.0,30520.0
곡성군 - 총가구_가구,Statistics,12840.0,12964.0,12672.0,12779.0,12833.0,12941.0,13052.0,13185.0
