item,category,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 주택,Statistics,23823.0,24390.0,25083.0,25995.0,26538.0,26761.0,27601.0,29008.0
강남구 - 주택,Statistics,176135.0,173282.0,171431.0,170444.0,173745.0,175536.0,178493.0,184608.0
강동구 - 주택,Statistics,116063.0,120940.0,122718.0,123014.0,137876.0,146249.0,148323.0,151178.0
강릉시 - 주택,Statistics,77779.0,79769.0,81928.0,85780.0,87579.0,89259.0,89894.0,91183.0
강북구 - 주택,Statistics,93623.0,94526.0,95097.0,97070.0,97452.0,97840.0,99477.0,100418.0
강서구 - 주택,Statistics,184422.0,188176.0,190525.0,193551.0,195383.0,199556.0,201611.0,203887.0
강원특별자치도 - 주택,Statistics,575967.0,586383.0,603644.0,627376.0,644023.0,654719.0,665631.0,674829.0
강진군 - 주택,Statistics,16467.0,16509.0,16627.0,16843.0,17241.0,17267.0,17417.0,17392.0
강화군 - 주택,Statistics,26660.0,27350.0,27991.0,28714.0,29323.0,30214.0,30652.0,31136.0
거제시 - 주택,Statistics,88240.0,92670.0,97425.0,98994.0,99797.0,100541.0,99916.0,99839.0
거창군 - 주택,Statistics,26248.0,26498.0,27188.0,26961.0,27014.0,27149.0,27272.0,27536.0
경기도 - 주택,Statistics,3814834.0,3949829.0,4169100.0,4354776.0,4495115.0,4608126.0,4725372.0,4859873.0
경산시 - 주택,Statistics,86957.0,90340.0,92790.0,94957.0,96711.0,100790.0,102223.0,104832.0
경상남도 - 주택,Statistics,1151057.0,1193912.0,1226708.0,1266739.0,1296944.0,1306263.0,1311971.0,1321044.0
경상북도 - 주택,Statistics,1009941.0,1038274.0,1060505.0,1081216.0,1094306.0,1103666.0,1108186.0,1106957.0
경주시 - 주택,Statistics,97285.0,100224.0,106584.0,109332.0,109481.0,110340.0,110705.0,112162.0
계룡시 - 주택,Statistics,16517.0,16277.0,16174.0,16225.0,17152.0,17156.0,18660.0,20206.0
계양구 - 주택,Statistics,108431.0,108663.0,107446.0,106268.0,107004.0,110467.0,110061.0,110729.0
고령군 - 주택,Statistics,13736.0,13833.0,13739.0,13709.0,13785.0,13825.0,13859.0,13931.0
고성군 - 주택,Statistics,11334.0,11545.0,11653.0,11559.0,11910.0,13129.0,13164.0,13189.0
고양시 - 주택,Statistics,299167.0,305178.0,314605.0,327782.0,334425.0,339468.0,347754.0,352201.0
고창군 - 주택,Statistics,24268.0,24649.0,24875.0,25219.0,25269.0,25261.0,25472.0,25738.0
고흥군 - 주택,Statistics,33213.0,33151.0,33618.0,33687.0,34150.0,34227.0,34814.0,34812.0
곡성군 - 주택,Statistics,13196.0,13271.0,13361.0,13484.0,13488.0,13545.0,13591.0,13630.0
공주시 - 주택,Statistics,41322.0,42343.0,43883.0,45271.0,45266.0,45172.0,46008.0,46548.0
과천시 - 주택,Statistics,15661.0,12114.0,12772.0,13008.0,14819.0,18426.0,22455.0,24038.0
관악구 - 주택,Statistics,123911.0,124170.0,125148.0,126526.0,127568.0,127783.0,129778.0,130244.0
광명시 - 주택,Statistics,103508.0,103564.0,104641.0,103740.0,103493.0,97560.0,98203.0,99923.0
광산구 - 주택,Statistics,134996.0,138251.0,140371.0,143848.0,148489.0,149319.0,151271.0,152165.0
광양시 - 주택,Statistics,59402.0,59981.0,60122.0,60427.0,60548.0,64442.0,66448.0,69835.0
광주광역시 - 주택,Statistics,494547.0,505471.0,514767.0,526161.0,538275.0,542703.0,555185.0,560550.0
