item,category,2020,2021,2022,2023,2024,2025
강원특별자치도 - 대형소매점 경상금액,Statistics,93815.0,86804.0,104404.0,99843.0,88291.0,101072.0
경기도 - 대형소매점 경상금액,Statistics,1479522.0,1441680.0,1727606.0,1691485.0,1668143.0,1887969.0
경상남도 - 대형소매점 경상금액,Statistics,241818.0,212868.0,245854.0,293118.0,254971.0,299228.0
경상북도 - 대형소매점 경상금액,Statistics,132828.0,113996.0,137984.0,144850.0,114858.0,137921.0
광주광역시 - 대형소매점 경상금액,Statistics,152935.0,140005.0,158814.0,170991.0,155310.0,171341.0
대구광역시 - 대형소매점 경상금액,Statistics,360931.0,346509.0,409801.0,405011.0,382304.0,442431.0
대전광역시 - 대형소매점 경상금액,Statistics,195872.0,179621.0,257482.0,262659.0,241785.0,274126.0
부산광역시 - 대형소매점 경상금액,Statistics,504010.0,479486.0,574752.0,580919.0,571884.0,632217.0
서울특별시 - 대형소매점 경상금액,Statistics,1728347.0,1636924.0,2068500.0,1952008.0,2125578.0,2343572.0
세종특별자치시 - 대형소매점 경상금액,Statistics,37212.0,43236.0,52661.0,49908.0,48466.0,61838.0
울산광역시 - 대형소매점 경상금액,Statistics,149503.0,136747.0,150475.0,146556.0,143309.0,164971.0
인천광역시 - 대형소매점 경상금액,Statistics,226655.0,215749.0,236871.0,238647.0,251465.0,312346.0
전라남도 - 대형소매점 경상금액,Statistics,74046.0,68241.0,74314.0,73664.0,69251.0,79953.0
전북특별자치도 - 대형소매점 경상금액,Statistics,100668.0,90616.0,97705.0,107324.0,100035.0,112312.0
제주도 - 대형소매점 경상금액,Statistics,47496.0,46022.0,51793.0,51705.0,48180.0,54466.0
충청남도 - 대형소매점 경상금액,Statistics,153993.0,144576.0,164700.0,173489.0,149047.0,177409.0
충청북도 - 대형소매점 경상금액,Statistics,104740.0,92223.0,101198.0,105873.0,94518.0,107422.0
