item,category,2016,2017,2018,2019,2020,2021,2022,2023
가평군 - 신혼부부수,Statistics,1329.0,1325.0,1286.0,1260.0,1094.0,1001.0,973.0,986.0
강남구 - 신혼부부수,Statistics,13493.0,12086.0,10857.0,10190.0,9267.0,8360.0,7860.0,8523.0
강동구 - 신혼부부수,Statistics,11738.0,11441.0,10675.0,10428.0,11801.0,11920.0,10502.0,9688.0
강릉시 - 신혼부부수,Statistics,4707.0,4610.0,4459.0,4476.0,4342.0,4187.0,3914.0,3673.0
강북구 - 신혼부부수,Statistics,7571.0,7070.0,6432.0,5945.0,5442.0,4858.0,4261.0,3843.0
강서구 - 신혼부부수,Statistics,20638.0,20089.0,18709.0,17241.0,15457.0,13974.0,12737.0,11527.0
강원특별자치도 - 신혼부부수,Statistics,37445.0,36456.0,35685.0,34928.0,33486.0,31767.0,30353.0,28745.0
강진군 - 신혼부부수,Statistics,678.0,632.0,602.0,562.0,515.0,459.0,419.0,433.0
강화군 - 신혼부부수,Statistics,991.0,955.0,952.0,976.0,955.0,928.0,906.0,871.0
거제시 - 신혼부부수,Statistics,11207.0,10141.0,8932.0,7637.0,6281.0,5115.0,4346.0,3773.0
거창군 - 신혼부부수,Statistics,1147.0,1082.0,1007.0,960.0,911.0,856.0,808.0,811.0
경기도 - 신혼부부수,Statistics,383763.0,372622.0,366403.0,356169.0,341434.0,325067.0,308634.0,293074.0
경산시 - 신혼부부수,Statistics,7767.0,7366.0,6949.0,6619.0,6062.0,5780.0,5256.0,4799.0
경상남도 - 신혼부부수,Statistics,93833.0,90261.0,85031.0,79222.0,72264.0,65409.0,59601.0,55201.0
경상북도 - 신혼부부수,Statistics,68288.0,65118.0,61237.0,57670.0,53145.0,48707.0,45032.0,41542.0
경주시 - 신혼부부수,Statistics,5845.0,5529.0,5358.0,5117.0,4790.0,4550.0,4267.0,3994.0
계룡시 - 신혼부부수,Statistics,966.0,977.0,866.0,764.0,699.0,696.0,759.0,907.0
계양구 - 신혼부부수,Statistics,9142.0,8397.0,7442.0,6535.0,5754.0,5543.0,5143.0,4482.0
고령군 - 신혼부부수,Statistics,593.0,548.0,492.0,434.0,366.0,322.0,284.0,276.0
고성군 - 신혼부부수,Statistics,557.0,525.0,519.0,490.0,432.0,441.0,453.0,488.0
고양시 - 신혼부부수,Statistics,28460.0,27102.0,25378.0,25497.0,24678.0,23604.0,22401.0,21457.0
고창군 - 신혼부부수,Statistics,961.0,918.0,851.0,853.0,769.0,703.0,654.0,593.0
고흥군 - 신혼부부수,Statistics,925.0,897.0,880.0,884.0,869.0,788.0,753.0,729.0
곡성군 - 신혼부부수,Statistics,437.0,417.0,368.0,348.0,304.0,265.0,252.0,248.0
공주시 - 신혼부부수,Statistics,2041.0,1920.0,1831.0,1750.0,1635.0,1483.0,1398.0,1286.0
과천시 - 신혼부부수,Statistics,1391.0,1088.0,1110.0,1194.0,1406.0,1646.0,2041.0,2071.0
관악구 - 신혼부부수,Statistics,14097.0,13155.0,12277.0,11074.0,9955.0,8699.0,7933.0,7271.0
광명시 - 신혼부부수,Statistics,10160.0,9229.0,8745.0,7853.0,6920.0,6296.0,5828.0,5196.0
광산구 - 신혼부부수,Statistics,12621.0,11956.0,11175.0,10750.0,10087.0,9393.0,8788.0,8210.0
광양시 - 신혼부부수,Statistics,4625.0,4451.0,4161.0,3906.0,3626.0,3372.0,3310.0,3290.0
광주광역시 - 신혼부부수,Statistics,39309.0,37534.0,35659.0,33878.0,31648.0,29596.0,27708.0,25954.0
광주시 - 신혼부부수,Statistics,12245.0,12581.0,12957.0,12514.0,11602.0,10509.0,9941.0,8916.0
