item,category,2011,2013,2015,2017,2019,2021,2023
강원특별자치도 - 계 - - 기타,Statistics,,,,0.2,,0.398,0.596
강원특별자치도 - 계 - - 무용,Statistics,2.3,2.2,1.2,1.4,2.1,1.963,1.87
강원특별자치도 - 계 - - 문학행사,Statistics,,,,,,,9.767
강원특별자치도 - 계 - - 미술관,Statistics,16.4,18.0,13.9,18.7,16.7,19.051,20.183
강원특별자치도 - 계 - - 박물관,Statistics,26.1,27.8,28.5,25.4,23.1,20.265,23.551
강원특별자치도 - 계 - - 스포츠 경기,Statistics,24.7,22.7,21.0,23.7,18.8,21.218,25.492
강원특별자치도 - 계 - - 연극·마당극·뮤지컬,Statistics,24.1,21.7,20.5,22.8,18.0,10.353,16.583
강원특별자치도 - 계 - - 영화,Statistics,72.9,83.5,83.2,85.7,87.8,69.048,75.344
강원특별자치도 - 계 - - 음악·연주회·콘서트,Statistics,29.2,29.0,28.3,24.0,26.8,14.919,27.498
강원특별자치도 - 계 - · 관람 횟수(평균),Statistics,2.2,2.6,2.4,2.7,2.3,2.435,2.411
강원특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 계 - 관람함,Statistics,46.2,52.5,58.5,60.1,57.9,18.175,47.28
강원특별자치도 - 계 - 관람횟수(평균),Statistics,7.2,8.7,8.1,9.0,8.4,4.239,6.577
강원특별자치도 - 남자 - - 기타,Statistics,,,,,,,0.852
강원특별자치도 - 남자 - - 무용,Statistics,1.4,2.3,0.8,0.7,1.2,1.112,1.65
강원특별자치도 - 남자 - - 문학행사,Statistics,,,,,,,7.459
강원특별자치도 - 남자 - - 미술관,Statistics,15.3,16.6,10.1,15.3,13.0,18.535,14.991
강원특별자치도 - 남자 - - 박물관,Statistics,25.9,27.3,27.8,25.4,20.4,22.145,20.77
강원특별자치도 - 남자 - - 스포츠 경기,Statistics,35.6,33.1,29.6,33.2,25.7,33.123,34.463
강원특별자치도 - 남자 - - 연극·마당극·뮤지컬,Statistics,21.9,17.8,17.9,17.9,12.4,5.127,13.494
강원특별자치도 - 남자 - - 영화,Statistics,68.8,82.1,81.0,82.7,87.4,65.441,74.75
강원특별자치도 - 남자 - - 음악·연주회·콘서트,Statistics,25.6,25.2,24.4,21.6,22.5,13.933,23.3
강원특별자치도 - 남자 - · 관람 횟수(평균),Statistics,2.1,2.9,2.1,2.7,2.3,2.597,2.31
강원특별자치도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 남자 - 관람함,Statistics,45.9,53.1,58.6,62.0,59.8,18.274,46.02
강원특별자치도 - 남자 - 관람횟수(평균),Statistics,7.3,9.3,8.3,8.6,8.1,4.699,6.755
강원특별자치도 - 여자 - - 기타,Statistics,,,,0.3,,0.795,0.36
강원특별자치도 - 여자 - - 무용,Statistics,3.2,2.2,1.5,2.1,3.1,2.814,2.074
강원특별자치도 - 여자 - - 문학행사,Statistics,,,,,,,11.905
강원특별자치도 - 여자 - - 미술관,Statistics,17.4,19.5,17.5,22.2,20.6,19.566,24.995
강원특별자치도 - 여자 - - 박물관,Statistics,26.2,28.3,29.3,25.4,25.9,18.385,26.129
강원특별자치도 - 여자 - - 스포츠 경기,Statistics,14.2,12.3,12.4,13.8,11.7,9.317,17.179
강원특별자치도 - 여자 - - 연극·마당극·뮤지컬,Statistics,26.2,25.6,23.2,27.9,23.9,15.577,19.445
강원특별자치도 - 여자 - - 영화,Statistics,76.7,84.8,85.2,88.9,88.3,72.654,75.894
강원특별자치도 - 여자 - - 음악·연주회·콘서트,Statistics,32.6,32.8,32.1,26.6,31.3,15.905,31.389
강원특별자치도 - 여자 - · 관람 횟수(평균),Statistics,2.3,2.5,2.6,2.7,2.4,2.292,2.47
강원특별자치도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 여자 - 관람함,Statistics,46.6,52.0,58.5,58.3,56.0,18.077,48.51
강원특별자치도 - 여자 - 관람횟수(평균),Statistics,7.0,8.0,7.9,9.4,8.7,3.78,6.411
경기도 - 계 - - 기타,Statistics,,,,0.2,0.0,0.04,0.766
