item,category,2009,2011,2013,2015,2017,2019,2021,2023
강원특별자치도 - 계 - - 당일여행,Statistics,41.5,36.6,38.9,33.6,41.7,39.1,14.119,32.288
강원특별자치도 - 계 - - 숙박여행,Statistics,37.8,32.2,41.5,44.9,48.8,46.0,17.749,43.572
강원특별자치도 - 계 - · 관광자 1인당 여행횟수,Statistics,2.6,2.2,2.3,2.7,2.9,2.9,2.734,2.95
강원특별자치도 - 계 - · 인구 1인당 여행횟수,Statistics,1.0,0.7,1.0,1.2,1.4,1.3,0.485,1.285
강원특별자치도 - 계 - · 회당 평균 숙박일수,Statistics,2.3,2.5,2.5,2.5,2.5,2.5,2.51,2.607
강원특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 계 - 관광자 1인당 여행횟수,Statistics,4.5,4.2,4.3,4.5,5.6,5.1,4.265,4.753
강원특별자치도 - 계 - 국내관광여행 경험없음,Statistics,41.5,47.9,39.8,39.7,36.1,38.4,75.617,
강원특별자치도 - 계 - 국내관광여행 경험있음,Statistics,58.5,52.1,60.2,60.3,63.9,61.6,24.383,57.441
강원특별자치도 - 계 - 인구 1인당 여행횟수,Statistics,2.7,2.2,2.6,2.7,3.6,3.2,1.04,2.73
강원특별자치도 - 남자 - - 당일여행,Statistics,40.9,36.1,38.5,30.4,43.1,38.6,13.996,31.262
강원특별자치도 - 남자 - - 숙박여행,Statistics,40.0,31.8,41.9,45.6,49.2,46.6,16.136,42.813
강원특별자치도 - 남자 - · 관광자 1인당 여행횟수,Statistics,2.7,2.4,2.4,2.7,3.0,2.9,2.727,2.951
강원특별자치도 - 남자 - · 인구 1인당 여행횟수,Statistics,1.1,0.8,1.0,1.2,1.5,1.4,0.44,1.264
강원특별자치도 - 남자 - · 회당 평균 숙박일수,Statistics,2.4,2.5,2.5,2.5,2.5,2.5,2.335,2.672
강원특별자치도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 남자 - 관광자 1인당 여행횟수,Statistics,4.7,4.6,4.6,4.4,5.9,5.3,4.255,4.852
강원특별자치도 - 남자 - 국내관광여행 경험없음,Statistics,40.7,48.8,40.6,40.6,35.6,37.8,76.466,
강원특별자치도 - 남자 - 국내관광여행 경험있음,Statistics,59.3,51.2,59.4,59.4,64.4,62.2,23.534,55.508
강원특별자치도 - 남자 - 인구 1인당 여행횟수,Statistics,2.8,2.3,2.8,2.6,3.8,3.3,1.001,2.693
강원특별자치도 - 여자 - - 당일여행,Statistics,42.0,37.0,39.3,36.7,40.3,39.6,14.24,33.291
강원특별자치도 - 여자 - - 숙박여행,Statistics,35.7,32.5,41.2,44.3,48.4,45.4,19.344,44.314
강원특별자치도 - 여자 - · 관광자 1인당 여행횟수,Statistics,2.4,2.1,2.3,2.6,2.8,2.8,2.74,2.948
강원특별자치도 - 여자 - · 인구 1인당 여행횟수,Statistics,0.9,0.7,1.0,1.2,1.4,1.3,0.53,1.306
강원특별자치도 - 여자 - · 회당 평균 숙박일수,Statistics,2.3,2.5,2.5,2.5,2.4,2.6,2.654,2.546
