item,category,2009,2011,2013,2015,2017,2019,2021,2023
강원특별자치도 - 계 - - 가족 및 친지 방문,Statistics,9.1,12.7,12.5,8.5,5.6,4.8,20.123,13.403
강원특별자치도 - 계 - - 관광,Statistics,81.2,76.0,82.5,85.9,89.8,92.2,50.117,85.29
강원특별자치도 - 계 - - 교육,Statistics,2.9,6.9,5.5,4.0,4.5,2.5,30.915,3.359
강원특별자치도 - 계 - - 업무,Statistics,15.6,13.6,10.4,7.9,6.0,7.5,12.796,8.703
강원특별자치도 - 계 - · 가족 및 친지방문 여행자 1인당 여행횟수(평균),Statistics,2.9,1.5,2.5,1.5,1.4,1.5,1.0,1.609
강원특별자치도 - 계 - · 관광여행자 1인당 여행횟수(평균),Statistics,1.3,1.3,1.4,1.4,1.4,1.5,1.967,1.431
강원특별자치도 - 계 - · 교육여행자 1인당 여행횟수(평균),Statistics,1.7,1.4,1.3,1.0,1.2,1.6,1.0,1.0
강원특별자치도 - 계 - · 업무여행자 1인당 여행횟수(평균),Statistics,2.1,2.3,1.5,2.0,1.7,2.1,1.0,1.745
강원특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 계 - 해외여행 한 적 없음,Statistics,89.9,90.1,85.1,82.4,78.0,74.9,99.614,
강원특별자치도 - 계 - 해외여행 한 적 있음,Statistics,10.1,9.9,14.9,17.6,22.0,25.1,0.386,12.795
경기도 - 계 - - 가족 및 친지 방문,Statistics,10.7,14.3,12.2,9.8,8.1,8.4,28.385,13.91
경기도 - 계 - - 관광,Statistics,66.9,66.3,75.7,77.7,86.2,89.1,37.273,79.605
경기도 - 계 - - 교육,Statistics,5.3,7.3,4.5,2.8,2.9,2.1,6.385,2.605
경기도 - 계 - - 업무,Statistics,28.4,22.7,20.6,20.7,12.9,9.9,35.685,13.924
경기도 - 계 - · 가족 및 친지방문 여행자 1인당 여행횟수(평균),Statistics,1.5,2.0,2.4,1.9,1.5,1.8,2.037,1.869
경기도 - 계 - · 관광여행자 1인당 여행횟수(평균),Statistics,1.4,1.4,1.5,1.4,1.5,1.5,1.929,1.642
경기도 - 계 - · 교육여행자 1인당 여행횟수(평균),Statistics,1.0,1.4,1.2,1.5,1.6,1.7,1.264,1.352
경기도 - 계 - · 업무여행자 1인당 여행횟수(평균),Statistics,2.7,2.6,2.5,2.6,2.6,2.7,1.594,2.186
경기도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 계 - 해외여행 한 적 없음,Statistics,84.8,81.9,81.1,77.3,71.0,66.1,98.79,
경기도 - 계 - 해외여행 한 적 있음,Statistics,15.2,18.1,18.9,22.7,29.0,33.9,1.21,17.73
경상남도 - 계 - - 가족 및 친지 방문,Statistics,12.4,14.4,8.6,9.0,6.5,6.0,23.975,12.62
경상남도 - 계 - - 관광,Statistics,73.5,69.2,76.0,81.4,89.7,90.5,59.514,81.425
경상남도 - 계 - - 교육,Statistics,4.7,7.7,6.2,5.4,2.4,2.8,16.512,2.662
경상남도 - 계 - - 업무,Statistics,17.3,13.0,17.3,14.7,7.8,7.8,6.814,9.856
경상남도 - 계 - · 가족 및 친지방문 여행자 1인당 여행횟수(평균),Statistics,1.9,1.7,2.6,1.5,1.7,1.9,2.03,1.551
경상남도 - 계 - · 관광여행자 1인당 여행횟수(평균),Statistics,1.3,1.4,1.3,1.4,1.6,1.6,1.878,1.587
경상남도 - 계 - · 교육여행자 1인당 여행횟수(평균),Statistics,1.1,1.2,1.1,1.2,1.1,1.6,1.0,1.168
