item,category,2009,2011,2013,2015,2017,2019,2021,2023
강원특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 계 - 매우 만족,Statistics,4.5,3.8,7.7,7.0,7.1,8.4,8.003,11.041
강원특별자치도 - 계 - 매우 불만족,Statistics,6.7,7.5,5.4,5.7,4.7,5.1,4.55,3.399
강원특별자치도 - 계 - 보통,Statistics,50.1,52.5,47.2,49.5,50.0,46.8,51.438,50.403
강원특별자치도 - 계 - 약간 만족,Statistics,16.4,12.8,21.4,19.6,21.8,22.1,19.851,22.414
강원특별자치도 - 계 - 약간 불만족,Statistics,22.3,23.4,18.3,18.3,16.4,17.5,16.158,12.743
강원특별자치도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 남자 - 매우 만족,Statistics,5.0,4.5,8.7,8.1,7.9,9.1,8.945,11.419
강원특별자치도 - 남자 - 매우 불만족,Statistics,6.9,7.5,5.1,4.9,3.8,4.8,3.567,3.262
강원특별자치도 - 남자 - 보통,Statistics,47.9,52.7,45.6,49.5,50.6,46.8,52.488,50.09
강원특별자치도 - 남자 - 약간 만족,Statistics,18.0,15.1,24.3,20.6,23.3,24.1,19.903,24.852
강원특별자치도 - 남자 - 약간 불만족,Statistics,22.2,20.2,16.4,16.8,14.3,15.3,15.097,10.377
강원특별자치도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 여자 - 매우 만족,Statistics,4.1,3.0,6.7,5.8,6.3,7.8,7.07,10.672
강원특별자치도 - 여자 - 매우 불만족,Statistics,6.5,7.5,5.8,6.4,5.5,5.5,5.522,3.533
강원특별자치도 - 여자 - 보통,Statistics,52.2,52.4,48.7,49.5,49.4,46.8,50.399,50.709
강원특별자치도 - 여자 - 약간 만족,Statistics,14.9,10.5,18.5,18.6,20.4,20.2,19.8,20.032
강원특별자치도 - 여자 - 약간 불만족,Statistics,22.3,26.5,20.2,19.7,18.4,19.7,17.208,15.055
경기도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 계 - 매우 만족,Statistics,5.6,3.6,7.8,6.9,5.9,7.7,6.956,9.83
경기도 - 계 - 매우 불만족,Statistics,8.2,8.6,6.4,6.1,6.3,5.3,6.606,5.03
경기도 - 계 - 보통,Statistics,43.5,47.3,47.6,48.5,44.7,46.0,46.025,46.44
경기도 - 계 - 약간 만족,Statistics,17.5,16.1,20.6,20.4,21.8,22.0,20.805,25.031
경기도 - 계 - 약간 불만족,Statistics,25.2,24.4,17.6,18.1,21.4,18.9,19.608,13.669
경기도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 남자 - 매우 만족,Statistics,6.2,4.0,8.8,6.9,6.8,7.6,7.163,9.883
경기도 - 남자 - 매우 불만족,Statistics,7.8,7.6,5.6,5.7,5.9,5.3,5.605,4.791
경기도 - 남자 - 보통,Statistics,44.1,48.6,47.5,48.3,46.3,45.8,46.923,46.259
경기도 - 남자 - 약간 만족,Statistics,17.9,17.0,21.0,21.1,20.4,22.3,21.073,25.497
경기도 - 남자 - 약간 불만족,Statistics,24.0,22.8,17.0,18.0,20.6,19.0,19.236,13.569
경기도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 여자 - 매우 만족,Statistics,4.9,3.2,6.9,6.9,5.0,7.8,6.748,9.776
경기도 - 여자 - 매우 불만족,Statistics,8.5,9.6,7.1,6.6,6.7,5.4,7.614,5.269
경기도 - 여자 - 보통,Statistics,42.9,45.9,47.6,48.6,43.1,46.2,45.12,46.622
경기도 - 여자 - 약간 만족,Statistics,17.2,15.2,20.3,19.7,23.2,21.7,20.536,24.563
경기도 - 여자 - 약간 불만족,Statistics,26.4,26.1,18.1,18.2,22.1,18.9,19.981,13.769
경상남도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 계 - 매우 만족,Statistics,3.7,2.4,7.1,6.0,7.0,6.2,6.324,9.711
