item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
강원 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 계 - 매우 만족,Statistics,13.9,8.1,12.7,13.6,9.8,12.9,24.509,31.848,22.529
강원 - 계 - 매우 불만족,Statistics,,0.5,1.5,3.0,2.3,,,,
강원 - 계 - 보통,Statistics,44.9,43.8,43.4,45.8,36.8,42.3,33.716,39.894,37.169
강원 - 계 - 약간 만족,Statistics,37.8,39.6,33.5,33.1,44.7,39.8,36.574,20.837,31.296
강원 - 계 - 약간 불만족,Statistics,3.4,8.1,8.9,4.5,6.4,5.0,5.201,7.422,9.006
경기 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기 - 계 - 매우 만족,Statistics,12.0,7.6,11.0,14.5,13.9,18.0,25.247,23.106,23.848
경기 - 계 - 매우 불만족,Statistics,1.3,0.6,0.5,0.9,1.2,0.3,1.626,1.145,0.716
경기 - 계 - 보통,Statistics,39.4,46.7,46.5,40.5,39.6,37.9,38.945,46.414,35.125
경기 - 계 - 약간 만족,Statistics,41.5,38.7,36.0,35.9,38.9,36.7,30.772,26.43,32.433
경기 - 계 - 약간 불만족,Statistics,5.8,6.4,6.0,8.3,6.3,7.2,3.411,2.905,7.88
경남 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경남 - 계 - 매우 만족,Statistics,15.4,8.5,11.6,17.7,13.9,14.5,27.091,24.216,27.707
경남 - 계 - 매우 불만족,Statistics,0.8,,1.4,0.5,,0.8,0.612,1.36,0.818
경남 - 계 - 보통,Statistics,49.3,47.8,37.5,43.0,42.3,38.0,33.955,38.906,39.957
경남 - 계 - 약간 만족,Statistics,29.9,36.0,43.1,35.6,40.8,42.1,36.695,30.116,29.554
경남 - 계 - 약간 불만족,Statistics,4.6,7.8,6.3,3.2,3.0,4.7,1.647,5.402,1.964
경북 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경북 - 계 - 매우 만족,Statistics,10.6,9.5,12.1,11.7,16.1,16.4,16.052,19.478,18.192
경북 - 계 - 매우 불만족,Statistics,,1.7,0.5,0.4,,0.4,,,
경북 - 계 - 보통,Statistics,49.6,49.0,50.2,47.7,49.5,38.9,51.785,50.955,36.863
경북 - 계 - 약간 만족,Statistics,36.5,31.0,35.3,37.1,30.0,43.0,29.16,28.608,36.648
경북 - 계 - 약간 불만족,Statistics,3.2,8.9,1.9,3.0,4.4,1.3,3.003,0.959,8.297
광주 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주 - 계 - 매우 만족,Statistics,15.5,7.5,12.0,6.2,9.8,16.5,25.907,25.923,15.581
광주 - 계 - 매우 불만족,Statistics,,1.1,1.1,1.1,1.0,2.3,,1.179,
광주 - 계 - 보통,Statistics,38.6,47.2,48.7,53.3,51.0,35.1,24.266,35.761,41.149
광주 - 계 - 약간 만족,Statistics,40.6,37.9,35.9,34.4,33.3,44.5,44.741,37.136,43.271
광주 - 계 - 약간 불만족,Statistics,5.2,6.2,2.3,5.0,4.9,1.6,5.086,,
대구 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 계 - 매우 만족,Statistics,8.8,7.0,7.1,9.7,9.9,17.5,12.022,24.569,13.396
대구 - 계 - 매우 불만족,Statistics,1.1,0.4,0.2,1.2,1.0,,,1.162,1.041
대구 - 계 - 보통,Statistics,45.6,51.4,47.3,48.4,44.0,46.8,47.817,36.766,27.753
대구 - 계 - 약간 만족,Statistics,41.2,38.6,37.3,35.5,42.4,34.8,36.814,30.961,53.846
대구 - 계 - 약간 불만족,Statistics,3.3,2.7,8.0,5.3,2.7,0.9,3.347,6.542,3.964
대전 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 계 - 매우 만족,Statistics,12.1,8.9,10.8,16.2,12.4,16.4,26.416,14.751,18.731
대전 - 계 - 매우 불만족,Statistics,1.2,1.7,0.8,0.6,3.1,,,,1.36
대전 - 계 - 보통,Statistics,53.6,48.8,44.4,39.1,47.3,40.7,33.239,41.849,43.401
대전 - 계 - 약간 만족,Statistics,29.7,36.2,35.6,37.6,32.6,40.0,35.48,42.193,33.554
대전 - 계 - 약간 불만족,Statistics,3.4,4.5,8.4,6.5,4.6,2.9,4.865,1.207,2.955
부산 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 계 - 매우 만족,Statistics,11.7,5.2,7.6,12.0,13.5,20.4,28.115,23.865,21.401
부산 - 계 - 매우 불만족,Statistics,0.9,1.9,2.4,0.3,0.3,0.9,,1.124,
부산 - 계 - 보통,Statistics,41.3,50.1,45.1,39.3,39.1,34.4,35.906,47.907,35.879
부산 - 계 - 약간 만족,Statistics,41.7,33.6,40.8,41.8,41.2,40.8,33.894,23.996,41.045
부산 - 계 - 약간 불만족,Statistics,4.5,9.3,4.2,6.6,5.9,3.5,2.085,3.109,1.675
서울 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
