item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
강원 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 계 - 매우효과있음,Statistics,6.2,7.8,8.2,7.2,9.6,9.2,14.296,12.129,12.139
강원 - 계 - 모르겠음,Statistics,8.1,9.4,7.5,5.5,6.7,6.2,5.255,4.32,5.616
강원 - 계 - 별로효과없음,Statistics,18.3,18.5,15.4,17.1,16.9,14.8,11.629,11.149,14.276
강원 - 계 - 보통,Statistics,37.5,34.0,37.0,36.6,34.9,35.6,35.565,34.488,34.819
강원 - 계 - 약간효과있음,Statistics,26.1,27.4,27.5,29.4,27.1,30.6,30.389,35.789,30.816
강원 - 계 - 전혀효과없음,Statistics,3.7,2.9,4.4,4.2,4.8,3.6,2.866,2.126,2.334
강원 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 남자 - 매우효과있음,Statistics,5.9,7.4,8.4,7.1,9.2,9.4,13.28,11.989,10.985
강원 - 남자 - 모르겠음,Statistics,7.2,7.0,6.0,3.2,4.9,5.0,2.546,3.009,5.318
강원 - 남자 - 별로효과없음,Statistics,20.2,18.5,16.5,17.9,18.1,14.8,12.811,11.698,14.2
강원 - 남자 - 보통,Statistics,37.4,35.0,37.9,36.5,33.8,37.3,37.758,36.581,36.325
강원 - 남자 - 약간효과있음,Statistics,25.2,29.0,26.9,29.9,29.8,29.4,30.484,33.578,30.569
강원 - 남자 - 전혀효과없음,Statistics,4.1,3.2,4.4,5.4,4.2,4.2,3.122,3.145,2.602
강원 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 여자 - 매우효과있음,Statistics,6.5,8.1,8.1,7.3,10.0,8.9,15.293,12.268,13.288
강원 - 여자 - 모르겠음,Statistics,9.0,11.8,8.9,7.6,8.5,7.4,7.914,5.627,5.912
강원 - 여자 - 별로효과없음,Statistics,16.6,18.5,14.3,16.3,15.8,14.9,10.469,10.601,14.353
강원 - 여자 - 보통,Statistics,37.7,33.0,36.2,36.8,35.9,33.9,33.413,32.401,33.319
강원 - 여자 - 약간효과있음,Statistics,26.9,25.9,28.1,28.9,24.5,31.7,30.296,37.994,31.061
강원 - 여자 - 전혀효과없음,Statistics,3.4,2.6,4.4,3.1,5.3,3.1,2.615,1.109,2.067
경기 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기 - 계 - 매우효과있음,Statistics,5.0,5.0,5.6,6.2,5.6,5.7,9.718,10.059,9.197
경기 - 계 - 모르겠음,Statistics,4.3,4.5,4.2,4.0,4.2,2.7,3.866,4.613,3.986
경기 - 계 - 별로효과없음,Statistics,22.4,20.3,19.5,17.6,19.5,19.0,16.983,13.462,14.491
경기 - 계 - 보통,Statistics,39.3,40.3,38.0,38.7,39.6,40.4,38.736,38.511,39.371
경기 - 계 - 약간효과있음,Statistics,23.4,23.5,26.7,28.3,26.3,27.2,26.378,28.776,28.159
경기 - 계 - 전혀효과없음,Statistics,5.7,6.3,6.0,5.2,4.8,5.0,4.318,4.58,4.797
경기 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기 - 남자 - 매우효과있음,Statistics,4.5,4.7,5.3,6.2,5.4,5.9,10.264,8.936,8.379
경기 - 남자 - 모르겠음,Statistics,3.4,3.4,3.2,3.0,3.2,1.9,3.134,4.035,3.326
