item,category,2010,2012,2014,2016,2018,2020,2022,2024
강원 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 계 - 매우 나쁘다,Statistics,1.5,1.9,3.6,3.2,0.7,1.021,0.357,0.498
강원 - 계 - 매우 좋다,Statistics,18.5,26.8,20.6,18.5,25.1,38.155,40.053,40.126
강원 - 계 - 보통,Statistics,35.0,30.5,35.8,32.9,28.1,22.453,23.138,21.398
강원 - 계 - 약간 나쁘다,Statistics,8.7,7.6,7.8,11.9,4.2,2.963,2.295,2.091
강원 - 계 - 약간 좋다,Statistics,36.4,33.1,32.2,33.5,41.9,35.408,34.158,35.888
강원 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 남자 - 매우 나쁘다,Statistics,1.5,1.7,3.5,2.8,1.0,0.823,0.622,0.493
강원 - 남자 - 매우 좋다,Statistics,20.4,27.5,19.7,18.4,25.7,37.938,40.56,41.219
강원 - 남자 - 보통,Statistics,32.4,30.2,36.5,31.4,29.1,21.668,22.506,19.597
강원 - 남자 - 약간 나쁘다,Statistics,8.5,7.6,7.5,12.8,3.9,3.254,2.141,1.854
강원 - 남자 - 약간 좋다,Statistics,37.3,33.0,32.7,34.5,40.2,36.317,34.171,36.838
강원 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 여자 - 매우 나쁘다,Statistics,1.5,2.1,3.7,3.6,0.3,1.215,0.092,0.503
강원 - 여자 - 매우 좋다,Statistics,16.6,26.1,21.4,18.6,24.5,38.369,39.547,39.038
강원 - 여자 - 보통,Statistics,37.5,30.9,35.1,34.2,27.1,23.223,23.768,23.19
강원 - 여자 - 약간 나쁘다,Statistics,8.9,7.7,8.1,11.1,4.4,2.677,2.448,2.327
강원 - 여자 - 약간 좋다,Statistics,35.5,33.3,31.7,32.6,43.6,34.517,34.144,34.942
경기 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기 - 계 - 매우 나쁘다,Statistics,4.3,3.1,3.5,3.4,1.8,1.051,1.768,1.098
경기 - 계 - 매우 좋다,Statistics,13.2,12.8,10.7,11.1,14.1,21.372,20.192,20.566
경기 - 계 - 보통,Statistics,39.7,39.8,43.1,40.4,38.9,33.111,33.221,34.021
경기 - 계 - 약간 나쁘다,Statistics,11.8,12.5,12.3,11.6,8.7,6.0,5.628,5.368
경기 - 계 - 약간 좋다,Statistics,30.9,31.8,30.3,33.4,36.5,38.465,39.191,38.947
경기 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기 - 남자 - 매우 나쁘다,Statistics,3.8,2.8,3.3,3.5,1.6,0.981,1.911,0.996
경기 - 남자 - 매우 좋다,Statistics,13.2,13.2,10.2,10.5,14.4,21.364,19.713,20.045
경기 - 남자 - 보통,Statistics,39.4,40.2,42.9,39.1,37.8,32.597,32.535,35.073
경기 - 남자 - 약간 나쁘다,Statistics,12.4,12.6,12.2,12.7,9.1,5.873,5.908,4.743
경기 - 남자 - 약간 좋다,Statistics,31.2,31.1,31.4,34.1,37.1,39.185,39.934,39.143
경기 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기 - 여자 - 매우 나쁘다,Statistics,4.8,3.3,3.8,3.4,2.0,1.122,1.624,1.201
경기 - 여자 - 매우 좋다,Statistics,13.1,12.3,11.3,11.8,13.8,21.38,20.679,21.09
경기 - 여자 - 보통,Statistics,40.0,39.5,43.3,41.8,40.0,33.627,33.916,32.964
경기 - 여자 - 약간 나쁘다,Statistics,11.3,12.5,12.4,10.4,8.4,6.128,5.343,5.996
경기 - 여자 - 약간 좋다,Statistics,30.7,32.5,29.3,32.7,35.9,37.742,38.438,38.75
경남 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경남 - 계 - 매우 나쁘다,Statistics,1.8,3.7,2.7,4.4,0.8,0.561,0.32,0.415
경남 - 계 - 매우 좋다,Statistics,15.0,19.5,16.6,10.8,19.7,26.838,27.047,25.703
경남 - 계 - 보통,Statistics,38.3,32.4,37.6,41.2,31.2,25.841,27.208,24.505
경남 - 계 - 약간 나쁘다,Statistics,8.7,12.8,10.0,11.9,7.3,3.542,4.444,4.411
경남 - 계 - 약간 좋다,Statistics,36.1,31.6,33.1,31.6,41.0,43.219,40.981,44.966
경남 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경남 - 남자 - 매우 나쁘다,Statistics,1.6,3.7,2.1,3.6,1.0,0.282,0.269,0.435
경남 - 남자 - 매우 좋다,Statistics,15.2,19.5,15.7,11.5,19.2,25.289,26.876,25.209
경남 - 남자 - 보통,Statistics,38.1,32.6,38.8,42.5,31.3,27.967,27.733,24.258
경남 - 남자 - 약간 나쁘다,Statistics,9.0,13.2,9.8,11.3,6.8,3.821,4.821,4.512
