item,category,2014,2016,2018,2020,2022,2024
강원 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 계 - 매우 불안함,Statistics,28.7,29.1,34.1,23.126,17.863,24.814
강원 - 계 - 별로 불안하지 않음,Statistics,3.9,5.1,4.8,8.626,10.084,8.621
강원 - 계 - 보통,Statistics,17.8,15.0,18.0,22.148,26.596,20.359
강원 - 계 - 약간 불안함,Statistics,48.8,50.2,42.0,44.295,42.903,44.293
강원 - 계 - 전혀 불안하지 않음,Statistics,0.8,0.6,1.1,1.806,2.554,1.912
강원 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 남자 - 매우 불안함,Statistics,27.0,26.5,31.0,21.227,16.032,23.497
강원 - 남자 - 별로 불안하지 않음,Statistics,4.6,5.3,6.6,8.536,9.829,9.137
강원 - 남자 - 보통,Statistics,19.8,17.8,19.6,23.315,28.581,23.024
강원 - 남자 - 약간 불안함,Statistics,47.5,50.0,41.5,44.092,42.531,41.71
강원 - 남자 - 전혀 불안하지 않음,Statistics,1.0,0.4,1.4,2.83,3.027,2.631
강원 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 여자 - 매우 불안함,Statistics,30.2,31.6,37.1,24.99,19.688,26.125
강원 - 여자 - 별로 불안하지 않음,Statistics,3.3,4.8,3.0,8.714,10.338,8.108
강원 - 여자 - 보통,Statistics,15.8,12.2,16.5,21.002,24.618,17.706
강원 - 여자 - 약간 불안함,Statistics,50.0,50.5,42.6,44.493,43.274,46.864
강원 - 여자 - 전혀 불안하지 않음,Statistics,0.7,0.8,0.7,0.801,2.082,1.197
경기 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
경기 - 계 - 매우 불안함,Statistics,32.6,42.5,51.8,32.896,27.487,27.217
경기 - 계 - 별로 불안하지 않음,Statistics,2.6,2.4,2.7,5.094,6.992,6.239
경기 - 계 - 보통,Statistics,17.5,12.9,10.6,16.722,21.123,23.117
경기 - 계 - 약간 불안함,Statistics,46.7,41.8,34.4,43.788,42.659,41.432
