item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
강원 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 계 - 기타,Statistics,0.4,,0.4,0.6,,,,,
강원 - 계 - 딸 또는 사위,Statistics,3.3,0.8,2.2,2.1,1.7,1.7,,,
강원 - 계 - 모든 자녀(아들과 딸),Statistics,23.6,23.5,25.1,25.6,20.6,27.2,,,
강원 - 계 - 부모님 스스로 해결,Statistics,43.6,41.4,50.5,52.4,58.9,55.3,71.558,72.897,74.925
강원 - 계 - 부모님의 자녀(며느리 사위 포함) 또는 친척,Statistics,,,,,,,23.86,24.05,20.662
강원 - 계 - 아들(장남 포함) 또는 며느리,Statistics,12.0,13.9,9.3,8.7,9.7,7.5,,,
강원 - 계 - 장남 또는 맏며느리,Statistics,17.1,20.5,12.5,10.6,9.1,8.2,,,
강원 - 계 - 정부 및 사회단체,Statistics,,,,,,,4.582,3.053,4.412
경기 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기 - 계 - 기타,Statistics,0.6,0.1,0.3,0.2,,0.1,,0.051,0.19
경기 - 계 - 딸 또는 사위,Statistics,2.1,1.9,2.4,2.1,2.0,1.8,,,
경기 - 계 - 모든 자녀(아들과 딸),Statistics,26.1,28.1,29.3,33.6,31.0,29.8,,,
경기 - 계 - 부모님 스스로 해결,Statistics,46.1,48.4,49.0,45.8,49.7,54.1,68.34,72.577,71.398
경기 - 계 - 부모님의 자녀(며느리 사위 포함) 또는 친척,Statistics,,,,,,,28.496,24.133,24.022
경기 - 계 - 아들(장남 포함) 또는 며느리,Statistics,9.7,11.1,8.9,8.9,8.7,7.7,,,
경기 - 계 - 장남 또는 맏며느리,Statistics,15.4,10.3,10.1,9.5,8.6,6.5,,,
경기 - 계 - 정부 및 사회단체,Statistics,,,,,,,3.164,3.238,4.39
경남 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경남 - 계 - 기타,Statistics,0.7,0.4,0.1,0.2,0.3,0.2,,,
경남 - 계 - 딸 또는 사위,Statistics,1.7,1.0,2.7,3.4,1.8,2.8,,,
경남 - 계 - 모든 자녀(아들과 딸),Statistics,25.8,27.1,30.6,28.3,31.3,27.5,,,
경남 - 계 - 부모님 스스로 해결,Statistics,43.8,41.6,44.2,46.2,48.8,51.7,69.595,68.519,72.843
경남 - 계 - 부모님의 자녀(며느리 사위 포함) 또는 친척,Statistics,,,,,,,26.952,26.846,23.09
경남 - 계 - 아들(장남 포함) 또는 며느리,Statistics,13.8,12.9,10.5,12.9,9.2,8.6,,,
