item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
강원 - 계 - -매우 만족,Statistics,24.9,21.9,30.7,24.0,23.6,28.3,27.474,29.243,27.461
강원 - 계 - -매우 불만족,Statistics,0.5,0.7,0.7,0.7,0.6,0.4,0.625,0.639,0.905
강원 - 계 - -보통,Statistics,36.1,38.3,30.2,39.1,35.9,34.2,33.993,28.716,29.088
강원 - 계 - -약간 만족,Statistics,36.0,36.6,35.6,33.0,36.8,35.3,35.781,39.826,40.08
강원 - 계 - -약간 불만족,Statistics,2.5,2.6,2.8,3.1,3.0,1.8,2.127,1.576,2.466
강원 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 남자 - -매우 만족,Statistics,25.9,24.5,32.1,25.3,27.1,31.4,29.897,32.649,29.321
강원 - 남자 - -매우 불만족,Statistics,0.7,0.8,0.6,0.6,0.7,0.4,0.41,0.453,0.553
강원 - 남자 - -보통,Statistics,35.2,36.4,28.9,38.6,33.7,30.8,31.35,27.849,28.576
강원 - 남자 - -약간 만족,Statistics,36.3,36.3,36.3,31.8,35.6,36.0,36.46,37.807,39.77
강원 - 남자 - -약간 불만족,Statistics,1.9,1.9,2.1,3.6,3.0,1.4,1.884,1.24,1.78
강원 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 여자 - -매우 만족,Statistics,23.9,19.4,29.3,22.7,20.3,25.3,25.099,25.847,25.62
강원 - 여자 - -매우 불만족,Statistics,0.3,0.5,0.8,0.9,0.6,0.3,0.836,0.824,1.253
강원 - 여자 - -보통,Statistics,36.9,40.0,31.5,39.6,38.0,37.5,36.585,29.58,29.594
강원 - 여자 - -약간 만족,Statistics,35.7,36.9,35.0,34.2,37.9,34.6,35.115,41.838,40.387
강원 - 여자 - -약간 불만족,Statistics,3.1,3.2,3.4,2.6,3.1,2.3,2.366,1.911,3.146
강원 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기 - 계 - -매우 만족,Statistics,19.0,19.4,22.2,18.9,21.0,21.9,25.737,27.967,27.302
경기 - 계 - -매우 불만족,Statistics,0.7,0.5,1.1,0.9,0.9,0.4,0.524,0.505,0.78
경기 - 계 - -보통,Statistics,40.4,41.5,38.5,43.1,39.6,40.5,38.255,30.945,31.95
