item,category,2020,2022,2024
강원특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0
강원특별자치도 - 계 - 매우 만족,Statistics,24.377,20.954,17.711
강원특별자치도 - 계 - 매우 불만족,Statistics,0.18,0.139,0.666
강원특별자치도 - 계 - 보통,Statistics,30.318,30.358,36.427
강원특별자치도 - 계 - 약간 만족,Statistics,40.622,44.972,39.695
강원특별자치도 - 계 - 약간 불만족,Statistics,4.503,3.577,5.501
경기도 - 계 - 계,Statistics,100.0,100.0,100.0
경기도 - 계 - 매우 만족,Statistics,14.662,15.101,17.435
경기도 - 계 - 매우 불만족,Statistics,0.255,0.23,0.331
경기도 - 계 - 보통,Statistics,37.795,39.357,34.641
경기도 - 계 - 약간 만족,Statistics,39.169,40.854,40.506
경기도 - 계 - 약간 불만족,Statistics,8.12,4.458,7.087
경상남도 - 계 - 계,Statistics,100.0,100.0,100.0
경상남도 - 계 - 매우 만족,Statistics,15.837,17.4,16.511
경상남도 - 계 - 매우 불만족,Statistics,0.374,0.248,0.435
경상남도 - 계 - 보통,Statistics,32.793,32.81,30.166
경상남도 - 계 - 약간 만족,Statistics,42.531,46.212,47.109
경상남도 - 계 - 약간 불만족,Statistics,8.465,3.33,5.78
경상북도 - 계 - 계,Statistics,100.0,100.0,100.0
경상북도 - 계 - 매우 만족,Statistics,11.419,14.735,11.99
경상북도 - 계 - 매우 불만족,Statistics,0.548,0.262,1.022
경상북도 - 계 - 보통,Statistics,38.434,32.202,34.353
경상북도 - 계 - 약간 만족,Statistics,44.337,48.068,46.831
경상북도 - 계 - 약간 불만족,Statistics,5.263,4.734,5.804
광주광역시 - 계 - 계,Statistics,100.0,100.0,100.0
광주광역시 - 계 - 매우 만족,Statistics,15.354,17.835,21.387
광주광역시 - 계 - 매우 불만족,Statistics,,0.333,0.332
광주광역시 - 계 - 보통,Statistics,33.673,32.504,24.059
광주광역시 - 계 - 약간 만족,Statistics,44.509,43.493,49.389
광주광역시 - 계 - 약간 불만족,Statistics,6.464,5.835,4.832
대구광역시 - 계 - 계,Statistics,100.0,100.0,100.0
대구광역시 - 계 - 매우 만족,Statistics,14.565,16.619,18.24
대구광역시 - 계 - 매우 불만족,Statistics,,0.101,0.293
대구광역시 - 계 - 보통,Statistics,36.618,37.463,29.792
대구광역시 - 계 - 약간 만족,Statistics,42.533,41.755,46.699
대구광역시 - 계 - 약간 불만족,Statistics,6.284,4.062,4.976
대전광역시 - 계 - 계,Statistics,100.0,100.0,100.0
대전광역시 - 계 - 매우 만족,Statistics,19.857,17.848,29.587
대전광역시 - 계 - 매우 불만족,Statistics,1.188,,0.164
대전광역시 - 계 - 보통,Statistics,28.517,27.75,27.894
대전광역시 - 계 - 약간 만족,Statistics,41.902,52.105,39.112
대전광역시 - 계 - 약간 불만족,Statistics,8.537,2.298,3.243
부산광역시 - 계 - 계,Statistics,100.0,100.0,100.0
부산광역시 - 계 - 매우 만족,Statistics,20.238,18.688,23.252
부산광역시 - 계 - 매우 불만족,Statistics,0.104,,
부산광역시 - 계 - 보통,Statistics,30.284,26.812,31.112
부산광역시 - 계 - 약간 만족,Statistics,43.96,50.156,41.132
부산광역시 - 계 - 약간 불만족,Statistics,5.415,4.345,4.504
서울특별시 - 계 - 계,Statistics,100.0,100.0,100.0
서울특별시 - 계 - 매우 만족,Statistics,19.816,15.598,17.521
서울특별시 - 계 - 매우 불만족,Statistics,0.282,0.147,0.376
서울특별시 - 계 - 보통,Statistics,36.736,33.7,31.855
서울특별시 - 계 - 약간 만족,Statistics,38.472,45.536,45.42
서울특별시 - 계 - 약간 불만족,Statistics,4.694,5.019,4.828
세종특별자치시 - 계 - 계,Statistics,100.0,100.0,100.0
세종특별자치시 - 계 - 매우 만족,Statistics,16.901,16.311,16.7
세종특별자치시 - 계 - 매우 불만족,Statistics,0.414,0.17,0.298
세종특별자치시 - 계 - 보통,Statistics,29.084,37.302,36.207
세종특별자치시 - 계 - 약간 만족,Statistics,46.541,43.115,42.255
세종특별자치시 - 계 - 약간 불만족,Statistics,7.06,3.102,4.539
울산광역시 - 계 - 계,Statistics,100.0,100.0,100.0
울산광역시 - 계 - 매우 만족,Statistics,16.356,13.457,16.264
울산광역시 - 계 - 매우 불만족,Statistics,0.673,0.579,0.322
울산광역시 - 계 - 보통,Statistics,35.293,37.542,36.446
울산광역시 - 계 - 약간 만족,Statistics,44.368,44.333,40.092
울산광역시 - 계 - 약간 불만족,Statistics,3.309,4.089,6.876
인천광역시 - 계 - 계,Statistics,100.0,100.0,100.0
인천광역시 - 계 - 매우 만족,Statistics,19.537,19.919,17.409
