item,category,2011,2013,2015,2017,2019,2021,2023
강원특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 계 - 매우 부족함,Statistics,17.4,16.7,19.9,18.5,17.0,15.484,13.165
강원특별자치도 - 계 - 매우 여유있음,Statistics,1.7,1.0,1.1,1.3,1.4,1.055,1.028
강원특별자치도 - 계 - 약간  여유있음,Statistics,13.6,9.0,7.9,8.4,8.1,10.457,10.348
강원특별자치도 - 계 - 약간 부족함,Statistics,37.6,40.3,41.9,42.6,41.7,41.677,41.405
강원특별자치도 - 계 - 적정함,Statistics,29.7,33.0,29.2,29.2,31.8,31.327,34.054
강원특별자치도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 남자 - 매우 부족함,Statistics,16.7,15.6,17.9,15.6,13.8,14.65,11.408
강원특별자치도 - 남자 - 매우 여유있음,Statistics,2.2,1.1,1.1,1.6,1.3,0.875,1.06
강원특별자치도 - 남자 - 약간  여유있음,Statistics,14.9,10.8,9.0,10.0,9.8,10.807,11.15
강원특별자치도 - 남자 - 약간 부족함,Statistics,35.0,38.0,43.4,43.0,40.5,42.598,39.53
강원특별자치도 - 남자 - 적정함,Statistics,31.2,34.5,28.6,29.8,34.6,31.069,36.853
강원특별자치도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 여자 - 매우 부족함,Statistics,19.5,19.6,25.3,25.9,25.6,17.293,17.104
강원특별자치도 - 여자 - 매우 여유있음,Statistics,0.3,0.8,0.8,0.4,1.6,1.445,0.958
강원특별자치도 - 여자 - 약간  여유있음,Statistics,9.5,4.2,5.1,4.3,3.6,9.699,8.549
강원특별자치도 - 여자 - 약간 부족함,Statistics,45.7,46.7,38.0,41.5,44.9,39.678,45.609
강원특별자치도 - 여자 - 적정함,Statistics,25.0,28.7,30.8,27.9,24.2,31.885,27.78
경기도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 계 - 매우 부족함,Statistics,15.5,24.2,21.5,19.9,19.7,18.929,16.949
경기도 - 계 - 매우 여유있음,Statistics,2.5,1.3,1.0,1.1,1.3,1.869,1.765
경기도 - 계 - 약간  여유있음,Statistics,18.2,8.4,7.1,9.9,11.0,10.687,12.758
경기도 - 계 - 약간 부족함,Statistics,33.5,43.2,44.7,43.8,42.7,41.244,39.06
경기도 - 계 - 적정함,Statistics,30.3,22.9,25.7,25.4,25.3,27.27,29.469
경기도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 남자 - 매우 부족함,Statistics,14.0,23.7,20.8,18.5,17.8,17.555,15.63
경기도 - 남자 - 매우 여유있음,Statistics,2.5,1.3,0.9,1.0,1.1,2.039,1.783
경기도 - 남자 - 약간  여유있음,Statistics,19.3,8.7,7.9,10.5,12.1,11.603,13.573
경기도 - 남자 - 약간 부족함,Statistics,33.9,43.4,44.4,43.9,43.4,40.863,38.947
경기도 - 남자 - 적정함,Statistics,30.3,22.9,26.1,26.1,25.6,27.94,30.067
경기도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 여자 - 매우 부족함,Statistics,21.6,26.0,24.2,24.3,25.0,23.359,20.957
경기도 - 여자 - 매우 여유있음,Statistics,2.1,1.3,1.3,1.3,1.8,1.322,1.709
경기도 - 여자 - 약간  여유있음,Statistics,14.0,7.2,4.3,8.0,7.9,7.735,10.281
경기도 - 여자 - 약간 부족함,Statistics,32.2,42.4,45.7,43.5,40.7,42.474,39.402
경기도 - 여자 - 적정함,Statistics,30.2,23.2,24.5,22.9,24.6,25.11,27.65
경상남도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 계 - 매우 부족함,Statistics,14.9,20.5,18.4,18.5,16.5,15.34,14.92
경상남도 - 계 - 매우 여유있음,Statistics,4.3,0.3,0.6,0.6,0.6,1.457,1.097
경상남도 - 계 - 약간  여유있음,Statistics,15.9,7.4,7.8,8.3,8.7,8.422,10.599
경상남도 - 계 - 약간 부족함,Statistics,34.7,47.1,42.0,44.1,44.4,45.2,39.493
경상남도 - 계 - 적정함,Statistics,30.3,24.8,31.2,28.5,29.7,29.581,33.892
경상남도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 남자 - 매우 부족함,Statistics,13.7,19.2,16.1,17.7,14.8,15.665,13.457
경상남도 - 남자 - 매우 여유있음,Statistics,5.1,0.3,0.9,0.7,0.8,1.43,1.232
경상남도 - 남자 - 약간  여유있음,Statistics,17.9,8.6,8.5,9.1,9.8,8.666,11.749
경상남도 - 남자 - 약간 부족함,Statistics,32.7,44.9,41.4,43.4,44.9,43.854,37.276
경상남도 - 남자 - 적정함,Statistics,30.5,27.0,33.1,29.1,29.7,30.386,36.285
경상남도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 여자 - 매우 부족함,Statistics,19.0,24.7,25.2,21.2,22.5,14.343,19.275
경상남도 - 여자 - 매우 여유있음,Statistics,1.0,0.3,,0.2,,1.543,0.693
경상남도 - 여자 - 약간  여유있음,Statistics,8.7,3.2,5.5,5.4,5.2,7.671,7.172
경상남도 - 여자 - 약간 부족함,Statistics,41.9,54.4,44.0,46.3,43.0,49.337,46.094
경상남도 - 여자 - 적정함,Statistics,29.4,17.4,25.3,26.9,29.3,27.106,26.765
경상북도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 계 - 매우 부족함,Statistics,12.4,21.0,17.6,15.5,16.9,17.051,14.631
경상북도 - 계 - 매우 여유있음,Statistics,2.9,0.6,0.6,1.0,1.0,0.61,0.973
경상북도 - 계 - 약간  여유있음,Statistics,19.4,6.1,7.5,9.0,8.8,7.708,10.002
경상북도 - 계 - 약간 부족함,Statistics,32.8,45.9,45.3,44.2,43.0,44.749,40.91
경상북도 - 계 - 적정함,Statistics,32.6,26.3,29.0,30.3,30.4,29.883,33.484
경상북도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 남자 - 매우 부족함,Statistics,11.3,18.1,15.1,13.6,14.4,16.105,13.186
경상북도 - 남자 - 매우 여유있음,Statistics,3.5,0.7,0.5,1.0,1.1,0.733,1.347
경상북도 - 남자 - 약간  여유있음,Statistics,22.5,6.8,9.5,10.4,9.6,9.382,11.881
경상북도 - 남자 - 약간 부족함,Statistics,30.8,46.6,43.8,43.6,43.6,44.027,39.332
경상북도 - 남자 - 적정함,Statistics,31.9,27.8,31.1,31.4,31.3,29.753,34.253
경상북도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 여자 - 매우 부족함,Statistics,15.9,28.9,24.5,21.0,23.3,19.488,18.385
경상북도 - 여자 - 매우 여유있음,Statistics,0.8,0.4,0.8,1.0,0.7,0.291,
경상북도 - 여자 - 약간  여유있음,Statistics,9.4,4.1,2.0,5.2,6.5,3.395,5.12
경상북도 - 여자 - 약간 부족함,Statistics,39.1,44.2,49.9,45.9,41.7,46.607,45.01
경상북도 - 여자 - 적정함,Statistics,34.8,22.4,22.8,26.9,27.8,30.219,31.486
광주광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 계 - 매우 부족함,Statistics,13.8,21.9,22.1,20.6,21.9,17.593,15.202
광주광역시 - 계 - 매우 여유있음,Statistics,2.9,0.2,0.2,0.5,0.8,1.174,1.141
광주광역시 - 계 - 약간  여유있음,Statistics,14.8,6.3,5.4,8.7,7.7,12.468,11.501
광주광역시 - 계 - 약간 부족함,Statistics,38.3,42.8,45.5,43.9,43.0,40.51,38.514
광주광역시 - 계 - 적정함,Statistics,30.2,28.8,26.8,26.3,26.6,28.255,33.642
광주광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 남자 - 매우 부족함,Statistics,12.7,19.5,18.8,15.3,17.5,16.021,12.275
광주광역시 - 남자 - 매우 여유있음,Statistics,3.6,0.2,0.3,0.2,1.0,1.68,1.117
광주광역시 - 남자 - 약간  여유있음,Statistics,16.4,7.0,6.2,9.9,9.5,12.778,11.789
광주광역시 - 남자 - 약간 부족함,Statistics,36.0,44.5,46.8,47.5,44.6,39.467,38.167
광주광역시 - 남자 - 적정함,Statistics,31.4,28.9,27.9,27.1,27.4,30.054,36.652
광주광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 여자 - 매우 부족함,Statistics,17.0,28.7,30.9,32.0,30.2,21.245,21.629
광주광역시 - 여자 - 매우 여유있음,Statistics,1.2,0.5,,1.0,0.6,,1.195
광주광역시 - 여자 - 약간  여유있음,Statistics,10.1,4.3,3.4,6.1,4.3,11.747,10.868
광주광역시 - 여자 - 약간 부족함,Statistics,44.9,37.9,41.8,36.4,40.0,42.931,39.274
광주광역시 - 여자 - 적정함,Statistics,26.8,28.6,23.9,24.5,25.0,24.077,27.034
대구광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구광역시 - 계 - 매우 부족함,Statistics,15.2,22.2,20.1,18.1,16.9,16.737,14.42
대구광역시 - 계 - 매우 여유있음,Statistics,3.0,0.1,0.9,0.7,0.8,0.922,1.548
대구광역시 - 계 - 약간  여유있음,Statistics,16.3,7.0,7.5,9.6,9.2,7.135,9.081
대구광역시 - 계 - 약간 부족함,Statistics,31.5,45.5,44.5,47.9,45.6,43.715,45.503
대구광역시 - 계 - 적정함,Statistics,33.9,25.2,27.0,23.7,27.6,31.491,29.449
대구광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구광역시 - 남자 - 매우 부족함,Statistics,14.1,20.4,18.7,17.1,14.9,15.576,11.614
대구광역시 - 남자 - 매우 여유있음,Statistics,3.5,,0.8,0.8,0.7,0.997,1.47
대구광역시 - 남자 - 약간  여유있음,Statistics,17.0,7.7,8.5,10.4,11.0,8.097,9.348
대구광역시 - 남자 - 약간 부족함,Statistics,31.5,45.7,44.6,47.2,45.6,41.976,48.087
대구광역시 - 남자 - 적정함,Statistics,33.9,26.2,27.4,24.6,27.8,33.354,29.48
대구광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
