item,category,2009,2011,2013,2015,2017,2019,2021,2023
강원특별자치도 - 계 - - 매우 만족,Statistics,1.9,1.2,2.5,2.3,2.1,2.6,3.869,4.272
강원특별자치도 - 계 - - 매우 불만족,Statistics,14.5,13.4,10.9,12.1,11.1,10.5,11.194,9.756
강원특별자치도 - 계 - - 보통,Statistics,39.9,39.9,45.9,43.9,44.1,44.7,35.013,34.849
강원특별자치도 - 계 - - 약간 만족,Statistics,12.3,9.6,12.3,10.4,11.3,12.6,22.947,27.617
강원특별자치도 - 계 - - 약간 불만족,Statistics,31.4,35.9,28.3,31.3,31.4,29.6,26.978,23.505
강원특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 계 - 소득 있음,Statistics,69.8,69.0,79.5,83.7,85.5,86.0,86.457,77.873
강원특별자치도 - 남자 - - 매우 만족,Statistics,2.0,0.7,2.7,2.5,2.7,2.7,3.222,3.736
강원특별자치도 - 남자 - - 매우 불만족,Statistics,14.3,12.9,10.1,12.2,10.2,11.1,11.468,8.741
강원특별자치도 - 남자 - - 보통,Statistics,38.3,40.6,46.4,44.4,46.3,46.0,34.736,34.891
강원특별자치도 - 남자 - - 약간 만족,Statistics,13.7,10.2,12.1,10.6,11.8,12.4,23.975,28.558
강원특별자치도 - 남자 - - 약간 불만족,Statistics,31.8,35.6,28.7,30.1,29.1,27.7,26.598,24.074
강원특별자치도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 남자 - 소득 있음,Statistics,80.5,82.9,90.5,92.2,93.9,93.1,92.03,87.548
강원특별자치도 - 여자 - - 매우 만족,Statistics,1.7,1.8,2.3,2.0,1.5,2.5,4.6,4.939
강원특별자치도 - 여자 - - 매우 불만족,Statistics,14.8,14.2,11.9,12.0,12.1,9.7,10.884,11.017
강원특별자치도 - 여자 - - 보통,Statistics,42.1,39.0,45.2,43.2,41.6,43.3,35.325,34.798
강원특별자치도 - 여자 - - 약간 만족,Statistics,10.6,8.7,12.7,10.1,10.7,12.7,21.784,26.448
강원특별자치도 - 여자 - - 약간 불만족,Statistics,30.8,36.3,27.9,32.7,34.1,31.8,27.407,22.798
강원특별자치도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 여자 - 소득 있음,Statistics,59.7,55.7,68.9,75.4,77.4,79.0,80.918,68.467
경기도 - 계 - - 매우 만족,Statistics,1.4,1.5,1.8,1.7,1.7,2.3,2.894,3.343
경기도 - 계 - - 매우 불만족,Statistics,12.4,13.2,15.8,14.7,13.9,13.5,15.882,16.139
경기도 - 계 - - 보통,Statistics,40.4,39.0,37.0,41.4,39.9,42.2,33.455,32.114
경기도 - 계 - - 약간 만족,Statistics,12.6,9.8,11.5,9.4,11.1,12.4,19.826,23.218
경기도 - 계 - - 약간 불만족,Statistics,33.1,36.6,33.9,32.8,33.4,29.7,27.943,25.186
경기도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 계 - 소득 있음,Statistics,65.4,69.4,74.4,77.9,82.6,81.4,83.125,79.556
경기도 - 남자 - - 매우 만족,Statistics,1.4,1.2,1.8,1.7,1.2,2.3,2.67,2.737
경기도 - 남자 - - 매우 불만족,Statistics,12.9,12.7,15.6,14.3,13.8,13.2,16.281,15.611
경기도 - 남자 - - 보통,Statistics,39.7,38.5,36.9,40.1,40.7,41.9,31.778,32.028
경기도 - 남자 - - 약간 만족,Statistics,13.4,9.3,11.5,9.7,12.0,12.9,20.023,24.506
경기도 - 남자 - - 약간 불만족,Statistics,32.5,38.3,34.1,34.2,32.3,29.7,29.249,25.117
경기도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 남자 - 소득 있음,Statistics,80.2,84.8,87.9,88.8,92.1,91.1,90.661,87.065
경기도 - 여자 - - 매우 만족,Statistics,1.4,1.8,1.9,1.6,2.4,2.3,3.163,4.075
경기도 - 여자 - - 매우 불만족,Statistics,11.7,13.9,16.0,15.4,13.9,13.9,15.403,16.776
경기도 - 여자 - - 보통,Statistics,41.5,39.8,37.0,43.2,38.9,42.5,35.467,32.217
