item,category,2009,2011,2013,2015,2017,2019,2021,2023
강원특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 계 - 매우 만족,Statistics,2.1,1.1,2.4,2.8,2.6,3.4,3.599,4.252
강원특별자치도 - 계 - 매우 불만족,Statistics,10.8,9.3,8.6,7.1,7.8,7.5,5.453,4.733
강원특별자치도 - 계 - 보통,Statistics,48.6,49.0,50.0,50.5,52.1,50.7,51.525,53.212
강원특별자치도 - 계 - 약간 만족,Statistics,10.5,9.3,12.4,12.3,13.4,14.3,15.239,17.266
강원특별자치도 - 계 - 약간 불만족,Statistics,28.0,31.4,26.6,27.3,24.0,24.2,24.184,20.537
강원특별자치도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 남자 - 매우 만족,Statistics,2.8,1.1,2.4,3.4,3.7,3.4,3.45,4.97
강원특별자치도 - 남자 - 매우 불만족,Statistics,11.7,9.3,8.3,7.2,6.3,7.8,5.26,4.658
강원특별자치도 - 남자 - 보통,Statistics,48.8,50.6,52.2,50.6,53.4,54.1,51.004,54.056
강원특별자치도 - 남자 - 약간 만족,Statistics,11.0,9.6,12.6,13.4,13.8,13.9,16.827,17.44
강원특별자치도 - 남자 - 약간 불만족,Statistics,25.7,29.3,24.5,25.4,22.8,20.9,23.459,18.875
강원특별자치도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 여자 - 매우 만족,Statistics,1.4,1.0,2.5,2.2,1.6,3.4,3.747,3.554
강원특별자치도 - 여자 - 매우 불만족,Statistics,9.9,9.2,8.9,6.9,9.3,7.3,5.645,4.805
강원특별자치도 - 여자 - 보통,Statistics,48.5,47.5,47.8,50.5,50.9,47.3,52.042,52.391
강원특별자치도 - 여자 - 약간 만족,Statistics,9.9,8.9,12.2,11.2,13.0,14.7,13.661,17.097
강원특별자치도 - 여자 - 약간 불만족,Statistics,30.3,33.4,28.6,29.2,25.2,27.4,24.905,22.153
경기도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 계 - 매우 만족,Statistics,2.2,1.8,2.4,2.1,2.0,3.1,3.177,3.541
경기도 - 계 - 매우 불만족,Statistics,10.5,10.7,10.3,10.1,9.7,9.4,8.709,7.841
경기도 - 계 - 보통,Statistics,45.7,46.4,44.9,48.0,44.8,46.0,46.282,49.066
경기도 - 계 - 약간 만족,Statistics,12.0,10.4,11.8,12.1,12.8,14.4,15.447,17.719
경기도 - 계 - 약간 불만족,Statistics,29.7,30.7,30.6,27.7,30.7,27.1,26.386,21.833
경기도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 남자 - 매우 만족,Statistics,2.3,1.1,2.3,2.2,1.5,3.0,3.088,3.027
경기도 - 남자 - 매우 불만족,Statistics,10.4,10.0,10.7,9.5,9.1,9.7,8.742,7.837
경기도 - 남자 - 보통,Statistics,46.9,48.4,46.2,48.7,47.3,46.7,46.742,50.902
경기도 - 남자 - 약간 만족,Statistics,12.2,10.3,11.2,11.7,13.1,15.0,15.577,17.784
경기도 - 남자 - 약간 불만족,Statistics,28.2,30.2,29.6,27.9,29.0,25.6,25.85,20.45
경기도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 여자 - 매우 만족,Statistics,2.1,2.4,2.4,2.0,2.4,3.1,3.265,4.056
경기도 - 여자 - 매우 불만족,Statistics,10.5,11.5,9.8,10.6,10.4,9.1,8.676,7.845
경기도 - 여자 - 보통,Statistics,44.4,44.4,43.6,47.3,42.3,45.2,45.821,47.23
경기도 - 여자 - 약간 만족,Statistics,11.8,10.5,12.5,12.5,12.6,13.9,15.318,17.654
경기도 - 여자 - 약간 불만족,Statistics,31.3,31.2,31.7,27.6,32.4,28.7,26.921,23.216
경상남도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 계 - 매우 만족,Statistics,2.2,1.4,1.7,1.9,2.1,1.9,2.357,1.977
경상남도 - 계 - 매우 불만족,Statistics,6.8,8.4,7.4,6.4,7.2,7.5,6.761,6.035
경상남도 - 계 - 보통,Statistics,44.6,49.4,46.1,48.8,51.1,52.1,50.51,50.634
