item,category,2009,2011,2013,2015,2017,2019,2021,2023
강원특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 계 - 매우 만족,Statistics,5.1,2.3,5.0,5.2,9.7,8.2,12.266,9.73
강원특별자치도 - 계 - 매우 불만족,Statistics,1.8,4.2,3.5,2.1,4.2,3.0,2.651,1.672
강원특별자치도 - 계 - 보통,Statistics,50.1,56.5,49.1,52.7,49.4,49.1,49.598,47.532
강원특별자치도 - 계 - 약간 만족,Statistics,27.4,22.0,26.4,26.6,24.4,32.3,26.179,34.229
강원특별자치도 - 계 - 약간 불만족,Statistics,15.6,15.1,16.0,13.3,12.3,7.4,9.305,6.837
강원특별자치도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 남자 - 매우 만족,Statistics,4.3,1.3,5.6,5.5,10.1,7.5,12.442,9.631
강원특별자치도 - 남자 - 매우 불만족,Statistics,2.3,5.2,3.0,1.9,3.8,4.0,2.963,1.961
강원특별자치도 - 남자 - 보통,Statistics,47.4,57.3,48.1,50.9,46.6,47.3,52.939,46.572
강원특별자치도 - 남자 - 약간 만족,Statistics,28.8,20.5,27.5,28.7,25.2,32.0,22.704,34.826
강원특별자치도 - 남자 - 약간 불만족,Statistics,17.3,15.8,15.9,13.0,14.4,9.2,8.952,7.01
강원특별자치도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 여자 - 매우 만족,Statistics,6.4,3.6,4.2,4.9,9.1,9.1,12.051,9.845
강원특별자치도 - 여자 - 매우 불만족,Statistics,1.2,2.8,4.2,2.4,4.9,1.9,2.272,1.335
강원특별자치도 - 여자 - 보통,Statistics,53.9,55.3,50.3,55.3,53.5,51.3,45.533,48.649
강원특별자치도 - 여자 - 약간 만족,Statistics,25.3,24.2,25.1,23.6,23.2,32.6,30.408,33.535
강원특별자치도 - 여자 - 약간 불만족,Statistics,13.2,14.2,16.2,13.8,9.3,5.1,9.735,6.635
경기도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 계 - 매우 만족,Statistics,2.0,2.3,4.8,3.3,4.4,7.7,8.795,8.187
경기도 - 계 - 매우 불만족,Statistics,1.5,3.8,5.1,3.8,6.3,5.2,4.506,3.345
경기도 - 계 - 보통,Statistics,52.2,55.1,50.4,52.1,50.4,49.0,48.169,50.996
경기도 - 계 - 약간 만족,Statistics,25.2,22.0,20.6,20.3,22.9,25.5,26.361,25.793
경기도 - 계 - 약간 불만족,Statistics,19.0,16.8,19.1,20.5,16.0,12.6,12.169,11.68
경기도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 남자 - 매우 만족,Statistics,1.1,1.9,4.0,3.4,3.8,7.4,8.771,8.12
경기도 - 남자 - 매우 불만족,Statistics,1.9,5.2,5.9,4.8,6.1,5.8,3.459,3.257
경기도 - 남자 - 보통,Statistics,53.1,53.6,50.5,50.6,51.1,48.6,48.873,49.793
경기도 - 남자 - 약간 만족,Statistics,23.7,22.2,20.3,20.9,23.3,25.1,25.837,25.991
경기도 - 남자 - 약간 불만족,Statistics,20.2,17.1,19.3,20.3,15.8,13.1,13.061,12.838
경기도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 여자 - 매우 만족,Statistics,3.4,2.7,6.1,3.2,5.2,8.2,8.827,8.269
경기도 - 여자 - 매우 불만족,Statistics,0.9,1.8,3.7,2.3,6.7,4.4,5.88,3.453
경기도 - 여자 - 보통,Statistics,50.9,57.3,50.3,54.2,49.3,49.6,47.246,52.491
경기도 - 여자 - 약간 만족,Statistics,27.6,21.7,21.1,19.4,22.4,26.0,27.048,25.547
경기도 - 여자 - 약간 불만족,Statistics,17.1,16.5,18.7,20.8,16.4,11.8,10.999,10.24
경상남도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 계 - 매우 만족,Statistics,1.0,2.8,3.8,4.3,4.2,6.8,7.438,6.86
경상남도 - 계 - 매우 불만족,Statistics,1.3,2.9,4.7,2.0,6.5,3.0,3.087,3.279
경상남도 - 계 - 보통,Statistics,52.1,55.0,47.0,52.5,54.0,49.9,49.024,52.316
경상남도 - 계 - 약간 만족,Statistics,27.3,20.6,23.1,22.2,20.5,26.7,28.037,27.883
경상남도 - 계 - 약간 불만족,Statistics,18.3,18.7,21.4,19.0,14.9,13.7,12.415,9.663
경상남도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 남자 - 매우 만족,Statistics,0.8,2.8,4.9,3.7,4.6,6.6,6.22,5.8
경상남도 - 남자 - 매우 불만족,Statistics,1.2,2.0,4.4,2.1,6.6,4.0,3.54,4.175
경상남도 - 남자 - 보통,Statistics,53.3,56.1,47.2,52.3,52.7,48.4,51.25,52.053
경상남도 - 남자 - 약간 만족,Statistics,24.9,18.5,22.0,21.3,19.2,25.2,26.151,28.396
경상남도 - 남자 - 약간 불만족,Statistics,19.8,20.6,21.6,20.7,17.0,15.8,12.839,9.576
경상남도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 여자 - 매우 만족,Statistics,1.3,2.8,2.0,5.2,3.6,7.0,9.232,8.343
경상남도 - 여자 - 매우 불만족,Statistics,1.4,4.4,5.2,1.8,6.3,1.6,2.419,2.025
경상남도 - 여자 - 보통,Statistics,49.9,53.1,46.8,52.8,56.0,52.0,45.746,52.683
경상남도 - 여자 - 약간 만족,Statistics,31.6,24.1,24.9,23.8,22.5,28.7,30.814,27.165
경상남도 - 여자 - 약간 불만족,Statistics,15.8,15.6,21.1,16.4,11.6,10.7,11.79,9.784
경상북도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 계 - 매우 만족,Statistics,1.7,3.0,4.0,3.2,4.1,6.7,7.828,7.119
경상북도 - 계 - 매우 불만족,Statistics,2.7,3.0,4.2,3.6,4.7,2.6,3.751,1.402
경상북도 - 계 - 보통,Statistics,55.1,56.9,48.8,59.3,53.5,53.7,50.751,56.994
경상북도 - 계 - 약간 만족,Statistics,22.6,17.5,22.5,19.7,23.2,24.6,24.031,24.729
경상북도 - 계 - 약간 불만족,Statistics,17.9,19.6,20.5,14.2,14.5,12.4,13.638,9.756
경상북도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 남자 - 매우 만족,Statistics,2.4,2.9,3.8,2.9,4.5,6.7,7.628,7.209
경상북도 - 남자 - 매우 불만족,Statistics,2.4,3.5,4.5,4.0,6.0,3.6,4.052,1.328
경상북도 - 남자 - 보통,Statistics,53.1,56.1,45.9,57.4,52.0,52.9,47.327,55.757
경상북도 - 남자 - 약간 만족,Statistics,23.2,18.0,24.8,21.9,23.6,23.3,25.754,24.741
경상북도 - 남자 - 약간 불만족,Statistics,18.9,19.4,20.9,13.9,13.9,13.4,15.239,10.966
경상북도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 여자 - 매우 만족,Statistics,0.4,3.2,4.3,3.7,3.5,6.5,8.104,7.006
경상북도 - 여자 - 매우 불만족,Statistics,3.2,2.2,3.7,3.0,2.8,1.1,3.337,1.496
경상북도 - 여자 - 보통,Statistics,58.5,58.1,52.9,62.1,55.7,54.9,55.473,58.56
경상북도 - 여자 - 약간 만족,Statistics,21.6,16.7,19.3,16.5,22.7,26.5,21.655,24.714
경상북도 - 여자 - 약간 불만족,Statistics,16.3,19.8,19.9,14.7,15.4,10.9,11.43,8.225
광주광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 계 - 매우 만족,Statistics,2.4,1.8,3.7,2.7,4.0,5.4,9.721,8.445
광주광역시 - 계 - 매우 불만족,Statistics,3.0,3.4,4.5,4.0,4.2,3.0,4.03,2.646
광주광역시 - 계 - 보통,Statistics,55.7,54.2,52.4,56.9,59.5,56.6,53.402,54.021
광주광역시 - 계 - 약간 만족,Statistics,21.4,22.0,17.3,17.7,20.1,23.1,23.755,27.37
광주광역시 - 계 - 약간 불만족,Statistics,17.6,18.6,22.1,18.7,12.2,11.9,9.091,7.517
