item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
강원 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 계 - 매우 안전,Statistics,0.3,0.2,0.8,0.5,0.7,1.2,2.702,4.077,1.941
강원 - 계 - 매우 안전하지 않음,Statistics,6.6,6.4,6.1,12.3,7.4,2.8,3.937,2.787,3.61
강원 - 계 - 보통,Statistics,30.9,48.0,49.0,39.3,38.1,49.3,42.53,43.175,44.718
강원 - 계 - 비교적 안전,Statistics,5.7,11.5,9.4,11.0,12.1,20.2,25.282,28.401,27.084
강원 - 계 - 비교적 안전하지 않음,Statistics,56.6,33.9,34.6,36.9,41.7,26.6,25.549,21.559,22.647
강원 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 남자 - 매우 안전,Statistics,0.3,0.2,1.4,0.6,1.0,2.1,3.647,5.179,2.57
강원 - 남자 - 매우 안전하지 않음,Statistics,5.5,5.6,5.1,11.1,6.1,2.1,3.486,2.29,2.516
강원 - 남자 - 보통,Statistics,32.0,51.1,48.7,41.1,41.4,49.2,41.004,41.411,46.054
강원 - 남자 - 비교적 안전,Statistics,6.3,14.2,11.4,12.4,14.8,23.3,29.268,31.669,30.046
강원 - 남자 - 비교적 안전하지 않음,Statistics,55.9,28.9,33.4,34.8,36.7,23.2,22.595,19.451,18.814
강원 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원 - 여자 - 매우 안전,Statistics,0.3,0.2,0.3,0.4,0.4,0.3,1.775,2.979,1.315
강원 - 여자 - 매우 안전하지 않음,Statistics,7.5,7.2,7.1,13.4,8.6,3.5,4.38,3.282,4.698
강원 - 여자 - 보통,Statistics,29.9,45.0,49.4,37.7,34.9,49.3,44.028,44.935,43.387
강원 - 여자 - 비교적 안전,Statistics,5.1,8.8,7.5,9.6,9.5,17.1,21.37,25.144,24.136
강원 - 여자 - 비교적 안전하지 않음,Statistics,57.2,38.8,35.7,39.0,46.6,29.9,28.448,23.661,26.463
경기 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기 - 계 - 매우 안전,Statistics,0.1,0.4,0.9,0.6,1.0,1.0,3.023,2.673,3.136
경기 - 계 - 매우 안전하지 않음,Statistics,4.7,4.7,6.3,13.3,11.1,4.1,2.998,2.992,4.09
경기 - 계 - 보통,Statistics,40.2,50.4,48.4,37.6,38.4,47.0,43.24,43.705,44.625
