item,category,2020,2022,2024
강원특별자치도 - 계 - -불안 이유: 기타,Statistics,0.44,0.439,0.531
강원특별자치도 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,24.037,23.814,18.613
강원특별자치도 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,3.862,7.379,4.907
강원특별자치도 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,1.609,1.037,2.234
강원특별자치도 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,28.158,34.792,38.03
강원특별자치도 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,41.893,32.539,35.685
강원특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0
강원특별자치도 - 계 - 매우 불안,Statistics,4.167,2.736,4.512
강원특별자치도 - 계 - 매우 안전,Statistics,11.906,14.181,12.495
강원특별자치도 - 계 - 비교적 안전,Statistics,54.614,57.153,54.367
강원특별자치도 - 계 - 소계,Statistics,100.0,100.0,100.0
강원특별자치도 - 계 - 약간 불안,Statistics,29.313,25.93,28.626
경기도 - 계 - -불안 이유: 기타,Statistics,1.03,1.004,0.429
경기도 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,18.431,19.587,16.388
경기도 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,7.869,8.52,6.876
경기도 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,2.238,3.947,3.221
경기도 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,24.723,27.63,23.035
경기도 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,45.708,39.313,50.052
경기도 - 계 - 계,Statistics,100.0,100.0,100.0
경기도 - 계 - 매우 불안,Statistics,4.403,3.936,4.019
경기도 - 계 - 매우 안전,Statistics,9.525,12.289,11.876
경기도 - 계 - 비교적 안전,Statistics,54.791,54.612,54.144
경기도 - 계 - 소계,Statistics,100.0,100.0,100.0
경기도 - 계 - 약간 불안,Statistics,31.281,29.163,29.961
경상남도 - 계 - -불안 이유: 기타,Statistics,0.201,0.152,
경상남도 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,25.901,25.125,20.109
경상남도 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,6.31,7.366,7.293
경상남도 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,2.593,2.165,1.458
경상남도 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,24.848,28.798,28.596
경상남도 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,40.147,36.394,42.544
경상남도 - 계 - 계,Statistics,100.0,100.0,100.0
경상남도 - 계 - 매우 불안,Statistics,3.782,2.217,2.955
경상남도 - 계 - 매우 안전,Statistics,12.088,15.595,13.501
경상남도 - 계 - 비교적 안전,Statistics,54.487,56.183,55.504
경상남도 - 계 - 소계,Statistics,100.0,100.0,100.0
경상남도 - 계 - 약간 불안,Statistics,29.643,26.005,28.039
경상북도 - 계 - -불안 이유: 기타,Statistics,0.627,0.669,0.117
경상북도 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,23.438,24.296,17.55
경상북도 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,8.488,9.519,9.541
경상북도 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,3.637,2.312,3.82
경상북도 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,28.535,30.76,31.011
경상북도 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,35.276,32.443,37.961
경상북도 - 계 - 계,Statistics,100.0,100.0,100.0
경상북도 - 계 - 매우 불안,Statistics,3.872,2.462,3.174
경상북도 - 계 - 매우 안전,Statistics,10.346,16.737,12.283
경상북도 - 계 - 비교적 안전,Statistics,55.719,58.767,58.973
경상북도 - 계 - 소계,Statistics,100.0,100.0,100.0
경상북도 - 계 - 약간 불안,Statistics,30.062,22.034,25.57
광주광역시 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,19.655,18.882,22.898
광주광역시 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,6.046,9.663,8.19
광주광역시 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,3.179,3.116,4.567
광주광역시 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,28.726,22.476,18.997
광주광역시 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,42.394,45.863,45.347
광주광역시 - 계 - 계,Statistics,100.0,100.0,100.0
광주광역시 - 계 - 매우 불안,Statistics,2.903,3.858,2.996
광주광역시 - 계 - 매우 안전,Statistics,11.306,13.164,16.711
광주광역시 - 계 - 비교적 안전,Statistics,54.554,54.626,56.307
광주광역시 - 계 - 소계,Statistics,100.0,100.0,100.0
광주광역시 - 계 - 약간 불안,Statistics,31.237,28.352,23.986
대구광역시 - 계 - -불안 이유: 기타,Statistics,,0.364,0.165
대구광역시 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,22.766,18.346,17.351
대구광역시 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,5.207,9.391,5.724
대구광역시 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,2.67,2.888,3.08
대구광역시 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,24.987,19.713,22.751
대구광역시 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,44.37,49.297,50.928
대구광역시 - 계 - 계,Statistics,100.0,100.0,100.0
대구광역시 - 계 - 매우 불안,Statistics,2.953,2.677,3.429
대구광역시 - 계 - 매우 안전,Statistics,10.565,11.808,12.588
대구광역시 - 계 - 비교적 안전,Statistics,58.766,61.124,60.869
대구광역시 - 계 - 소계,Statistics,100.0,100.0,100.0
대구광역시 - 계 - 약간 불안,Statistics,27.716,24.39,23.113
대전광역시 - 계 - -불안 이유: 기타,Statistics,0.251,0.205,
대전광역시 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,19.505,18.232,27.574
대전광역시 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,5.909,7.044,7.607
대전광역시 - 계 - -불안 이유: 생활권 내에 우범 지역 존재,Statistics,2.949,1.765,3.742
대전광역시 - 계 - -불안 이유: 생활권 내에는 야간에 인적이 드묾,Statistics,26.066,22.241,20.151
대전광역시 - 계 - -불안 이유: 신문·뉴스 등에서 사건 사고를 자주 접함,Statistics,45.319,50.514,40.926
대전광역시 - 계 - 계,Statistics,100.0,100.0,100.0
대전광역시 - 계 - 매우 불안,Statistics,4.476,2.71,7.495
대전광역시 - 계 - 매우 안전,Statistics,11.204,11.747,12.44
대전광역시 - 계 - 비교적 안전,Statistics,52.077,59.495,54.849
대전광역시 - 계 - 소계,Statistics,100.0,100.0,100.0
대전광역시 - 계 - 약간 불안,Statistics,32.243,26.048,25.216
부산광역시 - 계 - -불안 이유: 기타,Statistics,,0.768,0.263
부산광역시 - 계 - -불안 이유: 생활권 내에 CCTV 등 야간 보행 안전 시설 부족,Statistics,19.938,14.963,16.813
부산광역시 - 계 - -불안 이유: 생활권 내에 경찰서 등 치안 시설 부족,Statistics,4.976,8.265,7.153
