item,category,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 계 - 매우 만족,Statistics,6.5,5.6,12.1,12.2,13.7,10.2,13.3,9.3,12.2,13.6,13.868,12.195,13.721,14.116,12.098
강원특별자치도 - 계 - 매우 불만족,Statistics,3.9,7.7,5.4,4.5,2.2,3.3,1.9,4.1,2.9,3.4,2.547,3.975,2.012,1.819,1.692
강원특별자치도 - 계 - 보통,Statistics,45.9,50.2,42.4,46.0,43.6,49.0,41.3,51.7,43.2,46.4,42.328,43.569,40.25,40.302,47.668
강원특별자치도 - 계 - 약간 만족,Statistics,23.4,15.8,24.8,24.1,27.5,23.5,32.4,20.9,30.1,23.8,31.901,25.296,31.89,33.027,30.076
강원특별자치도 - 계 - 약간 불만족,Statistics,20.3,20.7,15.4,13.2,13.0,14.1,11.2,14.0,11.5,12.8,9.355,14.965,12.127,10.736,8.466
강원특별자치도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 남자 - 매우 만족,Statistics,8.0,5.6,11.9,12.5,15.1,10.8,15.3,11.4,13.8,15.5,13.819,13.645,15.537,15.738,12.353
강원특별자치도 - 남자 - 매우 불만족,Statistics,3.9,7.9,4.6,4.0,1.9,2.7,1.4,3.9,2.8,3.2,2.472,4.123,1.896,1.604,1.493
강원특별자치도 - 남자 - 보통,Statistics,46.2,50.4,43.9,45.9,43.0,51.0,39.5,50.8,42.6,45.5,42.208,43.809,38.985,39.085,46.488
강원특별자치도 - 남자 - 약간 만족,Statistics,24.3,18.0,25.3,25.3,27.8,22.8,34.1,20.8,30.7,24.0,33.114,23.413,31.82,33.163,32.193
강원특별자치도 - 남자 - 약간 불만족,Statistics,17.7,18.1,14.4,12.2,12.2,12.7,9.8,13.1,10.1,11.9,8.387,15.01,11.762,10.41,7.472
강원특별자치도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 여자 - 매우 만족,Statistics,5.0,5.7,12.2,11.8,12.3,9.6,11.4,7.2,10.6,11.7,13.917,10.761,11.911,12.531,11.844
강원특별자치도 - 여자 - 매우 불만족,Statistics,3.9,7.4,6.1,5.0,2.5,3.8,2.4,4.2,3.1,3.7,2.621,3.828,2.126,2.029,1.891
강원특별자치도 - 여자 - 보통,Statistics,45.6,50.0,41.0,46.1,44.3,47.1,43.0,52.6,43.8,47.3,42.446,43.331,41.512,41.492,48.842
강원특별자치도 - 여자 - 약간 만족,Statistics,22.6,13.7,24.3,23.0,27.3,24.1,30.7,21.0,29.6,23.6,30.711,27.159,31.96,32.895,27.969
강원특별자치도 - 여자 - 약간 불만족,Statistics,22.8,23.3,16.4,14.1,13.7,15.4,12.5,14.9,13.0,13.7,10.305,14.92,12.491,11.054,9.455
경기도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 계 - 매우 만족,Statistics,6.9,5.9,9.2,11.8,13.1,10.6,14.1,6.8,11.1,15.4,15.16,9.988,12.414,11.84,10.339
경기도 - 계 - 매우 불만족,Statistics,5.1,8.0,5.7,5.3,3.0,4.4,3.5,5.7,3.1,4.8,2.552,5.19,2.679,3.257,2.257
경기도 - 계 - 보통,Statistics,44.6,48.4,43.4,44.5,43.5,47.8,42.7,46.8,44.3,42.7,43.319,41.045,42.915,43.119,51.402
경기도 - 계 - 약간 만족,Statistics,24.9,18.9,23.6,23.0,29.6,22.8,28.7,22.1,27.8,24.5,29.134,23.296,30.214,29.463,25.35
경기도 - 계 - 약간 불만족,Statistics,18.5,18.9,18.1,15.5,10.9,14.4,11.0,18.6,13.6,12.5,9.836,20.482,11.778,12.321,10.653
경기도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 남자 - 매우 만족,Statistics,7.3,6.6,9.5,11.7,13.6,10.8,15.4,6.0,11.2,15.6,15.802,10.395,11.602,12.224,10.486
경기도 - 남자 - 매우 불만족,Statistics,4.8,7.8,6.4,5.4,3.0,4.4,3.7,5.4,3.7,5.4,2.683,5.462,2.714,3.749,2.089
경기도 - 남자 - 보통,Statistics,44.0,48.5,44.2,43.4,44.5,47.3,41.8,47.5,44.5,43.0,42.635,41.117,43.125,43.113,51.883
경기도 - 남자 - 약간 만족,Statistics,25.2,18.4,23.0,23.2,28.5,22.2,28.4,22.8,27.9,23.8,29.063,22.67,30.924,29.179,25.576
경기도 - 남자 - 약간 불만족,Statistics,18.7,18.7,16.9,16.4,10.3,15.3,10.7,18.3,12.7,12.2,9.818,20.357,11.635,11.736,9.966
경기도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 여자 - 매우 만족,Statistics,6.5,5.2,8.9,12.0,12.5,10.3,12.8,7.7,11.1,15.2,14.516,9.578,13.236,11.456,10.19
경기도 - 여자 - 매우 불만족,Statistics,5.4,8.1,5.0,5.2,2.9,4.4,3.3,6.0,2.6,4.3,2.42,4.916,2.643,2.763,2.425
경기도 - 여자 - 보통,Statistics,45.3,48.2,42.6,45.5,42.4,48.3,43.6,46.1,44.0,42.5,44.005,40.973,42.703,43.125,50.918
경기도 - 여자 - 약간 만족,Statistics,24.5,19.4,24.3,22.8,30.8,23.5,28.9,21.3,27.7,25.3,29.205,23.926,29.495,29.749,25.123
