item,category,2009,2011,2013,2015,2017,2019,2021,2023
강원특별자치도 - 계 - 갑자기 많은 돈을 빌려야 할 경우 - 도움을 받을 수 있는 사람 있음,Statistics,44.9,42.7,46.1,51.1,49.5,48.0,45.144,50.139
강원특별자치도 - 계 - 갑자기 많은 돈을 빌려야 할경우 - 도움을 받을 수 있는 사람 없음,Statistics,55.1,57.3,53.9,48.9,50.5,52.0,54.856,49.861
강원특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 계 - 낙심하거나 우울해서 이야기 상대가 필요한 경우 - 도움을 받을 수 있는 사람 없음,Statistics,24.3,22.8,20.0,16.7,21.2,17.3,21.499,22.307
강원특별자치도 - 계 - 낙심하거나 우울해서 이야기 상대가 필요한 경우 - 도움을 받을 수 있는 사람 있음,Statistics,75.7,77.2,80.0,83.3,78.8,82.7,78.501,77.693
강원특별자치도 - 계 - 몸이 아파 집안일을 부탁할 경우 - 도움을 받을 수 있는 사람 없음,Statistics,27.8,29.2,23.2,22.9,21.5,20.2,28.941,25.522
강원특별자치도 - 계 - 몸이 아파 집안일을 부탁할 경우 - 도움을 받을 수 있는 사람 있음,Statistics,72.2,70.8,76.8,77.1,78.5,79.8,71.059,74.478
강원특별자치도 - 남자 - 갑자기 많은 돈을 빌려야 할 경우 - 도움을 받을 수 있는 사람 있음,Statistics,46.2,44.0,46.5,52.5,48.6,49.8,45.305,49.199
강원특별자치도 - 남자 - 갑자기 많은 돈을 빌려야 할경우 - 도움을 받을 수 있는 사람 없음,Statistics,53.8,56.0,53.5,47.5,51.4,50.2,54.695,50.801
강원특별자치도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 남자 - 낙심하거나 우울해서 이야기 상대가 필요한 경우 - 도움을 받을 수 있는 사람 없음,Statistics,26.2,24.0,21.8,18.0,23.3,18.2,24.38,25.234
강원특별자치도 - 남자 - 낙심하거나 우울해서 이야기 상대가 필요한 경우 - 도움을 받을 수 있는 사람 있음,Statistics,73.8,76.0,78.2,82.0,76.7,81.8,75.62,74.766
강원특별자치도 - 남자 - 몸이 아파 집안일을 부탁할 경우 - 도움을 받을 수 있는 사람 없음,Statistics,26.3,28.9,21.6,21.3,20.0,20.2,30.307,26.384
강원특별자치도 - 남자 - 몸이 아파 집안일을 부탁할 경우 - 도움을 받을 수 있는 사람 있음,Statistics,73.7,71.1,78.4,78.7,80.0,79.8,69.693,73.616
강원특별자치도 - 여자 - 갑자기 많은 돈을 빌려야 할 경우 - 도움을 받을 수 있는 사람 있음,Statistics,43.6,41.5,45.7,49.8,50.3,46.1,44.985,51.058
강원특별자치도 - 여자 - 갑자기 많은 돈을 빌려야 할경우 - 도움을 받을 수 있는 사람 없음,Statistics,56.4,58.5,54.3,50.2,49.7,53.9,55.015,48.942
강원특별자치도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 여자 - 낙심하거나 우울해서 이야기 상대가 필요한 경우 - 도움을 받을 수 있는 사람 없음,Statistics,22.5,21.7,18.2,15.4,19.1,16.5,18.65,19.447
강원특별자치도 - 여자 - 낙심하거나 우울해서 이야기 상대가 필요한 경우 - 도움을 받을 수 있는 사람 있음,Statistics,77.5,78.3,81.8,84.6,80.9,83.5,81.35,80.553
강원특별자치도 - 여자 - 몸이 아파 집안일을 부탁할 경우 - 도움을 받을 수 있는 사람 없음,Statistics,29.3,29.5,24.8,24.4,22.9,20.3,27.584,24.683
강원특별자치도 - 여자 - 몸이 아파 집안일을 부탁할 경우 - 도움을 받을 수 있는 사람 있음,Statistics,70.7,70.5,75.2,75.6,77.1,79.7,72.416,75.317
경기도 - 계 - 갑자기 많은 돈을 빌려야 할 경우 - 도움을 받을 수 있는 사람 있음,Statistics,49.5,50.5,45.3,50.8,49.5,50.7,50.481,50.243
경기도 - 계 - 갑자기 많은 돈을 빌려야 할경우 - 도움을 받을 수 있는 사람 없음,Statistics,50.5,49.5,54.7,49.2,50.5,49.3,49.519,49.757
경기도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 계 - 낙심하거나 우울해서 이야기 상대가 필요한 경우 - 도움을 받을 수 있는 사람 없음,Statistics,16.5,16.8,20.3,17.4,16.2,17.4,20.969,20.927
경기도 - 계 - 낙심하거나 우울해서 이야기 상대가 필요한 경우 - 도움을 받을 수 있는 사람 있음,Statistics,83.5,83.2,79.7,82.6,83.8,82.6,79.031,79.073
경기도 - 계 - 몸이 아파 집안일을 부탁할 경우 - 도움을 받을 수 있는 사람 없음,Statistics,18.6,23.0,26.8,22.8,22.5,21.6,28.2,28.056
경기도 - 계 - 몸이 아파 집안일을 부탁할 경우 - 도움을 받을 수 있는 사람 있음,Statistics,81.4,77.0,73.2,77.2,77.5,78.4,71.8,71.944
경기도 - 남자 - 갑자기 많은 돈을 빌려야 할 경우 - 도움을 받을 수 있는 사람 있음,Statistics,51.3,50.9,45.9,50.5,49.9,49.3,48.855,48.856
경기도 - 남자 - 갑자기 많은 돈을 빌려야 할경우 - 도움을 받을 수 있는 사람 없음,Statistics,48.7,49.1,54.1,49.5,50.1,50.7,51.145,51.144
