item,category,2009,2011,2013,2015,2017,2019,2021
강원특별자치도 - 계 - - 국가 및 지역 행사 등,Statistics,8.3,11.6,11.3,10.7,12.2,9.6,6.957
강원특별자치도 - 계 - - 기타 일반인을 위한 봉사,Statistics,32.1,16.6,20.1,17.3,17.6,21.3,20.68
강원특별자치도 - 계 - - 아동 청소년 노인 장애인 재소자 등,Statistics,35.0,54.5,62.7,54.5,49.8,53.5,36.592
강원특별자치도 - 계 - - 자녀교육 등,Statistics,9.4,7.4,6.2,4.5,5.8,5.5,2.654
강원특별자치도 - 계 - - 재해지역 주민돕기 및 시설복구 등,Statistics,11.4,4.1,3.5,2.1,6.0,9.2,13.471
강원특별자치도 - 계 - - 환경보전 범죄예방 등,Statistics,22.7,29.4,17.4,20.5,22.3,23.7,34.424
강원특별자치도 - 계 - 참여한 적 있다,Statistics,19.1,20.7,19.4,21.2,21.5,17.9,10.799
경기도 - 계 - - 국가 및 지역 행사 등,Statistics,14.0,6.7,7.1,8.8,7.7,10.5,5.734
경기도 - 계 - - 기타 일반인을 위한 봉사,Statistics,12.2,13.1,16.5,16.6,21.2,14.2,15.498
경기도 - 계 - - 아동 청소년 노인 장애인 재소자 등,Statistics,44.9,59.7,56.6,56.5,50.5,56.0,50.661
경기도 - 계 - - 자녀교육 등,Statistics,15.9,11.1,9.3,10.9,13.5,14.6,9.803
경기도 - 계 - - 재해지역 주민돕기 및 시설복구 등,Statistics,9.9,4.9,3.4,4.1,3.6,3.2,7.411
경기도 - 계 - - 환경보전 범죄예방 등,Statistics,20.7,18.7,20.5,21.7,18.5,19.0,24.486
경기도 - 계 - 참여한 적 있다,Statistics,18.6,19.2,19.7,17.3,17.6,15.1,7.786
경상남도 - 계 - - 국가 및 지역 행사 등,Statistics,10.2,8.2,7.3,4.4,8.5,7.7,6.885
경상남도 - 계 - - 기타 일반인을 위한 봉사,Statistics,13.1,21.1,18.3,11.7,15.3,13.3,15.241
경상남도 - 계 - - 아동 청소년 노인 장애인 재소자 등,Statistics,48.9,46.2,56.9,66.5,59.4,63.4,51.83
경상남도 - 계 - - 자녀교육 등,Statistics,11.9,7.7,4.0,5.4,10.4,10.1,8.66
경상남도 - 계 - - 재해지역 주민돕기 및 시설복구 등,Statistics,18.4,2.6,4.2,5.8,3.8,6.2,9.608
경상남도 - 계 - - 환경보전 범죄예방 등,Statistics,23.8,30.0,25.2,24.3,22.8,20.1,23.725
경상남도 - 계 - 참여한 적 있다,Statistics,19.7,21.6,23.4,20.4,18.6,17.7,7.136
경상북도 - 계 - - 국가 및 지역 행사 등,Statistics,10.1,4.8,6.0,4.7,5.5,8.5,5.899
경상북도 - 계 - - 기타 일반인을 위한 봉사,Statistics,31.2,12.7,23.7,9.7,17.0,12.9,10.786
경상북도 - 계 - - 아동 청소년 노인 장애인 재소자 등,Statistics,34.6,54.8,51.8,66.6,54.6,63.4,56.982
