item,category,2009,2011,2013,2015,2017,2019,2021,2023
강원특별자치도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 계 - 많이 나빠짐,Statistics,5.1,6.7,5.5,2.9,2.0,1.9,4.859,1.785
강원특별자치도 - 계 - 많이 좋아짐,Statistics,5.6,4.4,4.0,8.1,6.2,6.7,6.982,7.508
강원특별자치도 - 계 - 변화없음,Statistics,42.0,41.2,44.6,43.4,50.9,41.0,43.602,48.555
강원특별자치도 - 계 - 약간 나빠짐,Statistics,18.8,21.7,14.9,9.8,7.1,5.4,16.679,6.801
강원특별자치도 - 계 - 약간 좋아짐,Statistics,28.6,26.0,31.1,35.8,33.7,45.1,27.878,35.351
강원특별자치도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 남자 - 많이 나빠짐,Statistics,5.3,7.3,6.5,3.2,2.3,1.9,5.161,2.101
강원특별자치도 - 남자 - 많이 좋아짐,Statistics,5.1,4.4,4.1,6.6,6.8,7.1,7.31,7.705
강원특별자치도 - 남자 - 변화없음,Statistics,40.9,41.6,45.2,43.1,50.8,40.7,44.193,48.933
강원특별자치도 - 남자 - 약간 나빠짐,Statistics,18.9,21.6,14.4,12.4,8.0,5.7,16.716,7.108
강원특별자치도 - 남자 - 약간 좋아짐,Statistics,29.8,25.2,29.7,34.6,32.1,44.5,26.62,34.153
강원특별자치도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
강원특별자치도 - 여자 - 많이 나빠짐,Statistics,4.8,6.1,4.5,2.5,1.7,1.8,4.559,1.477
강원특별자치도 - 여자 - 많이 좋아짐,Statistics,6.0,4.5,3.8,9.6,5.7,6.3,6.656,7.317
강원특별자치도 - 여자 - 변화없음,Statistics,43.1,40.8,43.9,43.8,51.0,41.2,43.015,48.187
강원특별자치도 - 여자 - 약간 나빠짐,Statistics,18.7,21.8,15.4,7.3,6.3,5.0,16.643,6.503
강원특별자치도 - 여자 - 약간 좋아짐,Statistics,27.5,26.8,32.4,36.9,35.3,45.7,29.128,36.517
경기도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 계 - 많이 나빠짐,Statistics,6.6,8.3,9.3,4.8,3.3,2.2,6.919,3.699
경기도 - 계 - 많이 좋아짐,Statistics,4.6,4.5,4.2,4.5,3.2,5.8,5.251,5.874
경기도 - 계 - 변화없음,Statistics,43.2,40.1,43.1,48.8,47.0,43.4,43.104,49.625
경기도 - 계 - 약간 나빠짐,Statistics,16.7,21.0,22.0,14.5,11.5,8.1,21.536,10.945
경기도 - 계 - 약간 좋아짐,Statistics,28.9,26.1,21.5,27.4,34.9,40.5,23.191,29.858
경기도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 남자 - 많이 나빠짐,Statistics,7.2,9.7,9.4,4.9,3.6,2.1,6.902,4.124
경기도 - 남자 - 많이 좋아짐,Statistics,4.4,4.4,4.2,4.2,2.9,5.2,5.373,6.308
경기도 - 남자 - 변화없음,Statistics,41.9,39.4,41.8,49.2,48.6,44.7,42.764,49.581
경기도 - 남자 - 약간 나빠짐,Statistics,16.7,21.6,23.0,15.6,11.7,8.9,21.725,11.086
경기도 - 남자 - 약간 좋아짐,Statistics,29.9,24.9,21.6,26.1,33.3,39.0,23.236,28.901
경기도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 여자 - 많이 나빠짐,Statistics,6.1,6.9,9.1,4.8,3.1,2.4,6.936,3.273
경기도 - 여자 - 많이 좋아짐,Statistics,4.8,4.7,4.1,4.8,3.6,6.4,5.128,5.44
경기도 - 여자 - 변화없음,Statistics,44.5,40.8,44.3,48.3,45.5,42.0,43.443,49.669
경기도 - 여자 - 약간 나빠짐,Statistics,16.7,20.4,21.1,13.4,11.4,7.3,21.347,10.803
경기도 - 여자 - 약간 좋아짐,Statistics,27.9,27.2,21.4,28.6,36.5,42.0,23.146,30.815
경상남도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 계 - 많이 나빠짐,Statistics,5.1,6.3,4.1,3.5,2.2,3.8,6.853,2.659
경상남도 - 계 - 많이 좋아짐,Statistics,4.2,4.3,3.6,7.4,3.5,5.9,5.286,5.558
경상남도 - 계 - 변화없음,Statistics,40.6,38.4,45.7,45.4,46.5,43.9,41.208,46.056
경상남도 - 계 - 약간 나빠짐,Statistics,22.7,24.4,18.6,10.5,8.4,7.8,20.696,9.26
경상남도 - 계 - 약간 좋아짐,Statistics,27.3,26.5,28.0,33.3,39.5,38.6,25.956,36.467
경상남도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 남자 - 많이 나빠짐,Statistics,4.3,6.9,4.2,3.7,2.5,3.8,6.884,3.689
경상남도 - 남자 - 많이 좋아짐,Statistics,3.9,4.0,5.0,6.4,3.1,5.0,5.273,5.151
경상남도 - 남자 - 변화없음,Statistics,42.7,38.1,44.3,46.3,48.4,43.9,41.79,45.226
경상남도 - 남자 - 약간 나빠짐,Statistics,22.9,25.3,19.5,12.0,9.6,9.8,20.761,9.683
경상남도 - 남자 - 약간 좋아짐,Statistics,26.3,25.8,27.1,31.6,36.5,37.5,25.292,36.251
경상남도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 여자 - 많이 나빠짐,Statistics,6.0,5.8,3.9,3.3,1.9,3.8,6.821,1.625
경상남도 - 여자 - 많이 좋아짐,Statistics,4.6,4.7,2.2,8.4,3.9,6.9,5.3,5.966
경상남도 - 여자 - 변화없음,Statistics,38.6,38.8,47.1,44.5,44.5,43.8,40.619,46.889
경상남도 - 여자 - 약간 나빠짐,Statistics,22.5,23.6,17.8,9.0,7.1,5.8,20.631,8.836
경상남도 - 여자 - 약간 좋아짐,Statistics,28.3,27.2,29.0,35.0,42.6,39.7,26.63,36.684
경상북도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 계 - 많이 나빠짐,Statistics,6.6,5.2,3.4,1.5,1.8,1.7,4.909,1.497
경상북도 - 계 - 많이 좋아짐,Statistics,4.2,3.1,4.0,5.0,3.8,6.9,3.878,5.357
경상북도 - 계 - 변화없음,Statistics,40.0,41.0,43.7,39.4,44.6,44.8,51.562,48.02
경상북도 - 계 - 약간 나빠짐,Statistics,22.5,17.7,16.8,7.8,7.5,7.2,20.784,5.273
경상북도 - 계 - 약간 좋아짐,Statistics,26.8,33.0,32.0,46.2,42.2,39.5,18.867,39.852
경상북도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 남자 - 많이 나빠짐,Statistics,6.8,5.1,4.3,1.4,2.5,2.4,5.889,2.06
경상북도 - 남자 - 많이 좋아짐,Statistics,4.3,3.4,3.1,4.6,2.8,5.6,4.516,5.784
경상북도 - 남자 - 변화없음,Statistics,39.8,40.1,43.9,40.2,44.7,46.0,50.2,47.563
경상북도 - 남자 - 약간 나빠짐,Statistics,21.7,19.5,16.9,8.0,8.4,8.7,21.305,4.839
경상북도 - 남자 - 약간 좋아짐,Statistics,27.4,31.9,31.8,45.8,41.6,37.3,18.09,39.754
경상북도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 여자 - 많이 나빠짐,Statistics,6.4,5.4,2.6,1.7,1.2,0.9,3.926,0.92
