item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도 - 어업가구,Statistics,2757.0,2731.0,2666.0,2562.0,2292.0,2259.0,2082.0,2004.0,1870.0,1698.0,1682.0,1631.0,1533.0,1377.0
경기도 - 어업가구,Statistics,862.0,861.0,853.0,850.0,762.0,696.0,685.0,643.0,581.0,561.0,582.0,614.0,593.0,568.0
경상남도 - 어업가구,Statistics,10055.0,9753.0,9346.0,9050.0,9417.0,8479.0,8152.0,7730.0,7662.0,7311.0,7419.0,7096.0,6713.0,6515.0
경상북도 - 어업가구,Statistics,4113.0,3887.0,3760.0,3636.0,3017.0,2818.0,2798.0,2639.0,2568.0,2210.0,2116.0,2047.0,1913.0,1778.0
부산광역시 - 어업가구,Statistics,2393.0,2197.0,2061.0,1972.0,2203.0,2031.0,1929.0,1858.0,1810.0,1816.0,1546.0,1571.0,1484.0,1378.0
울산광역시 - 어업가구,Statistics,966.0,922.0,947.0,940.0,905.0,832.0,791.0,739.0,726.0,630.0,568.0,540.0,560.0,564.0
인천광역시 - 어업가구,Statistics,2663.0,2575.0,2423.0,2410.0,2172.0,2097.0,2052.0,1965.0,1879.0,1575.0,1657.0,1480.0,1447.0,1488.0
전국 - 어업가구,Statistics,63251.0,61493.0,60325.0,58791.0,54793.0,53221.0,52808.0,51494.0,50909.0,43149.0,43327.0,42536.0,41775.0,40890.0
전라남도 - 어업가구,Statistics,21804.0,21578.0,21747.0,21246.0,18819.0,18601.0,18871.0,18506.0,18680.0,15574.0,15912.0,15723.0,15816.0,15611.0
전북특별자치도 - 어업가구,Statistics,2354.0,2406.0,2386.0,2308.0,2908.0,2776.0,2884.0,2924.0,2951.0,2243.0,2391.0,2557.0,2622.0,2696.0
제주특별자치도 - 어업가구,Statistics,5116.0,5046.0,4752.0,4589.0,4116.0,4082.0,3966.0,4013.0,4046.0,3001.0,2944.0,2844.0,2751.0,2599.0
충청남도 - 어업가구,Statistics,10169.0,9538.0,9385.0,9229.0,8162.0,8550.0,8598.0,8473.0,8136.0,6480.0,6509.0,6435.0,6342.0,6316.0
